,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
25001,Teacher,None,Subscribed to 2600,Dusty Kicks Hand-me-downs,Customer Service Representative,11,11,516,5,1,76302,9,753,13,1,1,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Afro Fade,White Heavy Rain
25002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25008,Disciple,None,Stole a high school computer lab pass,Hooptie on Three Spares,Receptionist,10,12,1993,7,6,35555,7,610,7,1,1,,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Khaki Oxford with Tie and Pocket,,Light Grey,,White Light Rain
25009,Graduate,None,Subscribed to 2600,Pragmatic Coupe,Project Manager,9,11,1993,7,10,0,1,711,10,1,1,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Blue Longsleeve,Stubble,Blonde,Short Afro Fade,White Light Rain
25010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25015,Teacher,None,Pretty good with GW Basic,Stretch Limo With a Stocked Bar,Legal Assistant,11,9,12453,9,17,101101,11,725,11,1,1,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Oxford with Tie,,Light Grey,Short Pixie,White Heavy Rain
25016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25019,Graduate,None,Know your way around a spreadsheet,Pragmatic Coupe,Custodian,9,6,51,3,10,52968,8,699,9,1,1,Lunchbox,,Black Books,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Gray Slacks,Olive Oxford with Pocket,,Light Brown,Buzz Cut,White Medium Rain
25020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25022,Teacher,None,Pretty good with GW Basic,Light-Up Folding Scooter,Bookkeeper,11,9,1993,7,5,22576,6,805,16,1,1,,,,,,Brown Leather Shoes with Laces,Blue Denim,Khaki Oxford with Tie,Beard,Auburn,Long Messy,White Light Rain
25023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
