,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
65001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65003,Graduate,None,Pretty good with GW Basic,Low Rider,Receptionist,9,9,31133,10,11,35555,7,699,9,1,1,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Light Gray Longsleeve,Goatee,Light Brown,Short Afro Fade,White Light Rain
65004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65012,Disciple,None,Read the Bitcoin white paper twice,Stretch Limo With a Stocked Bar,Compliance Officer,10,10,1993,7,17,35555,7,711,10,1,1,,,Black Books,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Khaki Oxford with Pocket,Thin,Light Grey,Straight Sideswept Fringe,White Light Rain
65013,Master,None,Watched a hacking tutorial video by a 13 year old,Pragmatic Coupe,Bookkeeper,12,8,777,6,10,560133,14,805,16,1,1,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Light Gray Longsleeve,,Light Brown,Long Messy,White Light Rain
65014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65060,Graduate,None,Pretty good with GW Basic,Hooptie on Three Spares,Assistant to the Regional Manager,9,9,128,4,6,35555,7,753,13,1,1,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Tie,,Blonde,Long Messy,White Light Rain
65061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
