,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5022,Disciple,None,Read the Bitcoin white paper twice,Low Rider,Assistant to the Regional Manager,10,10,31133,10,11,35555,7,711,10,1,1,,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Olive Oxford with Tie and Pocket,,Black,Short Messy,White Heavy Rain
5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5029,Teacher,None,Subscribed to 2600,Three Wheel Roadster,Unemployed,11,11,777,6,13,76302,9,739,12,1,1,Black Smartphone,Stud Earring,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Brown Cardigan with Tan Longsleeve Shirt,,Black,,White Medium Rain
5030,Teacher,None,Pretty good with GW Basic,Pragmatic Coupe,Custodian,11,9,777,6,10,303303,13,791,15,1,1,,,,,,Black Leather Shoes with Laces,Navy Slacks,Olive Cardigan with Beige Longsleeve Shirt,,Black,Short Afro Fade,White Heavy Rain
5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5067,Master,None,Watched a hacking tutorial video by a 13 year old,Pragmatic Coupe,Bookkeeper,12,8,84059,11,10,52968,8,725,11,1,1,Black Smartphone,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,,White Light Rain
5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5075,Promising Pupil,None,Stole a high school computer lab pass,Pragmatic Coupe,Project Manager,7,12,355555,12,10,52968,8,725,11,1,1,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Blue Longsleeve,,Light Brown,,White Light Rain
5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5084,Graduate,None,Subscribed to 2600,Pragmatic Coupe,Receptionist,9,11,51,3,10,22576,6,699,9,1,1,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,,Khaki Jumpsuit,,Dark Brown,Short Messy,White Light Rain
5085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5087,Budding Scholar,None,Pretty good with GW Basic,Pragmatic Coupe,Computer Programmer,8,9,777,6,10,35555,7,711,10,1,1,Blue Lunchbox,,Silver Aviators,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Light Gray Cardigan with Beige Longsleeve Shirt,Thin,Light Brown,Medium Curly Bob,White Medium Rain
5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5097,Master,None,Read the Bitcoin white paper twice,Low Rider,Unemployed,12,10,128,4,11,10098,5,711,10,1,1,Black Smartphone,Stud Earring,,Purple Worker's Cap,,White Canvas Sneaker with White Sole,Charcoal Slacks,Khaki Oxford with Pocket,,Black,,White Light Rain
5098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,Teacher,None,Watched a hacking tutorial video by a 13 year old,Low Rider,Compliance Officer,11,8,51,3,11,101101,11,739,12,1,1,Black Leather Briefcase,,,Tan Worker's Cap,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Auburn,Buzz Cut,White Medium Rain
5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5108,Teacher,None,Pretty good with GW Basic,Electric Car,Electrician,11,9,12453,9,12,35555,7,791,15,1,1,,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Gray Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Black,Buzz Cut,White Medium Rain
5109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,Promising Pupil,None,Pretty good with GW Basic,Pragmatic Coupe,Pineapple Farmer,7,9,12453,9,10,22576,6,610,7,1,1,Brown Leather Briefcase,,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Tan Blazer with Off-White Shirt and Tan Tie,Stubble,Blonde,Long Messy,White Light Rain
5115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5120,Teacher,None,Read the Bitcoin white paper twice,Pragmatic Coupe,Custodian,11,10,20,2,10,52968,8,699,9,1,1,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Light-Wash Denim,Gray Oxford with Buttons,,Light Grey,,White Light Rain
5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5127,Teacher,None,Pretty good with GW Basic,Pragmatic Coupe,Unemployed,11,9,777,6,10,35555,7,508,5,1,1,Black Leather Briefcase,Stud Earring,Rosegold Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki,Red Longsleeve,,Black,Updo Bun,White Light Rain
