,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
55001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55003,Graduate,None,Read the Bitcoin white paper twice,Pragmatic Coupe,Blockchain Engineer,9,10,4981,8,10,560133,14,699,9,1,1,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Blue Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Straight Sideswept Fringe,White Medium Rain
55004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55012,Master,None,Subscribed to 2600,Low Rider,Pineapple Farmer,12,11,51,3,11,172581,12,699,9,1,1,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Buttons,,Light Brown,Straight Sideswept Fringe,White Light Rain
55013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55018,Promising Pupil,None,Pretty good with GW Basic,Light-Up Folding Scooter,Media Executive,7,9,128,4,5,92000,10,661,8,1,1,,,,,,Brown Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Goatee,Black,Long Afro,White Light Rain
55019,Master,None,Stole a high school computer lab pass,Pragmatic Coupe,Receptionist,12,12,777,6,10,35555,7,457,4,1,1,Lunchbox,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Khaki Oxford with Pocket,,Black,Short Messy,White Medium Rain
55020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
