,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
45001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45004,Teacher,None,Read the Bitcoin white paper twice,Back of Rusty Pickup Truck,Project Manager,11,10,31133,10,3,52968,8,559,6,1,1,Black Smartphone,,,,Two Rings,Black Leather Shoes with Laces,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,Mustache,Blonde,Short Coil,White Medium Rain
45005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45012,Grandmaster,None,Stole a high school computer lab pass,Pragmatic Coupe,Money Printing Machine Operator,13,12,0,1,10,52968,8,457,4,1,1,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Black,Short Messy,White Light Rain
45013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45026,Guru,None,Watched a hacking tutorial video by a 13 year old,Back of Rusty Pickup Truck,Talent Agent,15,8,12453,9,3,52968,8,739,12,1,1,,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Olive Oxford with Tie and Pocket,,Light Brown,Short Afro Fade,White Heavy Rain
45027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
