,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
20001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,Graduate,None,Stole a high school computer lab pass,Pragmatic Coupe,Compliance Officer,9,12,12453,9,10,35555,7,711,10,1,1,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Gray Slacks,Khaki Oxford with Pocket,Stubble,Dark Brown,Low Ponytail,White Light Rain
20006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,Promising Pupil,None,Got caught hacking your grades,70's Hatchback,Compliance Officer,7,13,128,4,9,22576,6,559,6,1,1,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Gray Slacks,Olive Oxford with Buttons,,Dark Brown,Short Afro Fade,White Light Rain
20017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20026,Grandmaster,None,Stole a high school computer lab pass,Stretch Limo With a Stocked Bar,Assistant to the Regional Manager,13,12,84059,11,17,92000,10,711,10,1,1,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Pocket,,Black,Straight Sideswept Fringe,White Medium Rain
20027,New Apprentice,None,Know your way around a spreadsheet,Light-Up Folding Scooter,Media Executive,6,6,1993,7,5,172581,12,777,14,1,1,Black Leather Briefcase,Stud Earring,,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Light Gray Cardigan with Beige Oxford Shirt,,Blonde,Short Messy,White Light Rain
20028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031,Disciple,None,Pretty good with GW Basic,Hooptie on Three Spares,Receptionist,10,9,516,5,6,22576,6,711,10,1,1,,Stud Earring,,Purple Worker's Cap,,Black Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Black,Buzz Cut,White Light Rain
20032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20033,Teacher,None,Read the Bitcoin white paper twice,Hooptie on Three Spares,Blockchain Engineer,11,10,4467245,15,6,10098,5,777,14,1,1,Blue Lunchbox,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Olive Oxford with Pocket,,Black,Short Coil,White Light Rain
20034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20036,Disciple,None,Read the Bitcoin white paper twice,70's Hatchback,Receptionist,10,10,516,5,9,5260,4,739,12,1,1,Black Leather Briefcase,,,,Two Rings,White Canvas Sneaker with White Sole,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Blonde,Straight Sideswept Fringe,White Medium Rain
20037,Graduate,None,Stole a high school computer lab pass,70's Hatchback,Bookkeeper,9,12,128,4,9,560133,14,725,11,1,1,Lunchbox,,,Purple Worker's Cap,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Gray Blazer with Black Shirt and No Tie,Goatee,Blonde,,White Light Rain
20038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20039,Budding Scholar,None,Watched a hacking tutorial video by a 13 year old,Electric Car,Marketing Intern,8,8,355555,12,12,35555,7,661,8,1,1,Black Leather Briefcase,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Khaki Oxford with Buttons,,Black,Long Straight Bangs,White Light Rain
20040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
