,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
40001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40029,Teacher,None,Read the Bitcoin white paper twice,Brand New Ice Cream Truck,Utility Worker,11,10,51,3,14,22576,6,739,12,1,1,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,Thin,Dark Brown,Short Updo,White Light Rain
40030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40032,Master,None,Subscribed to 2600,Pragmatic Coupe,Talent Agent,12,11,84059,11,10,172581,12,610,7,1,1,Black Leather Briefcase,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Dark Brown,Buzz Cut,White Light Rain
40033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40054,Disciple,None,Subscribed to 2600,Go-Kart,Talent Agent,10,11,777,6,8,35555,7,725,11,1,1,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Tie and Pocket,Thin,Black,Medium Curly Bob,White Light Rain
40055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40064,Teacher,None,Read the Bitcoin white paper twice,70's Hatchback,Receptionist,11,10,777,6,9,92000,10,508,5,1,1,,,,,,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Grey,Long Straight Bangs,White Heavy Rain
40065,Disciple,None,Stole a high school computer lab pass,70's Hatchback,Computer Programmer,10,12,128,4,9,22576,6,610,7,1,1,,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Blue Denim,Blue Longsleeve,,Light Brown,Short Afro Fade,White Medium Rain
40066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40075,New Apprentice,None,Memorized the IT desk number,Low Rider,Sales Associate,6,5,1993,7,11,101101,11,833,18,1,1,Lunchbox,,Black Books,,,Brown Leather Shoes with Laces,Blue Denim,Olive Oxford with Tie,,Black,Short Pixie,White Medium Rain
40076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40085,Teacher,None,Sticky note with your password on it,Go-Kart,Utility Worker,11,3,777,6,8,35555,7,610,7,1,1,Brown Leather Briefcase,,,Tan Worker's Cap,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,,White Light Rain
40086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40089,Teacher,None,Read the Bitcoin white paper twice,Low Rider,Talent Agent,11,10,777,6,11,101101,11,457,4,1,1,Black Leather Briefcase,Stud Earring,Black Books,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Khaki Oxford with Pocket,,Dark Brown,Short Messy,White Medium Rain
40090,Master,None,Read the Bitcoin white paper twice,Pragmatic Coupe,Receptionist,12,10,516,5,10,92000,10,457,4,1,1,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Goatee,Light Grey,Short Pixie,White Light Rain
40091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40115,Teacher,None,Subscribed to 2600,Low Rider,Bookkeeper,11,11,128,4,11,76302,9,711,10,1,1,Light Blue Smartphone,Stud Earring,,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Gray Oxford with Buttons,,Black,Short Pixie,White Light Rain
40116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
