,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
90001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90002,Master,None,Got caught hacking your grades,Low Rider,Electrician,12,13,51,3,11,22576,6,777,14,1,1,Black Leather Briefcase,,Silver Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Khaki Oxford with Tie,,Dark Brown,Straight Sideswept Fringe,White Light Rain
90003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90029,Teacher,None,Stole a high school computer lab pass,Light-Up Folding Scooter,Bookkeeper,11,12,31133,10,5,22576,6,699,9,1,1,Lunchbox,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Auburn,Updo Bun,White Light Rain
90030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90050,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90056,Teacher,None,Read beginner’s guide to hacking - Y2K edition,Brand New Ice Cream Truck,Marketing Intern,11,7,516,5,14,52968,8,457,4,1,1,Brown Leather Briefcase,,,,Two Rings,White Leather Sneaker with Grey Sole,Blue Denim,Blue Longsleeve,,Black,Short Coil,White Medium Rain
90057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
