,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
60001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60008,Teacher,None,Read the Bitcoin white paper twice,Light-Up Folding Scooter,Blockchain Engineer,11,10,1993,7,5,35555,7,725,11,1,1,Black Leather Briefcase,,,Purple Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Olive Oxford with Pocket,,Light Brown,,White Light Rain
60009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60012,Disciple,None,Watched a hacking tutorial video by a 13 year old,Low Rider,Media Executive,10,8,1993,7,11,35555,7,457,4,1,1,Black Smartphone,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Medium Curly Bob,White Heavy Rain
60013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60018,Graduate,None,Pretty good with GW Basic,Low Rider,Night Shift Supervisor,9,9,612791,13,11,52968,8,699,9,1,1,Blue Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Khaki,Navy Oxford with Pocket,Stubble,Blonde,Updo Bun,White Light Rain
60019,Graduate,None,Subscribed to 2600,Low Rider,Talent Agent,9,11,516,5,11,52968,8,661,8,1,1,Black Smartphone,,,Navy Blue Worker's Cap,,Tan Suede Workboot with Tan Sole,,Khaki Jumpsuit,,Light Brown,,White Heavy Rain
60020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60026,Disciple,None,Stole a high school computer lab pass,Light-Up Folding Scooter,Electrician,10,12,777,6,5,35555,7,753,13,1,1,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Dark Gray Longsleeve,,Black,Short Pixie,White Light Rain
60027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60035,Teacher,None,Subscribed to 2600,Pragmatic Coupe,Compliance Officer,11,11,777,6,10,22576,6,711,10,1,1,Lunchbox,,,,Two Rings,Brown Leather Shoes with Laces,,Gray Jumpsuit,,Blonde,Short Coil,White Light Rain
60036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60050,Grandmaster,None,USB containing the Black Cat Virus,Light-Up Folding Scooter,Custodian,13,17,612791,13,5,35555,7,559,6,1,1,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Gray Blazer with Black Shirt and No Tie,,Black,Short Afro Fade,White Medium Rain
60051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60052,Teacher,None,Stole a high school computer lab pass,Pragmatic Coupe,Compliance Officer,11,12,1993,7,10,35555,7,711,10,1,1,Lunchbox,,Black Books,,,Redbrown Leather Workboot with Brown Sole,,Khaki Jumpsuit,Mustache,Light Brown,Buzz Cut,White Light Rain
60053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60060,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60072,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
