,Zen,Name,Hacking,Transportation,Occupation,Wisdom,Intelligence,Social Media Followers,Charisma,Dexterity,Salary,Strength,Credit Score,Constitution,Votes,Generation,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
50001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,Budding Scholar,None,Subscribed to 2600,Pragmatic Coupe,Day Trader,8,11,4981,8,10,52968,8,711,10,1,1,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Light Grey,Short Messy,White Medium Rain
50021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50024,Disciple,None,Pretty good with GW Basic,Pragmatic Coupe,Legal Assistant,10,9,1993,7,10,172581,12,610,7,1,1,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Short Coil,White Heavy Rain
