,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
40001,White,Short Afro Fade,Black,,Light Gray Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,Black Smartphone
40002,White,Long Messy,Dark Brown,,Blue Longsleeve,Khaki Slacks,Brown Leather Shoes with Laces,,,Black Books,,
40003,White,Buzz Cut,Blonde,,Navy Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,,Purple Workers Cap,Black Books,Stud Earring,
40004,White,Short Coil,Blonde,Thin,Gray Jumpsuit,,White Canvas Sneaker with White Sole,,,Black Books,,
40005,White,Updo Bun,Dark Brown,,Light Gray Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,
40006,White,Straight Sideswept Fringe,Dark Brown,,Gray Oxford with Buttons,Gray Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,,,Lunchbox
40007,White,Short Afro Fade,Dark Brown,Goatee,Olive Oxford with Buttons,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,Stud Earring,Brown Leather Briefcase
40008,White,Long Messy,Light Grey,,Brown Cardigan with Beigse Oxford Shirt,Light-Wash Denim,White Leather Sneaker with Grey Sole,,,Rosegold Aviators,,
40009,White,Short Messy,Light Brown,,Navy Blazer with Striped Shirt and Navy Tie,Blue Denim,White Canvas Sneaker with White Sole,Two Rings,,Black Books,,
40010,White,,Blonde,,Light Gray Longsleeve,Gray Slacks,Black Leather Shoes with Laces,,Purple Workers Cap,,,
40011,White,Short Messy,Light Brown,Stubble,Red Longsleeve,Blue Denim,White Canvas Sneaker with White Sole,,,,,Black Smartphone
40012,White,Short Afro Fade,Light Brown,Goatee,Charcoal Blazer with Light Blue Shirt and No Tie,Light-Wash Denim,Black Leather Shoes with Laces,,,Black Books,,Black Smartphone
40013,White,Long Afro,Dark Brown,,Dark Gray Cardigan with Beige Oxford Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,Stud Earring,Lunchbox
40014,White,Low Ponytail,Auburn,,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,,,
40015,White,Straight Sideswept Fringe,Auburn,,Khaki Oxford with Pocket,Navy Slacks,White Canvas Sneaker with White Sole,,,,,Brown Leather Briefcase
40016,White,Short Coil,Auburn,,Brown Cardigan with Off-White Longsleeve Shirt,Blue Denim,Black Leather Shoes with Laces,,,,,
40017,White,Medium Curly Bob,Black,,Light Gray Longsleeve,Gray Slacks,Tan Suede Workboot with Tan Sole,,,Rosegold Aviators,,Lunchbox
40018,White,,Dark Brown,,Light Gray Longsleeve,Khaki Slacks,Black Leather Shoes with Laces,Two Rings,,Rosegold Aviators,,Black Smartphone
40019,White,Buzz Cut,Dark Brown,,Olive Oxford with Pocket,Khaki,Redbrown Leather Workboot with Brown Sole,,Tan Workers Cap,,,Black Smartphone
40020,White,Short Messy,Black,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,
40021,White,Low Ponytail,Black,,Olive Oxford with Buttons,Khaki,Black Leather Shoes with Laces,,,,,Lunchbox
40022,White,Short Messy,Dark Brown,,Blue Longsleeve,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
40023,White,Short Pixie,Black,,Olive Oxford with Tie and Pocket,Light-Wash Denim,White Leather Sneaker with Grey Sole,,,Rosegold Aviators,,Lunchbox
40024,White,,Black,Stubble,Gray Blazer with Black Shirt and No Tie,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,
40025,White,Short Pixie,Black,,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,,,,,
40026,White,Medium Curly Bob,Light Brown,,Navy Oxford with Pocket,Gray Slacks,White Canvas Sneaker with White Sole,,,,,
40027,White,Low Ponytail,Black,Mustache,Navy Oxford with Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
40028,White,Short Pixie,Light Brown,,Navy Jumpsuit,,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
40029,White,Short Updo,Dark Brown,Thin,Gray Blazer with Black Shirt and Gray Tie,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
40030,White,Buzz Cut,Light Grey,,Olive Oxford with Tie,Blue Denim,White Canvas Sneaker with White Sole,,,,,Lunchbox
40031,White,Short Messy,Dark Brown,Mustache,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,Black Leather Shoes with Laces,,,,,Lunchbox
40032,White,Buzz Cut,Dark Brown,,Charcoal Blazer with Light Blue Shirt and Black Tie,Light-Wash Denim,White Leather Sneaker with Grey Sole,,,Silver Aviators,,Black Leather Briefcase
40033,White,Straight Sideswept Fringe,Light Grey,Mustache,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,
40034,White,Low Ponytail,Blonde,,Olive Oxford with Pocket,Navy Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,Silver Aviators,,
40035,White,Short Pixie,Light Brown,,Navy Oxford with Tie and Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,
40036,White,Short Pixie,Light Brown,,Navy Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,,,,,Lunchbox
40037,White,Short Coil,Blonde,Thin,Olive Oxford with Pocket,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Leather Briefcase
40038,White,Short Pixie,Blonde,,Olive Cardigan with Off-White Longsleeve Shirt,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
40039,White,Short Messy,Blonde,,Gray Oxford with Tie,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Black Smartphone
40040,White,Short Afro Fade,Light Brown,,Navy Oxford with Buttons,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,Black Smartphone
40041,White,Straight Sideswept Fringe,Black,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,Lunchbox
40042,White,Long Straight Bangs,Black,,Navy Oxford with Tie,Navy Slacks,Black Leather Shoes with Laces,Two Rings,,,,Black Smartphone
40043,White,Buzz Cut,Blonde,,Gray Blazer with Black Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,,Navy Blue Workers Cap,Black Books,,Black Leather Briefcase
40044,White,Short Messy,Light Brown,Beard,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki,Redbrown Leather Workboot with Brown Sole,,,,Stud Earring,
40045,White,,Dark Brown,Mustache,Light Gray Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,White Canvas Sneaker with White Sole,,Tan Workers Cap,Black Books,Stud Earring,Black Smartphone
40046,White,Short Pixie,Light Brown,Stubble,Dark Gray Longsleeve,Gray Slacks,Black Leather Shoes with Laces,,,,,Lunchbox
40047,White,Low Ponytail,Dark Brown,,Charcoal Blazer with Light Blue Shirt and Black Tie,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
40048,White,Short Messy,Light Grey,,Navy Oxford with Tie,Gray Slacks,White Canvas Sneaker with White Sole,,,Rosegold Aviators,,Brown Leather Briefcase
40049,White,Medium Curly Bob,Blonde,,Khaki Oxford with Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,
40050,White,Buzz Cut,Black,Beard,Olive Oxford with Buttons,Navy Slacks,Black Suede Chelseas with Brown Sole,Two Rings,Purple Workers Cap,,Stud Earring,Black Smartphone
40051,White,Buzz Cut,Black,,Red Longsleeve,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
40052,White,Short Coil,Black,,Gray Oxford with Buttons,Gray Slacks,Black Leather Shoes with Laces,Ring One Blue,,,,
40053,White,Short Coil,Blonde,,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,Rosegold Aviators,,Brown Leather Briefcase
40054,White,Medium Curly Bob,Black,Thin,Olive Oxford with Tie and Pocket,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
40055,White,Buzz Cut,Black,,Olive Cardigan with Beige Longsleeve Shirt,Gray Slacks,Black Leather Shoes with Laces,,Tan Workers Cap,Black Books,,
40056,White,Short Pixie,Black,,Gray Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
40057,White,Short Messy,Blonde,,Navy Jumpsuit,,Redbrown Leather Workboot with Brown Sole,,,Silver Aviators,,Black Smartphone
40058,White,Short Coil,Light Brown,,Navy Jumpsuit,,Brown Leather Shoes with Laces,,,,Stud Earring,
40059,White,Short Messy,Dark Brown,,Navy Jumpsuit,,White Leather Sneaker with Grey Sole,,,,,
40060,White,Short Pixie,Black,,Khaki Oxford with Tie,Light-Wash Denim,Black Leather Shoes with Laces,,,,,Black Smartphone
40061,White,Short Pixie,Black,,Navy Blazer with Striped Shirt and No Tie,Blue Denim,White Canvas Sneaker with White Sole,,,Black Books,,
40062,White,Short Pixie,Black,,Gray Oxford with Buttons,Light-Wash Denim,White Leather Sneaker with Grey Sole,,,,Stud Earring,Light Blue Smartphone
40063,White,Short Coil,Light Brown,,Gray Oxford with Tie and Pocket,Navy Slacks,Black Leather Shoes with Laces,Two Rings,,Rosegold Aviators,,Brown Leather Briefcase
40064,White,Long Straight Bangs,Light Grey,,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Black Leather Shoes with Laces,,,,,
40065,White,Short Afro Fade,Light Brown,,Blue Longsleeve,Blue Denim,Redbrown Leather Workboot with Brown Sole,Two Rings,,,,
40066,White,,Light Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,Tan Workers Cap,,,Brown Leather Briefcase
40067,White,Buzz Cut,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,,Tan Workers Cap,Black Books,,Lunchbox
40068,White,Low Ponytail,Light Grey,,Olive Oxford with Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Brown Leather Briefcase
40069,White,Medium Curly Bob,Black,,Khaki Oxford with Tie and Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,
40070,White,Short Coil,Light Brown,Stubble,Olive Oxford with Tie,Navy Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Lunchbox
40071,White,Short Pixie,Light Brown,,Olive Oxford with Pocket,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,,
40072,White,Short Afro Fade,Black,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Brown Leather Briefcase
40073,White,Short Messy,Dark Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Black Leather Shoes with Laces,,,Rosegold Aviators,,Brown Leather Briefcase
40074,White,Low Ponytail,Dark Brown,Thin,Dark Gray Cardigan with Beige Longsleeve Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Black Smartphone
40075,White,Short Pixie,Black,,Olive Oxford with Tie,Blue Denim,Brown Leather Shoes with Laces,,,Black Books,,Lunchbox
