,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
25001,White,Short Afro Fade,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
25002,White,Medium Curly Bob,Dark Brown,,Olive Cardigan with Light Gray Longsleeve Shirt,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Light Blue Smartphone
25003,White,Low Ponytail,Light Brown,,Navy Oxford with Tie,Khaki,Brown Leather Shoes with Laces,,,Black Books,Stud Earring,Black Smartphone
25004,White,,Light Grey,,Gray Oxford with Pocket,Light-Wash Denim,White Leather Sneaker with Grey Sole,,Tan Workers Cap,,,Black Leather Briefcase
25005,White,Short Afro Fade,Blonde,Mustache,Navy Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,,,Black Books,,
25006,White,Low Ponytail,Light Grey,,Dark Gray Cardigan with Tan Longsleeve Shirt,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Lunchbox
25007,White,Buzz Cut,Black,,Light Gray Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Brown Leather Briefcase
25008,White,,Light Grey,,Khaki Oxford with Tie and Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,
25009,White,Short Afro Fade,Blonde,Stubble,Blue Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
25010,White,Short Pixie,Black,,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,Two Rings,,,,Lunchbox
25011,White,Straight Sideswept Fringe,Auburn,,Olive Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
25012,White,Short Coil,Light Brown,Goatee,Navy Oxford with Tie and Pocket,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
25013,White,Short Messy,Light Grey,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,Black Books,,
25014,White,,Dark Brown,Beard,Khaki Oxford with Buttons,Dark-Wash Denim,White Canvas Sneaker with White Sole,,Tan Workers Cap,,,Lunchbox
25015,White,Short Pixie,Light Grey,,Gray Oxford with Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Black Leather Briefcase
25016,White,Low Ponytail,Dark Brown,,Navy Oxford with Pocket,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,
25017,White,Short Afro Fade,Black,,Navy Oxford with Pocket,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,
25018,White,Short Pixie,Light Brown,,Navy Blazer with Striped Shirt and Navy Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,,,,,
25019,White,Buzz Cut,Light Brown,,Olive Oxford with Pocket,Gray Slacks,Black Suede Chelseas with Brown Sole,,Tan Workers Cap,Black Books,,Lunchbox
25020,White,,Light Brown,,Red Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,,Tan Workers Cap,,,Black Smartphone
25021,White,Short Pixie,Dark Brown,,Khaki Oxford with Pocket,Gray Slacks,White Canvas Sneaker with White Sole,,,Black Books,,
25022,White,Long Messy,Auburn,Beard,Khaki Oxford with Tie,Blue Denim,Brown Leather Shoes with Laces,,,,,
25023,White,Long Messy,Light Brown,,Navy Oxford with Buttons,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Smartphone
25024,White,Straight Sideswept Fringe,Blonde,,Light Gray Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
25025,White,,Black,,Navy Oxford with Tie and Pocket,Khaki Slacks,Black Leather Shoes with Laces,,,Rosegold Aviators,,
25026,White,Short Coil,Light Grey,Goatee,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,,,Brown Leather Briefcase
25027,White,Buzz Cut,Auburn,,Gray Blazer with Black Shirt and Gray Tie,Gray Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,
25028,White,Straight Sideswept Fringe,Light Brown,,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,
25029,White,Long Messy,Black,Thin,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
25030,White,Medium Curly Bob,Light Brown,Thin,Olive Oxford with Buttons,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,,
25031,White,Short Messy,Light Brown,,Tan Blazer with Off-White Shirt and Tan Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,
25032,White,Updo Bun,Auburn,Goatee,Light Gray Cardigan with Off-White Longsleeve Shirt,Dark-Wash Denim,White Canvas Sneaker with White Sole,Two Rings,,Black Books,,
25033,White,Short Coil,Black,,Light Gray Cardigan with Tan Longsleeve Shirt,Khaki Slacks,White Canvas Sneaker with White Sole,,,,,Brown Leather Briefcase
25034,White,Short Messy,Light Grey,,Light Gray Cardigan with Light Gray Longsleeve Shirt,Gray Slacks,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
25035,White,Short Updo,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Smartphone
25036,White,Short Coil,Light Grey,Stubble,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
25037,White,Straight Sideswept Fringe,Blonde,,Navy Oxford with Buttons,Gray Slacks,Black Leather Shoes with Laces,,,,,
25038,White,Straight Sideswept Fringe,Dark Brown,Beard,Red Longsleeve,Blue Denim,Black Suede Chelseas with Brown Sole,,,Black Books,Stud Earring,Lunchbox
25039,White,Short Coil,Black,,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,
25040,White,Long Messy,Black,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,Black Smartphone
25041,White,,Auburn,,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,White Leather Sneaker with Grey Sole,,,,Stud Earring,
25042,White,Medium Curly Bob,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Light-Wash Denim,White Canvas Sneaker with White Sole,,,Black Books,,Black Leather Briefcase
25043,White,Straight Sideswept Fringe,Light Brown,,Dark Gray Longsleeve,Gray Slacks,Black Leather Shoes with Laces,Two Rings,,Silver Aviators,,
25044,White,Straight Sideswept Fringe,Light Brown,,Navy Oxford with Pocket,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
25045,White,Short Afro Fade,Light Grey,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Smartphone
25046,White,Short Coil,Dark Brown,Stubble,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,
25047,White,Short Coil,Auburn,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Smartphone
25048,White,Short Messy,Black,,Navy Oxford with Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
25049,White,Medium Curly Bob,Black,,Blue Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
25050,White,Short Afro Fade,Black,Stubble,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,,,Black Smartphone
25051,White,Short Afro Fade,Black,,Light Gray Longsleeve,Navy Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Leather Briefcase
25052,White,Straight Sideswept Fringe,Light Brown,Mustache,Denim Jumpsuit,,Black Suede Chelseas with Brown Sole,,,,,Lunchbox
25053,White,Short Coil,Light Brown,,Dark Gray Cardigan with Light Gray Oxford Shirt,Blue Denim,Redbrown Leather Workboot with Brown Sole,,,,,
25054,White,Short Coil,Auburn,,Navy Oxford with Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,Rosegold Aviators,,
25055,White,Straight Sideswept Fringe,Light Grey,,Light Gray Longsleeve,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
25056,White,Buzz Cut,Light Grey,Thin,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,Black Leather Briefcase
25057,White,Long Messy,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,White Canvas Sneaker with White Sole,,,Black Books,,Black Leather Briefcase
25058,White,Long Messy,Auburn,Mustache,Dark Gray Longsleeve,Blue Denim,Brown Leather Shoes with Laces,,,Rosegold Aviators,,
25059,White,,Light Grey,,Navy Oxford with Pocket,Navy Slacks,Black Suede Chelseas with Brown Sole,,Tan Workers Cap,,,Brown Leather Briefcase
25060,White,Updo Bun,Black,Mustache,Navy Blazer with Striped Shirt and Navy Tie,Light-Wash Denim,Black Leather Shoes with Laces,,,Silver Aviators,,Lunchbox
25061,White,Long Messy,Black,Stubble,Khaki Oxford with Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Leather Briefcase
25062,White,Short Pixie,Light Brown,Stubble,Light Gray Longsleeve,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,
25063,White,,Dark Brown,,Navy Oxford with Pocket,Navy Slacks,Brown Leather Shoes with Laces,,,Rosegold Aviators,,Lunchbox
25064,White,Short Messy,Light Grey,,Light Gray Cardigan with Beige Longsleeve Shirt,Dark-Wash Denim,Black Leather Shoes with Laces,,,Black Books,,Lunchbox
25065,White,,Light Brown,,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,Tan Workers Cap,,,Lunchbox
25066,White,,Black,,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,,,,,
25067,White,Medium Curly Bob,Black,,Olive Oxford with Tie and Pocket,Navy Slacks,Tan Suede Workboot with Tan Sole,,,,,
25068,White,Straight Sideswept Fringe,Auburn,,Gray Blazer with Black Shirt and No Tie,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Black Smartphone
25069,White,Long Messy,Black,,Blue Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
25070,White,Short Updo,Blonde,,Red Longsleeve,Navy Slacks,Black Leather Shoes with Laces,,,,,Lunchbox
25071,White,,Black,,Navy Blazer with Striped Shirt and No Tie,Blue Denim,White Canvas Sneaker with White Sole,,,,,Lunchbox
25072,White,Short Pixie,Blonde,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Brown Leather Shoes with Laces,Two Rings,,Rosegold Aviators,,Brown Leather Briefcase
25073,White,Short Coil,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,
25074,White,Buzz Cut,Black,,Light Gray Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Brown Leather Briefcase
25075,White,Long Messy,Blonde,,Gray Oxford with Pocket,Navy Slacks,Brown Leather Shoes with Laces,,,,,
25076,White,Straight Sideswept Fringe,Light Grey,,Navy Oxford with Tie,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
25077,White,Short Updo,Black,,Navy Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,Two Rings,,Black Books,,
25078,White,Short Messy,Light Grey,,Light Gray Cardigan with Light Gray Oxford Shirt,Blue Denim,Brown Leather Shoes with Laces,,,Silver Aviators,,Brown Leather Briefcase
25079,White,,Light Grey,Stubble,Khaki Oxford with Pocket,Navy Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,,,,Black Leather Briefcase
25080,White,Short Messy,Black,Stubble,Gray Blazer with Black Shirt and No Tie,Blue Denim,White Canvas Sneaker with White Sole,,,,Stud Earring,Brown Leather Briefcase
25081,White,Medium Curly Bob,Blonde,,Khaki Oxford with Tie and Pocket,Charcoal Slacks,Black Leather Shoes with Laces,,,Silver Aviators,,Black Smartphone
25082,White,Updo Bun,Black,,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,White Leather Sneaker with Grey Sole,Two Rings,,Rosegold Aviators,,Brown Leather Briefcase
25083,White,Short Messy,Black,Thin,Red Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,Stud Earring,Black Smartphone
