,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
80001,White,Medium Curly Bob,Light Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki,Black Suede Chelseas with Brown Sole,,,Rosegold Aviators,,Black Smartphone
80002,White,Short Afro Fade,Dark Brown,,Blue Longsleeve,Navy Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,,,Black Smartphone
80003,White,Updo Bun,Light Brown,,Blue Longsleeve,Gray Slacks,White Canvas Sneaker with White Sole,,,,,
80004,White,,Auburn,,Olive Oxford with Tie and Pocket,Gray Slacks,White Canvas Sneaker with White Sole,,Tan Workers Cap,,,Black Smartphone
80005,White,Short Coil,Light Grey,,Gray Blazer with Black Shirt and Gray Tie,Light-Wash Denim,Black Leather Shoes with Laces,,,,,Lunchbox
80006,White,Short Coil,Auburn,Stubble,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
80007,White,Short Pixie,Dark Brown,,Olive Oxford with Tie,Navy Slacks,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
80008,White,Long Messy,Black,,Dark Gray Longsleeve,Blue Denim,Brown Leather Shoes with Laces,Two Rings,,,,Brown Leather Briefcase
80009,White,Buzz Cut,Light Brown,,Navy Oxford with Buttons,Khaki Slacks,White Canvas Sneaker with White Sole,,Tan Workers Cap,Black Books,,Black Leather Briefcase
80010,White,,Auburn,,Gray Oxford with Tie,Navy Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,
80011,White,Long Messy,Dark Brown,,Light Gray Longsleeve,Light-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,
80012,White,Straight Sideswept Fringe,Light Brown,Goatee,Navy Oxford with Tie,Blue Denim,Brown Leather Shoes with Laces,,,,,Lunchbox
80013,White,Short Updo,Light Brown,,Olive Oxford with Tie,Khaki,Brown Leather Shoes with Laces,,,Silver Aviators,,Black Smartphone
80014,White,Short Afro Fade,Dark Brown,,Khaki Oxford with Pocket,Khaki Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,Rosegold Aviators,,Black Smartphone
80015,White,Long Messy,Black,Beard,Dark Gray Cardigan with Tan Oxford Shirt,Navy Slacks,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
80016,White,Low Ponytail,Light Brown,,Gray Oxford with Pocket,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Smartphone
80017,White,Short Coil,Dark Brown,,Gray Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Smartphone
80018,White,Short Afro Fade,Light Brown,,Light Gray Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,Black Books,,Brown Leather Briefcase
80019,White,Straight Sideswept Fringe,Light Grey,,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,Black Books,,Brown Leather Briefcase
80020,White,Low Ponytail,Blonde,,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,Brown Leather Shoes with Laces,Two Rings,,,Stud Earring,Light Blue Smartphone
80021,White,Medium Curly Bob,Blonde,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,,,Black Smartphone
80022,White,Short Messy,Blonde,,Tan Blazer with Off-White Shirt and Tan Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
80023,White,Short Coil,Light Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki,White Canvas Sneaker with White Sole,,,,,
80024,White,Low Ponytail,Blonde,Beard,Gray Oxford with Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Smartphone
80025,White,Updo Bun,Blonde,,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,Black Books,,
80026,White,Straight Sideswept Fringe,Blonde,,Navy Oxford with Buttons,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,
80027,White,Long Messy,Black,,Olive Oxford with Tie,Gray Slacks,Black Leather Shoes with Laces,,,Black Books,,
80028,White,Buzz Cut,Black,,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,,Tan Workers Cap,,,Light Blue Smartphone
80029,White,Buzz Cut,Light Brown,,Denim Jumpsuit,,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
80030,White,Short Afro Fade,Light Brown,,Dark Gray Cardigan with Beige Longsleeve Shirt,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Lunchbox
80031,White,Short Afro Fade,Blonde,,Navy Jumpsuit,,Brown Leather Shoes with Laces,,,,,Lunchbox
80032,White,Short Afro Fade,Light Brown,,Navy Blazer with Striped Shirt and Navy Tie,Gray Slacks,Brown Leather Shoes with Laces,,,,,
80033,White,Long Messy,Dark Brown,,Tan Blazer with Off-White Shirt and Tan Tie,Light-Wash Denim,Black Leather Shoes with Laces,Two Rings,,,,Brown Leather Briefcase
80034,White,Low Ponytail,Dark Brown,,Khaki Oxford with Buttons,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,,Silver Aviators,,Lunchbox
80035,White,Short Coil,Light Brown,Thin,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,,Stud Earring,Lunchbox
