,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
70001,White,Medium Curly Bob,Black,,Blue Longsleeve,Khaki Slacks,Black Leather Shoes with Laces,,,,,
70002,White,Short Pixie,Light Grey,,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,,,Stud Earring,
70003,White,Long Messy,Light Brown,,Gray Oxford with Tie,Navy Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Smartphone
70004,White,Buzz Cut,Light Grey,,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,Purple Workers Cap,Black Books,,Brown Leather Briefcase
70005,White,Straight Sideswept Fringe,Black,Goatee,Gray Jumpsuit,,Tan Suede Workboot with Tan Sole,,,,,
70006,White,Low Ponytail,Light Brown,,Gray Oxford with Buttons,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,Black Books,,Brown Leather Briefcase
70007,White,Long Messy,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,Black Leather Briefcase
70008,White,Straight Sideswept Fringe,Light Grey,,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,,,Black Smartphone
70009,White,Short Afro Fade,Black,Thin,Brown Cardigan with Tan Oxford Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,Brown Leather Briefcase
70010,White,Medium Curly Bob,Dark Brown,,Dark Gray Cardigan with Beige Longsleeve Shirt,Gray Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Leather Briefcase
70011,White,Straight Sideswept Fringe,Dark Brown,,Olive Oxford with Tie and Pocket,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
70012,White,Short Afro Fade,Black,Stubble,Olive Oxford with Buttons,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Brown Leather Briefcase
70013,White,Long Messy,Black,,Brown Cardigan with Beigse Oxford Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
70014,White,Short Messy,Dark Brown,,Blue Longsleeve,Blue Denim,Black Leather Shoes with Laces,Two Rings,,Black Books,Stud Earring,
70015,White,Buzz Cut,Black,Stubble,Gray Blazer with Black Shirt and Gray Tie,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
70016,White,Short Afro Fade,Auburn,Thin,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,,
70017,White,,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Light-Wash Denim,Black Leather Shoes with Laces,,,,,
70018,White,Long Afro,Black,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,Two Rings,,,,Black Smartphone
70019,White,Medium Curly Bob,Light Brown,,Light Gray Cardigan with Light Gray Oxford Shirt,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Lunchbox
70020,White,Updo Bun,Light Brown,,Brown Cardigan with Beige Longsleeve Shirt,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Black Smartphone
70021,White,Short Coil,Light Grey,,Olive Oxford with Tie and Pocket,Khaki,White Canvas Sneaker with White Sole,,,,,Brown Leather Briefcase
70022,White,Straight Sideswept Fringe,Black,,Dark Gray Longsleeve,Light-Wash Denim,Black Leather Shoes with Laces,,,Rosegold Aviators,,Lunchbox
70023,White,Short Coil,Black,,Tan Blazer with Off-White Shirt and No Tie,Khaki,Brown Leather Shoes with Laces,,,,,
70024,White,,Blonde,,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,Black Leather Shoes with Laces,,Tan Workers Cap,Black Books,,
70025,White,Medium Curly Bob,Black,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,Black Smartphone
70026,White,,Blonde,,Gray Oxford with Buttons,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,Tan Workers Cap,,,Brown Leather Briefcase
70027,White,Short Updo,Black,,Light Gray Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
70028,White,Short Coil,Black,,Khaki Jumpsuit,,Brown Leather Shoes with Laces,,,Silver Aviators,,Lunchbox
70029,White,Short Messy,Auburn,,Olive Oxford with Pocket,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,,Stud Earring,
70030,White,,Light Brown,,Blue Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
70031,White,,Black,Stubble,Dark Gray Cardigan with Tan Longsleeve Shirt,Navy Slacks,White Leather Sneaker with Grey Sole,,,Silver Aviators,,Brown Leather Briefcase
70032,White,,Dark Brown,,Blue Longsleeve,Light-Wash Denim,Redbrown Leather Workboot with Brown Sole,,Tan Workers Cap,,,
70033,White,Medium Curly Bob,Light Brown,,Olive Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Leather Briefcase
70034,White,Low Ponytail,Light Grey,,Navy Oxford with Buttons,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,Black Books,,Lunchbox
70035,White,Long Messy,Black,Stubble,Gray Blazer with Black Shirt and No Tie,Khaki,White Canvas Sneaker with White Sole,,,,,
70036,White,Updo Bun,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
70037,White,Short Messy,Black,,Navy Blazer with Striped Shirt and No Tie,Light-Wash Denim,Tan Suede Workboot with Tan Sole,Two Rings,,,,Brown Leather Briefcase
70038,White,Buzz Cut,Auburn,,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,Tan Workers Cap,,,
70039,White,Short Messy,Light Grey,,Dark Gray Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,Lunchbox
70040,White,Short Pixie,Dark Brown,Beard,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
70041,White,Medium Curly Bob,Blonde,,Gray Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,,,Black Smartphone
70042,White,Short Pixie,Black,,Blue Longsleeve,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,,,Black Smartphone
70043,White,Low Ponytail,Black,,Dark Gray Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
70044,White,Short Messy,Dark Brown,,Navy Blazer with Striped Shirt and Navy Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
70045,White,Straight Sideswept Fringe,Light Brown,,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
70046,White,Short Messy,Light Brown,,Khaki Jumpsuit,,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
70047,White,Straight Sideswept Fringe,Dark Brown,Stubble,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,White Leather Sneaker with Grey Sole,Two Rings,,,,Black Smartphone
70048,White,Short Pixie,Black,,Gray Blazer with Black Shirt and No Tie,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,Black Smartphone
70049,White,Short Coil,Light Brown,,Light Gray Cardigan with Light Gray Oxford Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Brown Leather Briefcase
70050,White,Short Coil,Blonde,Thin,Blue Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Black Books,,Brown Leather Briefcase
70051,White,Medium Curly Bob,Light Grey,,Gray Oxford with Buttons,Blue Denim,Redbrown Leather Workboot with Brown Sole,,,Black Books,,
70052,White,Short Messy,Light Brown,Mustache,Navy Oxford with Buttons,Navy Slacks,Tan Suede Workboot with Tan Sole,Two Rings,,,,Black Smartphone
70053,White,Short Coil,Dark Brown,,Denim Jumpsuit,,White Leather Sneaker with Grey Sole,,,,,Lunchbox
70054,White,Short Pixie,Black,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Black Leather Briefcase
70055,White,Low Ponytail,Black,Goatee,Khaki Oxford with Tie and Pocket,Gray Slacks,Brown Leather Shoes with Laces,Two Rings,,,,
70056,White,Short Updo,Blonde,,Denim Jumpsuit,,Black Leather Shoes with Laces,,,Black Books,,Black Leather Briefcase
70057,White,Short Updo,Black,,Dark Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,,,Silver Aviators,,Lunchbox
70058,White,Updo Bun,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
70059,White,Short Coil,Black,Stubble,Navy Oxford with Tie and Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,
