,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
15001,White,Medium Curly Bob,Dark Brown,,Gray Blazer with Black Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
15002,White,Straight Sideswept Fringe,Dark Brown,,Light Gray Cardigan with Light Gray Longsleeve Shirt,Blue Denim,White Canvas Sneaker with White Sole,,,,,Lunchbox
15003,White,Low Ponytail,Light Brown,Stubble,Khaki Oxford with Buttons,Blue Denim,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
15004,White,Short Afro Fade,Light Brown,,Olive Cardigan with Off-White Longsleeve Shirt,Khaki,White Canvas Sneaker with White Sole,,,,,Black Smartphone
15005,White,Short Pixie,Black,Mustache,Olive Oxford with Tie,Gray Slacks,Black Leather Shoes with Laces,,,,Stud Earring,Black Leather Briefcase
15006,White,Buzz Cut,Blonde,Stubble,Navy Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,,,Rosegold Aviators,,Black Smartphone
15007,White,Low Ponytail,Light Brown,Beard,Light Gray Longsleeve,Dark-Wash Denim,Black Leather Shoes with Laces,,,Silver Aviators,,Black Smartphone
15008,White,Short Messy,Light Brown,,Gray Oxford with Buttons,Gray Slacks,White Canvas Sneaker with White Sole,,,,,Black Smartphone
15009,White,Short Messy,Black,,Tan Blazer with Off-White Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,
15010,White,,Black,,Olive Oxford with Pocket,Charcoal Slacks,Black Leather Shoes with Laces,,Navy Blue Workers Cap,Black Books,,
15011,White,Short Afro Fade,Light Grey,Stubble,Light Gray Cardigan with Light Gray Longsleeve Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
15012,White,Buzz Cut,Light Brown,Thin,Blue Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,Tan Workers Cap,Black Books,,Lunchbox
15013,White,Short Messy,Dark Brown,,Blue Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
15014,White,Medium Curly Bob,Black,,Dark Gray Cardigan with Tan Oxford Shirt,Khaki Slacks,Black Leather Shoes with Laces,,,,,Black Smartphone
15015,White,Long Straight Bangs,Black,,Navy Oxford with Buttons,Light-Wash Denim,Black Leather Shoes with Laces,,,Silver Aviators,,Lunchbox
15016,White,Long Messy,Black,,Olive Oxford with Pocket,Khaki Slacks,Brown Leather Shoes with Laces,Two Rings,,Rosegold Aviators,,
15017,White,Short Coil,Black,,Olive Oxford with Tie and Pocket,Light-Wash Denim,White Canvas Sneaker with White Sole,,,,,
15018,White,Straight Sideswept Fringe,Dark Brown,,Gray Blazer with Black Shirt and Gray Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Lunchbox
15019,White,Buzz Cut,Black,,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,Tan Workers Cap,Black Books,,Black Leather Briefcase
15020,White,Straight Sideswept Fringe,Light Brown,,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Black Leather Briefcase
15021,White,Straight Sideswept Fringe,Auburn,,Olive Oxford with Buttons,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
15022,White,Short Messy,Black,,Light Gray Longsleeve,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Brown Leather Briefcase
15023,White,Long Messy,Auburn,,Dark Gray Longsleeve,Light-Wash Denim,White Leather Sneaker with Grey Sole,,,,,
15024,White,Short Afro Fade,Blonde,Mustache,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,,,Black Leather Briefcase
15025,White,Straight Sideswept Fringe,Dark Brown,,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
15026,White,Short Afro Fade,Light Brown,Mustache,Dark Gray Cardigan with Off-White Longsleeve Shirt,Charcoal Slacks,Black Leather Shoes with Laces,,,Silver Aviators,,Brown Leather Briefcase
15027,White,Low Ponytail,Blonde,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
15028,White,Long Afro,Black,Goatee,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Black Smartphone
15029,White,Low Ponytail,Dark Brown,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,,,Brown Leather Briefcase
15030,White,Medium Curly Bob,Black,,Navy Blazer with Striped Shirt and No Tie,Blue Denim,Black Suede Chelseas with Brown Sole,,,,,
15031,White,Long Straight Bangs,Blonde,,Olive Oxford with Buttons,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Black Smartphone
15032,White,,Black,,Tan Blazer with Off-White Shirt and Tan Tie,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,Navy Blue Workers Cap,Black Books,,Black Smartphone
15033,White,Short Messy,Black,,Olive Oxford with Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,,Stud Earring,Black Smartphone
15034,White,,Dark Brown,Thin,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,Purple Workers Cap,,,Black Smartphone
15035,White,Medium Curly Bob,Auburn,Beard,Gray Oxford with Tie and Pocket,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,,,
15036,White,,Light Grey,,Gray Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,,Tan Workers Cap,Black Books,,Lunchbox
15037,White,,Light Brown,,Red Longsleeve,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,,,Silver Aviators,Stud Earring,Black Leather Briefcase
15038,White,Low Ponytail,Black,Goatee,Navy Oxford with Buttons,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,Lunchbox
15039,White,Updo Bun,Black,,Blue Longsleeve,Blue Denim,White Leather Sneaker with Grey Sole,,,,,
15040,White,Updo Bun,Blonde,Mustache,Olive Oxford with Tie and Pocket,Navy Slacks,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
15041,White,Short Messy,Blonde,,Olive Oxford with Tie,Khaki,Redbrown Leather Workboot with Brown Sole,,,,,Black Smartphone
