,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
60001,White,Low Ponytail,Auburn,,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,,Stud Earring,Lunchbox
60002,White,Medium Curly Bob,Dark Brown,,Gray Oxford with Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
60003,White,,Blonde,,Light Gray Cardigan with Light Gray Oxford Shirt,Dark-Wash Denim,White Canvas Sneaker with White Sole,,Purple Workers Cap,Black Books,,
60004,White,Medium Curly Bob,Light Brown,,Red Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,,,,,
60005,White,Short Updo,Dark Brown,Stubble,Gray Blazer with Black Shirt and Gray Tie,Khaki,Black Suede Chelseas with Brown Sole,,,,Stud Earring,
60006,White,Updo Bun,Black,,Navy Oxford with Pocket,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,,,Stud Earring,
60007,White,Short Afro Fade,Black,,Navy Oxford with Buttons,Navy Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
60008,White,,Light Brown,,Olive Oxford with Pocket,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,Purple Workers Cap,,,Black Leather Briefcase
60009,White,Low Ponytail,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
60010,White,,Black,,Khaki Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,Navy Blue Workers Cap,Black Books,,Black Leather Briefcase
60011,White,Updo Bun,Blonde,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,
60012,White,Medium Curly Bob,Dark Brown,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,Silver Aviators,,Black Smartphone
60013,White,Short Updo,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,
60014,White,Short Updo,Blonde,,Red Longsleeve,Khaki,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
60015,White,Short Updo,Black,,Dark Gray Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,
60016,White,Buzz Cut,Auburn,,Charcoal Blazer with Light Blue Shirt and No Tie,Blue Denim,Brown Leather Shoes with Laces,,Tan Workers Cap,,,Black Leather Briefcase
60017,White,Long Straight Bangs,Light Brown,Mustache,Olive Oxford with Buttons,Navy Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
60018,White,Updo Bun,Blonde,Stubble,Navy Oxford with Pocket,Khaki,White Canvas Sneaker with White Sole,,,Black Books,,Blue Lunchbox
60019,White,,Light Brown,,Khaki Jumpsuit,,Tan Suede Workboot with Tan Sole,,Navy Blue Workers Cap,,,Black Smartphone
60020,White,Short Coil,Dark Brown,,Dark Gray Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,Black Books,,Brown Leather Briefcase
60021,White,Updo Bun,Black,,Gray Blazer with Black Shirt and No Tie,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,
60022,White,Short Afro Fade,Light Grey,,Olive Oxford with Buttons,Khaki,Black Suede Chelseas with Brown Sole,Two Rings,,,,Black Leather Briefcase
60023,White,Low Ponytail,Light Grey,,Dark Gray Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Rosegold Aviators,,Black Smartphone
60024,White,Long Messy,Light Brown,,Navy Jumpsuit,,White Canvas Sneaker with White Sole,Two Rings,,,,
60025,White,Short Afro Fade,Black,Mustache,Light Gray Cardigan with Tan Longsleeve Shirt,Khaki Slacks,Brown Leather Shoes with Laces,,,Rosegold Aviators,,Brown Leather Briefcase
