,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
5001,White,Buzz Cut,Dark Brown,,Gray Oxford with Buttons,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Black Smartphone
5002,White,,Light Brown,,Khaki Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,Black Leather Briefcase
5003,White,Buzz Cut,Black,,Navy Oxford with Pocket,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,,,Silver Aviators,Stud Earring,Lunchbox
5004,White,,Black,Stubble,Olive Oxford with Pocket,Dark-Wash Denim,Black Leather Shoes with Laces,,Tan Workers Cap,,,Lunchbox
5005,White,Short Afro Fade,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Light-Wash Denim,White Canvas Sneaker with White Sole,,,Black Books,,
5006,White,Low Ponytail,Light Grey,,Olive Oxford with Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,
5007,White,Short Coil,Black,Stubble,Navy Oxford with Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,
5008,White,Short Coil,Light Brown,,Navy Oxford with Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,
5009,White,Short Coil,Light Brown,,Olive Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,,,Black Books,,
5010,White,Short Messy,Light Brown,,Navy Oxford with Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,,
5011,White,Updo Bun,Black,,Navy Blazer with Striped Shirt and Navy Tie,Blue Denim,White Canvas Sneaker with White Sole,,,,,
5012,White,Short Coil,Black,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,,,,Black Leather Briefcase
5013,White,Short Coil,Light Brown,Stubble,Light Gray Longsleeve,Blue Denim,Redbrown Leather Workboot with Brown Sole,,,,,
5014,White,Short Afro Fade,Light Brown,,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,,,Rosegold Aviators,,
