,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
1,White,,Light Brown,,Blue Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
2,White,Long Afro,Dark Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,
3,White,Long Messy,Black,,Olive Oxford with Buttons,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,
4,White,Short Messy,Light Brown,,Khaki Oxford with Buttons,Blue Denim,White Canvas Sneaker with White Sole,,,,Stud Earring,Black Leather Briefcase
5,White,Straight Sideswept Fringe,Light Brown,Mustache,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Lunchbox
6,White,Buzz Cut,Black,,Navy Jumpsuit,,White Leather Sneaker with Grey Sole,,,Black Books,Stud Earring,
7,White,Low Ponytail,Light Brown,,Brown Cardigan with Tan Oxford Shirt,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Lunchbox
8,White,Long Messy,Blonde,,Tan Blazer with Off-White Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,Black Smartphone
9,White,Short Updo,Light Brown,Stubble,Gray Oxford with Tie and Pocket,Gray Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,
10,White,Medium Curly Bob,Dark Brown,,Light Gray Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,Rosegold Aviators,,Black Smartphone
11,White,Short Afro Fade,Black,,Gray Oxford with Buttons,Navy Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Brown Leather Briefcase
12,White,Short Updo,Dark Brown,Stubble,Olive Oxford with Tie,Light-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,Lunchbox
13,White,Short Afro Fade,Dark Brown,Stubble,Blue Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,Two Rings,,,,
14,White,Low Ponytail,Dark Brown,,Red Longsleeve,Light-Wash Denim,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
