,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
65001,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Natural born leader,White Leather Longsleeve Crew,Laughing at your mistakes,Black Wayfarer with Black Lens,Green Leather Neo Combat Boot,Can take a punch,10,10,11,3,11,3,1,1,,,,,,,,,,,,Natural,Light Brown,Short Curly Fade,Light Rain,Red Cotton Leggings
65002,Can smell fear,Yes,True grit,A gelatinous blob,None,People smile back at you,Black Leather Mandarin Trench Coat,Reality is seen as it is,Black Wayfarer with Black Lens,Green Leather Combat Cuff Boot,Scrappy,6,15,14,1,9,5,1,1,,,,,,,,,,,,Natural,Light Grey,Long Messy,Heavy Rain,Black Cotton Wool Slacks with Buckles
65003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65004,Can hear a bee's wings,Yes,True grit,Astonishing acrobatics,None,Your significant other's mom loves you,Black Leather Mandarin Trench Coat,Eckhart Tolle has you on speed dial,Black Wayfarer with Black Lens,Black Snakeskin Combat Cuff Boot,Scrappy,8,17,10,10,9,5,1,1,,Katana with White Handle and White Blade,,,,,"Black Nose, Lip",,,,Stubble,White,Light Grey,Short Messy,Medium Rain,Black Leather Leggings
65005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65011,Can hear a heartbeat a mile away,Yes,Quiet confidence,Sleep paralysis,None,Could sell ice to an eskimo,Black Cotton Tank,You know the sound of one hand clapping,Black Wayfarer with Black Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,9,13,12,2,10,2,1,1,,Gold Staff,Triangle,,,,,,Thick Leather,,Goatee,Natural,Light Grey,Faux Hawk,Light Rain,Black Leather Pants with Buckles
65012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65014,Can hear a bee's wings,Yes,Incredible moral fiber,Sleep paralysis,None,People smile back at you,Black Leather Tunic with Buttons,Laughing at your mistakes,Round Black with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,6,10,10,2,11,4,1,1,,Katana with White Handle and Silver Blade,,,,,,,,,Thin,White,Blonde,Asymmetrical Bob,Light Rain,White Cotton Leggings
65015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65016,You've got a bad feeling about this,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Leather Trench Coat with Black Cotton Tank,Accepting the impermanence of things,Black Futurist with Black Lens,Patent Red Leather Combat Cuff Boot,Can punch holes in concrete walls,8,11,9,4,12,10,1,1,Phone,,,,,,,,,,,Natural,Blonde,Asymmetrical Bob,Light Rain,Black Leather Leggings
65017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65020,Can see around corners,Yes,Stiff upper lip,Two left feet,None,People smile back at you,Black Cotton Tank,You know the sound of one hand clapping,Black Neo with Mirror Lens,Black Leather Combat Cuff Boot,Can put up a fight,6,13,11,3,7,4,1,1,,Dark Wood Staff,,,Intersecting Squares,Shaded Stacking Triangles,,,Studded Leather,Scowl,,Natural,Black,Short Pixie,Light Rain,Black Leather Pants with Buckles
65021,You've got a bad feeling about this,Yes,Can eat just one potato chip,Sleep paralysis,None,People smile back at you,Green Patent Leather Tunic with Buttons,Learning to regulate emotions,,Patent Red Leather Combat Cuff Boot,Can take a punch,6,9,9,2,15,3,1,1,Black Short Sai,Katana with White Handle and Silver Blade,Shaded Triangle,,,,,,,Meditative,Beard,Natural,Dark Brown,Faux Hawk,Light Rain,Green Cotton Leggings
65022,Excellent at reading people,Yes,Quiet confidence,Sleep paralysis,None,Natural born leader,Black Cotton Longsleeve Crew,Accepting the impermanence of things,Round Silver with Mirror Lens,White Leather Combat Cuff Boot,Can take a punch,10,11,8,2,10,3,1,1,Phone,Black Arm Pole,,,,,,Leather Choker,,,,Natural,Light Grey,Short Pixie,Light Rain,Black Cotton Wool Slacks with Buckles
65023,Can hear a bee's wings,Yes,Incredible moral fiber,Getting the hang of it,None,Could win a presidency without a political background,Black Leather Trench Coat with Black Cotton Tank,Self-induced illusions fade,Black Futurist with Black Lens,Green Black Patent Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,15,8,10,5,11,2,1,1,Black Gun,,,,,,,,,,,Natural,Dark Brown,Buzz Cut,Heavy Rain,Red Leather Leggings
65024,You've got a bad feeling about this,Yes,Unshakable resolve,Can jump between distant buildings,None,Glossophobia,Black Cotton Martial Arts Top,The veil begins to lift,Silver Morpheus with Orange and Red Gradient Lens,,Can put up a fight,4,6,9,13,12,4,1,1,Black Long Sai,,Shaded Triangle,,,,Silver Nose and Lip Rings,,,Smirk,,Natural,Light Grey,Short Curly Fade,Medium Rain,Green Cotton Martial Arts Pants
65025,Can see around corners,Yes,Incredible moral fiber,Getting the hang of it,None,Could sell ice to an eskimo,Black Patent Leather Longsleeve Crew,Accepting the impermanence of things,,Patent Green Leather Combat Cuff Boot,Can take a punch,9,11,11,5,11,3,1,1,Dark Wood Staff,Black Arm Pole,,,,,Black Eyebrow Ring,,,Meditative,,Light Purple,Dark Brown,Bob with Fringes,Light Rain,Black Cotton Wool Slacks with Buckles
65026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65027,Can hear a bee's wings,Yes,Quiet confidence,Two left feet,None,People smile back at you,Black Leather Tank,Self-induced illusions fade,Black and Gold Wayfarer with Black Lens,Black Leather Neo Combat Boot,The gym stops to watch you lift,6,8,10,3,10,8,1,1,,Katana with Black Handle and White Blade,,,Interlocking Circles,Triforce,,,Studded Leather,Scowl,,Neon Red,Dark Brown,Short Curly Fade,Light Rain,Black Cotton Wool Slacks with Buckles
65028,Can hear a heartbeat a mile away,Yes,Last one standing,Getting the hang of it,None,Nobody's buying it,Green Patent Leather Longsleeve Crew,Laughing at your mistakes,,Green Black Patent Leather Neo Combat Boot,Can put up a fight,2,10,12,5,14,4,1,1,,Katana with Black Handle and Silver Blade,,,,,Silver Earrings,,,Scowl,,Natural,Light Brown,Low Ponytail,Medium Rain,Green Patent Leather Leggins
65029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65034,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Two left feet,None,Could sell ice to an eskimo,Black Leather Longsleeve Crew,Accepting the impermanence of things,Black Neo with Mirror Lens,Black Patent Leather Knee High Boots,Can take a punch,9,11,12,3,11,3,1,1,Phone,Phone,Interlocking Circles,,,,,,Studded Leather,Smirk,,Natural,Black,Bob with Fringes,Light Rain,Black Leather Leggings
65035,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Getting the hang of it,None,Everything is always an option,Black Leather Tunic with Buttons,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,12,11,12,5,11,4,1,1,,Black Arm Pole,,,,,,,,Smirk,Mustache,Natural,Black,Long Afro,Heavy Rain,Black Cotton Wool Slacks with Buckles
65036,Can hear a bee's wings,Yes,Unshakable resolve,Two left feet,None,Maintains status quo,Black Cotton Tank,Learning to regulate emotions,Black Morpheus with Dark Mirrored Lens,Black Leather Combat Cuff Boot,Can take a punch,5,9,10,3,12,3,1,1,Black Gun,,,,Square,Sierpiński Triangle,,,,,,Natural,Light Brown,Low Ponytail,Medium Rain,Black Cotton Leggings
65037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
