,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
55001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55002,Heightened senses,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Green Leather Tank,Accepting the impermanence of things,Round Black with Black Lens,Black Knee High Leather Boots,Scrappy,8,11,7,4,11,5,1,1,,Silver Short Sai,Intersecting Squares,,Alchemy,Intersecting Triangles,,,,,,Natural,Dark Brown,Long Straight Bangs,Medium Rain,Black Cotton Leggings
55003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55009,You've got a bad feeling about this,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Red Leather Mandarin Trench Coat,Self-induced illusions fade,White Futurist with Mirror Lens,Patent Red Leather Combat Cuff Boot,Can take a punch,5,8,9,4,10,3,1,1,,Black Arm Pole,,,,,,,,Scowl,,Natural,Dark Brown,Medium Curly Bob,Light Rain,Green Cotton Leggings
55010,Excellent at reading people,Yes,True grit,Hypersonic Flight,None,Your significant other's mom loves you,Green Cotton Crewneck Tunic,You know the sound of one hand clapping,Black Neo with Black Lens,Black Patent Leather Knee High Boots,The gym stops to watch you lift,8,13,8,19,9,8,1,1,,Phone,,,,,Black Earrings,,,,,Natural,Auburn,Short Pixie,Heavy Rain,Green Patent Leather Pants with Buckles
55011,Your third eye is open,Yes,Quiet confidence,Always picked first,None,Your significant other's mom loves you,Red Patent Leather Longsleeve Crew,Accepting the impermanence of things,,Green Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,8,11,15,8,10,2,1,1,Dark Wood Staff,Katana with Black Handle and Silver Blade,,,,,,,Studded Leather,,,Natural,Blonde,Bob with Fringes,Light Rain,Black Cotton Wool Slacks with Buckles
55012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55013,Can see over the horizon,Yes,Last one standing,Pretty light on your feet,None,Your significant other's mom loves you,Black Cotton Crewneck Tunic,Laughing at your mistakes,,Red Leather Combat Cuff Boot,Can put up a fight,8,10,13,6,14,4,1,1,,,Square,,,,,,,Smirk,Stubble,Natural,Black,Short Curly Fade,Medium Rain,Black Cotton Leggings
55014,Can hear a bee's wings,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Charcoal Leather Longsleeve Crew,Self-induced illusions fade,,Black Snakeskin Knee High Boots,Can take a punch,5,8,10,4,13,3,1,1,,Silver Staff,,,,,,,,Smirk,,Natural,Dark Brown,Buzz Cut,Heavy Rain,Black Cotton Leggings
55015,Excellent at reading people,Yes,Quiet confidence,Two left feet,None,Glossophobia,Red Cotton Longsleeve Crew,You have a childlike sense of wonder,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,People get out of your way,4,7,8,3,10,7,1,1,,Phone,,,,,,,Thick Leather,,,Natural,Light Brown,,Medium Rain,Green Cotton Martial Arts Pants
55016,Can hear a bee's wings,Yes,Surprising resilience,Sleep paralysis,None,Maintains status quo,White Cotton Tank,You know the sound of one hand clapping,Black Neo with Black Lens,Black Leather Combat Cuff Boot,Scrappy,5,13,10,2,8,5,1,1,Black Short Sai,,Intersecting Squares,,Intersecting Squares,Shaded Moon Patterns,,,,,Goatee,Natural,Light Brown,Bob with Fringes,Heavy Rain,Black Cotton Leggings
55017,Heightened senses,Yes,Unshakable resolve,Running circles around enemies,None,Maintains status quo,Black Leather Moto Jacket with Green Cotton Crew,Laughing at your mistakes,,White Snakeskin Neo Combat Boot,Can take a punch,5,10,7,7,12,3,1,1,,,,,,,,,,Meditative,,Natural,Black,Buzz Cut,Medium Rain,Black Cotton Wool Slacks with Buckles
55018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55020,Can hear a bee's wings,Yes,Surprising resilience,Getting the hang of it,None,Natural born leader,Green Cotton Mandarin Tunic,You have a childlike sense of wonder,,Patent Red Leather Combat Cuff Boot,I wouldn't mess with you,10,7,10,5,8,6,1,1,,Silver Staff,,,,,Black Earrings,,,,,Pink,Black,Short Curly Fade,Light Rain,Black Leather Leggings
55021,You see the world as code,Yes,Incredible moral fiber,Astonishing acrobatics,None,Natural born leader,Black Leather Trench Coat with Black Cotton Tank,Self-induced illusions fade,,Black Snakeskin Combat Cuff Boot,I wouldn't mess with you,10,8,18,10,11,6,1,1,Black Short Sai,Black Submachine Gun,,,,,,,,,,Light Purple,Black,Short Messy,Light Rain,Black Cotton Wool Slacks with Buckles
55022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55025,Excellent at reading people,Yes,True grit,Sleep paralysis,None,Could sell ice to an eskimo,Black Patent Leather Trench Coat with Green Leather Tank,Self-induced illusions fade,Round Black with Black Lens,Patent Green Leather Combat Cuff Boot,The gym stops to watch you lift,9,8,8,2,9,8,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,,Natural,Blonde,Long Straight Bangs,Light Rain,Black Cotton Wool Slacks with Buckles
55026,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,People smile back at you,Black Leather Crewneck Tunic,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,6,11,11,3,11,2,1,1,,Gold Long Sai,,,,,Black Earrings,,,Smirk,,White,Black,Braids,Medium Rain,Black Leather Pants with Buckles
55027,Time slows for you,Yes,Incredible moral fiber,Getting the hang of it,None,Could sell ice to an eskimo,Black Leather Trench Coat with Black Cotton Oxford and White Tie,Learning to regulate emotions,Black and Gold Wayfarer with Black Lens,Black Knee High Leather Boots,Can take a punch,9,9,16,5,11,3,1,1,,Phone,,,,,Black Earrings,,,,,Pink,Black,Pulled Back Short,Heavy Rain,Green Cotton Wool Slacks with Buckles
55028,Time slows for you,Yes,Unshakable resolve,Two left feet,None,Your significant other's mom loves you,Black Cotton Mandarin Tunic,Accepting the impermanence of things,Round Silver with Mirror Lens,Black Leather Combat Cuff Boot,Can put up a fight,8,11,16,3,12,4,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Scowl,,Natural,Light Brown,Short Sideswept Fringe,Medium Rain,Black Cotton Wool Slacks with Buckles
55029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55030,Can see around corners,Yes,Unshakable resolve,A gelatinous blob,None,You're a bit of a charmer,Black Cotton Tank,Learning to regulate emotions,,Green Leather Neo Combat Boot,Scrappy,7,9,11,1,12,5,1,1,,,,,Borromean Rings,Intersecting Squares,Black Eyebrow Ring,,,Meditative,,White,Light Brown,Bob with Fringes,Medium Rain,Black Cotton Leggings
55031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55034,Nothing gets past you,Yes,Unshakable resolve,Two left feet,None,Your significant other's mom loves you,Green Leather Moto Jacket with Charcoal Leather Crew,Accepting the impermanence of things,,Black Patent Leather Neo Combat Boot,Can take a punch,8,11,6,3,12,3,1,1,Silver Staff,Phone,,,,,,,,,Thin,Natural,Auburn,Pulled Back Short,Light Rain,Black Leather Pants with Buckles
55035,Can see around corners,Yes,Quiet confidence,Always picked first,None,Maintains status quo,Black Cotton Tank,Learning to regulate emotions,Black Neo with Black Lens,Patent Green Leather Combat Cuff Boot,Can put up a fight,5,9,11,8,10,4,1,1,,Katana with Black Handle and White Blade,,Triforce,,Native Arrows,,,Thick Leather,Smirk,,Light Blue,Black,Long Afro,Light Rain,Black Cotton Martial Arts Pants
55036,Can hear a bee's wings,Yes,Unshakable resolve,Sleep paralysis,None,You're a bit of a charmer,Green Patent Leather Trench Coat with Black Cotton Tank,You have a childlike sense of wonder,Black Neo with Mirror Lens,White Knee High Leather Boots,Your grandma beats you at arm-wrestling,7,7,10,2,12,2,1,1,Phone,Katana with Black Handle and Silver Blade,,,,,Silver Earrings,,,,Mustache,Natural,Light Brown,Low Ponytail,Light Rain,White Cotton Wool Slacks with Buckles
55037,Can hear a bee's wings,Yes,Quiet confidence,Pretty light on your feet,None,You're a bit of a charmer,Green Cotton Mandarin Tunic,You know the sound of one hand clapping,Black Hex with Purple Polarized Lens,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,7,13,10,6,10,2,1,1,Phone,Phone,,,,,,,,Smirk,,Natural,Blonde,Bob with Fringes,Light Rain,Black Leather Pants with Buckles
55038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55043,Can hear a bee's wings,Yes,Unshakable resolve,Getting the hang of it,None,You're a bit of a charmer,Black Cotton Longsleeve with Zipper,Laughing at your mistakes,Round Silver with Mirror Lens,Black Patent Leather Neo Combat Boot,Scrappy,7,10,10,5,12,5,1,1,,,,,,,Black Earrings,,,Scowl,,Natural,Light Brown,Pulled Back Short,Heavy Rain,Black Cotton Wool Slacks with Buckles
55044,Can see around corners,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Cotton Longsleeve Crew,Accepting the impermanence of things,Round Black with Black Lens,Black Leather Combat Cuff Boot,Scrappy,5,11,11,4,11,5,1,1,,Phone,,,,,,,Thick Leather,,Thin,Natural,Light Brown,Short Afro Fade,Light Rain,Black Cotton Martial Arts Pants
55045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55046,Can smell fear,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Even you don't believe you,Black Cotton Martial Arts Top,Laughing at your mistakes,3D Glasses,Patent Black Leather Combat Cuff Boot,Can put up a fight,1,10,14,4,11,4,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,Beard,Light Blue,Black,Short Pixie,Light Rain,Red Cotton Martial Arts Pants
55047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55049,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,Maintains status quo,Green Cotton Martial Arts Top,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,,Can take a punch,5,11,10,3,11,3,1,1,,Silver Gun,,,,,Black Earrings,,,Smirk,,Natural,Light Brown,Buzz Cut,Medium Rain,Black Cotton Martial Arts Pants
55050,Can smell fear,Yes,Incredible moral fiber,Getting the hang of it,None,You're a bit of a charmer,Black Leather Tank,Appreciation for the complexity of human behavior,Round Black with Black Lens,Green Leather Combat Cuff Boot,Can put up a fight,7,12,14,5,11,4,1,1,,,,,Intersecting Squares,,Silver Earrings,,,,Stubble,Natural,Dark Brown,Long Afro,Light Rain,Black Leather Leggings
55051,Can hear a bee's wings,Yes,True grit,A gelatinous blob,None,People smile back at you,Red Patent Leather Moto Jacket with Red Cotton Crew,Learning to regulate emotions,Black Wayfarer with Black Lens,Green Leather Combat Cuff Boot,Paper hands,6,9,10,1,9,1,1,1,,Phone,,Circle,,,,,,,,Natural,Dark Brown,Buzz Cut,Heavy Rain,Black Cotton Leggings
55052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55054,Nothing gets past you,Yes,True grit,Running circles around enemies,None,You're a bit of a charmer,Black Leather Moto Jacket with Black Cotton Crew,Self-induced illusions fade,Black Neo with Black Lens,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,7,8,6,7,9,2,1,1,,,Circle,,,,,,,,Stubble,Natural,Auburn,Short Coil,Heavy Rain,Black Cotton Leggings
55055,Can hear a bee's wings,Yes,Incredible moral fiber,A gelatinous blob,None,People smile back at you,Black Cotton Longsleeve Crew,You have walked the manifold path,White Futurist with Mirror Lens,Patent Green Leather Combat Cuff Boot,People get out of your way,6,14,10,1,11,7,1,1,Gold Staff,Katana with White Handle and Silver Blade,Triangle,,,,,,Studded Leather,Smirk,Stubble,Natural,Light Grey,Long Straight Bangs,Light Rain,Red Cotton Wool Slacks with Buckles
55056,Can see over the horizon,Yes,Incredible moral fiber,Getting the hang of it,None,People smile back at you,Red Leather Trench Coat with White Cotton Oxford and Black Tie,You know the sound of one hand clapping,,Green Snakeskin Combat Cuff Boot,Scrappy,6,13,13,5,11,5,1,1,Phone,Black Long Sai,,,,,,,,Smirk,,Natural,Light Grey,Asymmetrical Bob,Heavy Rain,Red Cotton Wool Slacks with Buckles
55057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55059,You've got a bad feeling about this,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Green Leather Mandarin Trench Coat,Learning to regulate emotions,,Black Leather Combat Cuff Boot,Can put up a fight,4,9,9,4,10,4,1,1,,,,,,,,,,Meditative,,Natural,Black,Messy Updo Bun,Light Rain,Green Cotton Leggings
