,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
80001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,Can hear a bee's wings,Yes,Quiet confidence,A gelatinous blob,None,You're a bit of a charmer,Black Leather Mandarin Tunic,Self-induced illusions fade,,Black Patent Leather Knee High Boots,Paper hands,7,8,10,1,10,1,1,1,,Black Gun,,,,,,,,Smirk,,Natural,Auburn,Buzz Cut,Light Rain,Black Cotton Wool Slacks with Buckles
80007,Can see around corners,Yes,Quiet confidence,Two left feet,None,People smile back at you,Black Cotton Longsleeve with Zipper,Appreciation for the complexity of human behavior,Translucent Hex with Red Polarized Lens,Black Snakeskin Combat Cuff Boot,Your grandma beats you at arm-wrestling,6,12,11,3,10,2,1,1,,,,Square,,,,,Thick Leather,,,Neon Red,Dark Brown,Asymmetrical Bob,Heavy Rain,Black Cotton Martial Arts Pants
80008,Excellent at reading people,Yes,Incredible moral fiber,Getting the hang of it,None,Maintains status quo,Black Leather Tank,Laughing at your mistakes,,Green Leather Combat Cuff Boot,Scrappy,5,10,8,5,11,5,1,1,Dark Wood Staff,,,,Intersecting Squares,Circle,,,Thick Leather,,,Light Purple,Black,Short Afro Fade,Light Rain,Green Cotton Wool Slacks with Buckles
80009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80010,You've got a bad feeling about this,Yes,True grit,A gelatinous blob,None,Maintains status quo,Black Wool Mandarin Trench Coat,Laughing at your mistakes,3D Glasses,Patent Red Leather Combat Cuff Boot,Can take a punch,5,10,9,1,9,3,1,1,,Black Arm Pole,,,,,,,,,,Yellow,Auburn,Low Ponytail,Light Rain,Black Cotton Wool Slacks with Buckles
80011,Can see around corners,Yes,Unshakable resolve,Two left feet,None,You're a bit of a charmer,Black Leather Moto Jacket with Black Leather Crew,Learning to regulate emotions,,Black Leather Neo Combat Boot,You are the dangerzone,7,9,11,3,12,15,1,1,,Dark Wood Staff,,Intersecting Squares,,,Black Earrings,,,Scowl,,Natural,Dark Brown,Short Pixie,Medium Rain,Green Patent Leather Pants with Buckles
80012,Can hear a bee's wings,Yes,Incredible moral fiber,Sleep paralysis,None,Others are helpless to deny you,Black Cotton Martial Arts Top,Laughing at your mistakes,,Black Patent Leather Neo Combat Boot,I wouldn't mess with you,13,10,10,2,11,6,1,1,,Katana with White Handle and Silver Blade,,,,,,,,Meditative,Goatee,Natural,Light Brown,Medium Curly Bob,Light Rain,Black Cotton Wool Slacks with Buckles
80013,You've got a bad feeling about this,Yes,Quiet confidence,Pretty light on your feet,None,Your significant other's mom loves you,Charcoal Leather Longsleeve Crew,You know the sound of one hand clapping,Black Wayfarer with Black Lens,Black Leather Neo Combat Boot,Can take a punch,8,13,9,6,10,3,1,1,Black Short Sai,Silver Submachine Gun,,,,,,Leather Cuff,,,,Yellow,Light Brown,Short Sideswept Fringe,Heavy Rain,Black Leather Pants with Buckles
80014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,Can hear a bee's wings,Yes,People think of you in their time of need,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Charcoal Black Cotton Longsleeve with Zipper,Laughing at your mistakes,Black and Gold Wayfarer with Black Lens,Black Knee High Leather Boots,Can take a punch,7,10,10,4,17,3,1,1,Katana with Black Handle and White Blade,Silver Staff,,Valknut,,,,,,Smirk,Mustache,Natural,Black,Long Messy,Heavy Rain,Red Patent Leather Pants with Buckles
80016,Can hear a heartbeat a mile away,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Black Patent Leather Moto Jacket with White Patent Leather Crew,You know the sound of one hand clapping,Black Hex with Purple Polarized Lens,Black Patent Leather Neo Combat Boot,Can take a punch,4,13,12,4,10,3,1,1,,,,,,,,,,,,Natural,Light Brown,,Light Rain,Black Cotton Leggings
80017,Excellent at reading people,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,People smile back at you,Red Cotton Tank,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Patent Leather Knee High Boots,Your grandma beats you at arm-wrestling,6,10,8,4,12,2,1,1,Dark Wood Staff,,,,Circle,Shaded Moon Patterns,,Leather Choker,Thick Leather,,,Natural,Dark Brown,Short Sideswept Fringe,Medium Rain,Black Cotton Wool Slacks with Buckles
80018,Can see around corners,Yes,Quiet confidence,Two left feet,None,Nobody's buying it,Black Leather Moto Jacket with Black Patent Leather Crew,Accepting the impermanence of things,Black Neo with Black Lens,Red Patent Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,2,11,11,3,10,2,1,1,Phone,Black Submachine Gun,,,,,,,,Scowl,,Natural,Light Brown,Short Afro Fade,Medium Rain,Green Cotton Wool Slacks with Buckles
80019,Can see over the horizon,Yes,True grit,Sleep paralysis,None,Could sell ice to an eskimo,Black Patent Leather Moto Jacket with Green Leather Crew,Learning to regulate emotions,,Black Leather Neo Combat Boot,Paper hands,9,9,13,2,9,1,1,1,,,,,,,Black Earrings,,,Smirk,,Natural,Light Grey,Low Ponytail,Medium Rain,Black Leather Pants with Buckles
80020,Excellent at reading people,Yes,Incredible moral fiber,Two left feet,None,Could sell ice to an eskimo,Black Snakeskin Trench Coat with White Leather Tank,Learning to regulate emotions,Round Black with Black Lens,Patent White Leather Combat Cuff Boot,I wouldn't mess with you,9,9,8,3,11,6,1,1,Katana with Black Handle and Silver Blade,Silver Staff,,,,,Silver Nose and Lip Rings,,,,,Green,Blonde,Short Curly Fade,Heavy Rain,Black Cotton Wool Slacks with Buckles
80021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80024,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Could sell ice to an eskimo,Green Cotton Tank,Appreciation for the complexity of human behavior,Black Neo with Mirror Lens,Black Patent Leather Knee High Boots,Your grandma beats you at arm-wrestling,9,12,11,3,11,2,1,1,,Phone,,Triforce,Interlocking Circles,Shaded Stacking Triangles,Black Earrings,,,,Goatee,Yellow,Blonde,Short Curly Fade,Heavy Rain,Green Patent Leather Leggins
80025,You notice every glitch in the Matrix,Yes,Quiet confidence,Two left feet,None,Maintains status quo,Green Leather Mandarin Trench Coat,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,11,17,3,10,2,1,1,,Black Arm Pole,,,,,Black Earrings,,,Smirk,,Natural,Blonde,Short Pixie,Medium Rain,Red Cotton Wool Slacks with Buckles
80026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80027,Can see around corners,Yes,Surprising resilience,Can walk and chew gum AT THE SAME TIME (good job!),None,Nobody's buying it,Black Patent Leather Longsleeve Crew,Accepting the impermanence of things,Round Black with Black Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,2,11,11,4,8,3,1,1,,,,,,,,Leather Choker,,,,Neon Red,Black,Long Messy,Medium Rain,Red Cotton Wool Slacks with Buckles
80028,Can hear a bee's wings,Yes,Unshakable resolve,Two left feet,None,Natural born leader,Black Leather Tunic with Buttons,Laughing at your mistakes,Black Futurist with Black Lens,Black Snakeskin Combat Cuff Boot,I wouldn't mess with you,10,10,10,3,12,6,1,1,Phone,,,,,,,,,,,Natural,Black,Asymmetrical Bob,Light Rain,Black Patent Leather Leggins
80029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80030,Can see around corners,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Cotton Martial Arts Top,Appreciation for the complexity of human behavior,3D Glasses,Black Knee High Leather Boots,Your grandma beats you at arm-wrestling,7,12,11,4,12,2,1,1,,Black Gun,,,,,,,,,Thin,Natural,Light Brown,Short Afro Fade,Medium Rain,Green Patent Leather Pants with Buckles
80031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80033,You've got a bad feeling about this,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Leather Moto Jacket with Black Cotton Crew,You have a childlike sense of wonder,White Futurist with Mirror Lens,Red Leather Neo Combat Boot,I wouldn't mess with you,7,7,9,4,13,6,1,1,,Black Short Sai,,,,,,,,,,Natural,Dark Brown,Medium Curly Bob,Light Rain,Red Cotton Leggings
80034,You've got a bad feeling about this,Yes,Last one standing,Getting the hang of it,None,Maintains status quo,Black Cotton Tank,Laughing at your mistakes,Round Black with Black Lens,Green Leather Combat Cuff Boot,Can put up a fight,5,10,9,5,14,4,1,1,,Katana with Black Handle and Silver Blade,,,Alchemy,Native Arrows,Black Earrings,Leather Choker,,,,Green,Dark Brown,Short Curly Fade,Light Rain,Red Leather Leggings
80035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80037,Can hear a heartbeat a mile away,Yes,Quiet confidence,Getting the hang of it,None,People smile back at you,Black Leather Mandarin Trench Coat,Self-induced illusions fade,Black Futurist with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,6,8,12,5,10,4,1,1,,Silver Gun,,,,,,,,,,Natural,Light Grey,Short Pixie,Light Rain,Green Leather Pants with Buckles
80038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80040,Can see around corners,Yes,Quiet confidence,A gelatinous blob,None,Glossophobia,Green Cotton Longsleeve Crew,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Paper hands,4,11,11,1,10,1,1,1,,Silver Submachine Gun,Shaded Triangle,,,,,,,Smirk,,Natural,Black,Messy Updo Bun,Medium Rain,White Cotton Martial Arts Pants
80041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80045,Can see over the horizon,Yes,Unshakable resolve,Sleep paralysis,None,You're a bit of a charmer,Charcoal Leather Longsleeve Crew,Learning to regulate emotions,Round Black with Black Lens,Black Patent Leather Knee High Boots,I wouldn't mess with you,7,9,13,2,12,6,1,1,,,,,,,,,Studded Leather,,,Green,Light Brown,Buzz Cut,Medium Rain,Green Leather Leggings
80046,You've got a bad feeling about this,Yes,Incredible moral fiber,Two left feet,None,Glossophobia,Charcoal Patent Leather Longsleeve Crew,Laughing at your mistakes,Black Hex with Purple Polarized Lens,Red Knee High Leather Boots,Can take a punch,4,10,9,3,11,3,1,1,,Silver Short Sai,,,,,,Leather Cuff,,Smirk,,Green,Light Brown,Medium Curly Bob,Medium Rain,Black Leather Pants with Buckles
80047,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,People follow you blindly,Red Cotton Longsleeve Crew,Appreciation for the complexity of human behavior,,Patent Red Leather Combat Cuff Boot,I wouldn't mess with you,11,12,10,3,11,6,1,1,,,,,,,,Leather Cuff,Thick Leather,,,Natural,Blonde,Short Pixie,Heavy Rain,Black Cotton Wool Slacks with Buckles
80048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
