,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
60001,Can hear a bee's wings,Yes,True grit,Pretty light on your feet,None,People smile back at you,Black Cotton Crewneck Tunic,You know the sound of one hand clapping,Round Silver with Mirror Lens,Black Knee High Leather Boots,Scrappy,6,13,10,6,9,5,1,1,,Black Submachine Gun,Interlocking Circles,,,,,,,Smirk,Mustache,Natural,Auburn,Short Messy,Heavy Rain,White Cotton Wool Slacks with Buckles
60002,Can see around corners,Yes,Incredible moral fiber,Sleep paralysis,None,People smile back at you,Black Cotton Tank,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,6,12,11,2,11,2,1,1,Black Submachine Gun,,,,Shaded Circle,Triforce,,,Thick Leather,,,Natural,Dark Brown,Short Pixie,Medium Rain,Black Leather Leggings
60003,Can hear a heartbeat a mile away,Yes,Quiet confidence,Pretty light on your feet,None,Natural born leader,Green Leather Mandarin Tunic,You know the sound of one hand clapping,Black Futurist with Black Lens,Green Leather Combat Cuff Boot,Scrappy,10,13,12,6,10,5,1,1,Katana with Black Handle and Silver Blade,Silver Long Sai,,,,,,,,Scowl,,Natural,Blonde,,Heavy Rain,White Cotton Wool Slacks with Buckles
60004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60005,You've got a bad feeling about this,Yes,True grit,Running circles around enemies,None,Even you don't believe you,Black Patent Lather Trench Coat with Black Cotton Oxford and Green Tie,Self-induced illusions fade,Black Wayfarer with Black Lens,Red Leather Combat Cuff Boot,Can put up a fight,1,8,9,7,9,4,1,1,Gold Staff,,,,,,,,,Scowl,,Light Blue,Dark Brown,Short Messy,Light Rain,Black Cotton Wool Slacks with Buckles
60006,Can smell fear,Yes,True grit,Sleep paralysis,None,Maintains status quo,Black Leather Moto Jacket with Green Cotton Crew,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Can take a punch,5,10,14,2,9,3,1,1,,Phone,Triangle,,,,,,,Scowl,,Natural,Black,Short Messy,Medium Rain,Black Leather Pants with Buckles
60007,Can hear a bee's wings,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Could sell ice to an eskimo,Charcoal Leather Longsleeve Crew,Reality is seen as it is,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,9,15,10,4,10,2,1,1,,Phone,,,,,Silver Earrings,Leather Choker,Thick Leather,Scowl,,Natural,Black,,Heavy Rain,Black Cotton Wool Slacks with Buckles
60008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60009,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Your significant other's mom loves you,Red Leather Mandarin Tunic,You have a childlike sense of wonder,Round Black with Black Lens,Black Snakeskin Combat Cuff Boot,Your grandma beats you at arm-wrestling,8,7,11,3,11,2,1,1,Katana with Black Handle and Silver Blade,Silver Submachine Gun,,,,,,,,,,Natural,Black,,Heavy Rain,Green Leather Leggings
60010,Can hear a bee's wings,Yes,True grit,Sleep paralysis,None,Maintains status quo,Black Wool Mandarin Trench Coat,Laughing at your mistakes,White Futurist with Mirror Lens,Green Leather Combat Cuff Boot,Paper hands,5,10,10,2,9,1,1,1,,Phone,,,,,"Black Nose, Lip",,,,,Green,Black,Buzz Cut,Light Rain,Black Leather Pants with Buckles
60011,Can see around corners,Yes,True grit,Sleep paralysis,None,You're a bit of a charmer,Black Cotton Tunic with Buttons,Learning to regulate emotions,,Green Leather Combat Cuff Boot,Can take a punch,7,9,11,2,9,3,1,1,,Black Gun,,,,,Gold Earrings,,,Scowl,,Natural,Blonde,Short Messy,Light Rain,Black Cotton Wool Slacks with Buckles
60012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60013,Can see around corners,Yes,Stiff upper lip,Two left feet,None,Nobody's buying it,Charcoal Cotton Longsleeve Crew,Appreciation for the complexity of human behavior,Black Futurist with Black Lens,Black Leather Neo Combat Boot,Can put up a fight,2,12,11,3,7,4,1,1,,Phone,,,,,,,Studded Leather,,,Natural,Light Brown,Short Sideswept Fringe,Heavy Rain,Green Patent Leather Pants with Buckles
60014,Can see over the horizon,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Wool Mandarin Trench Coat,Learning to regulate emotions,,Red Leather Combat Cuff Boot,Can take a punch,8,9,13,4,12,3,1,1,,Katana with White Handle and Gold Blade,,,,,,,,Meditative,,Neon Red,Blonde,Long Messy,Medium Rain,Black Leather Leggings
60015,Can see over the horizon,Yes,Quiet confidence,Two left feet,None,Glossophobia,Black Cotton Martial Arts Top,Laughing at your mistakes,Round Black with Black Lens,Green Leather Neo Combat Boot,Can take a punch,4,10,13,3,10,3,1,1,Katana with Black Handle and Silver Blade,Katana with Black Handle and Silver Blade,,,,,,,,,,Natural,Black,Short Afro Fade,Medium Rain,Black Cotton Leggings
60016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60017,You've got a bad feeling about this,Yes,Quiet confidence,Sleep paralysis,None,Robert Downey Jr.,Green Leather Trench Coat with White Cotton Oxford and Black Tie,Learning to regulate emotions,,Black Leather Neo Combat Boot,Scrappy,17,9,9,2,10,5,1,1,Silver Staff,,,,,,,,,Scowl,Stubble,Natural,Light Brown,Short Messy,Heavy Rain,Black Cotton Leggings
60018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60020,Can hear a bee's wings,Yes,Quiet confidence,Can jump between distant buildings,None,You're a bit of a charmer,Black Wool Mandarin Trench Coat,Learning to regulate emotions,,Black Leather Combat Cuff Boot,Scrappy,7,9,10,13,10,5,1,1,,,,,,,,,,Scowl,,Yellow,Dark Brown,Faux Hawk,Light Rain,Black Leather Leggings
60021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60023,Can see around corners,Yes,True grit,Getting the hang of it,None,Maintains status quo,Green Leather Tank,Laughing at your mistakes,,Patent Black Leather Combat Cuff Boot,Can put up a fight,5,10,11,5,9,4,1,1,Phone,Black Arm Pole,,,Valknut,Native Arrows,,,Thick Leather,,Stubble,Natural,Light Grey,,Medium Rain,Black Cotton Wool Slacks with Buckles
60024,Can see around corners,Yes,Unshakable resolve,Can jump between distant buildings,None,Maintains status quo,Red Cotton Crewneck Tunic,Learning to regulate emotions,,Black Knee High Leather Boots,Paper hands,5,9,11,13,12,1,1,1,Katana with White Handle and Silver Blade,,,,,,,,,Meditative,,Natural,Light Brown,Medium Curly Bob,Light Rain,White Cotton Leggings
60025,Excellent at reading people,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,People follow you blindly,Green Leather Trench Coat with Black Cotton Oxford and Green Tie,Laughing at your mistakes,Round Black with Black Lens,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,11,10,8,4,12,2,1,1,Katana with Black Handle and Silver Blade,Phone,,,,,,,,,,Natural,Black,Long Afro,Light Rain,Black Cotton Wool Slacks with Buckles
60026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60032,You've got a bad feeling about this,Yes,Stiff upper lip,Two left feet,None,Glossophobia,Charcoal Cotton Longsleeve Crew,Laughing at your mistakes,,Red Knee High Leather Boots,Paper hands,4,10,9,3,7,1,1,1,Black Long Sai,Black Arm Pole,,,,,,,,,,Natural,Auburn,Medium Curly Bob,Light Rain,Green Cotton Wool Slacks with Buckles
60033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60037,Can hear a bee's wings,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Others are helpless to deny you,Black Cotton Tank,Laughing at your mistakes,Round Black with Black Lens,Patent Black Leather Combat Cuff Boot,Scrappy,13,10,10,4,12,5,1,1,,Phone,,,Sierpiński Triangle,Borromean Rings,Black Earrings,,Thick Leather,Scowl,,Light Blue,Light Grey,Pulled Back Short,Medium Rain,Green Cotton Leggings
60038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60039,Can see around corners,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Red Leather Tunic with Buttons,Laughing at your mistakes,Black Futurist with Black Lens,Black Leather Neo Combat Boot,Can take a punch,8,10,11,4,9,3,1,1,Phone,Silver Shotgun,,,,,,,,,,Natural,Light Brown,Short Afro Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
60040,Excellent at reading people,Yes,Incredible moral fiber,Getting the hang of it,None,You're a bit of a charmer,Green Cotton Longsleeve Crew,Laughing at your mistakes,,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,7,10,8,5,11,2,1,1,,Gold Staff,,Shaded Triangle,,,Black Earrings,,,Smirk,,Natural,Light Brown,Messy Updo Bun,Medium Rain,Black Snakeskin Leggings
60041,Excellent at reading people,Yes,People think of you in their time of need,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Red Leather Trench Coat with Green Cotton Tank,Laughing at your mistakes,White Futurist with Mirror Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,4,10,8,4,17,2,1,1,,Phone,,,,,Black Eyebrow Ring,,,Scowl,,Natural,Blonde,Short Messy,Medium Rain,Black Leather Leggings
60042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60043,Can see around corners,Yes,Incredible moral fiber,Always picked first,None,People smile back at you,Black Wool Mandarin Trench Coat,Learning to regulate emotions,,Patent Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,6,9,11,8,11,2,1,1,,,,,,,Silver Erl,,,,Thin,Natural,Black,Bob with Fringes,Medium Rain,White Cotton Leggings
60044,Can hear a bee's wings,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,People follow you blindly,Red Patent Leather Longsleeve Crew,Laughing at your mistakes,Round Black with Black Lens,Patent Black Leather Combat Cuff Boot,Scrappy,11,10,10,4,9,5,1,1,,,,,,,,Leather Choker,Thick Leather,,,Yellow,Light Brown,Medium Curly Bob,Light Rain,Red Cotton Martial Arts Pants
60045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60051,Can hear a bee's wings,Yes,Surprising resilience,Sleep paralysis,None,Glossophobia,Red Cotton Longsleeve Crew,Laughing at your mistakes,,Patent Black Leather Combat Cuff Boot,Can take a punch,4,10,10,2,8,3,1,1,,,,,,,,,Thick Leather,,Thin,Natural,Blonde,Medium Curly Bob,Light Rain,Green Cotton Wool Slacks with Buckles
60052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60053,You've got a bad feeling about this,Yes,Unshakable resolve,Running circles around enemies,None,You're a bit of a charmer,Red Leather Crewneck Tunic,Accepting the impermanence of things,,Black Knee High Leather Boots,Can take a punch,7,11,9,7,12,3,1,1,,,,,,,,,,,Stubble,Natural,Black,Short Afro Fade,Light Rain,Green Cotton Wool Slacks with Buckles
60054,Can see around corners,Yes,Stiff upper lip,Can walk and chew gum AT THE SAME TIME (good job!),None,Nobody's buying it,Green Cotton Tank,Appreciation for the complexity of human behavior,Round Black with Black Lens,Green Knee High Leather Boots,Can put up a fight,2,12,11,4,7,4,1,1,Phone,Black Arm Pole,,,,Interlocking Circles,,,,Scowl,,Natural,Black,Short Curly Fade,Light Rain,Black Cotton Leggings
60055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60056,You've got a bad feeling about this,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Natural born leader,Black Leather Moto Jacket with Black Cotton Crew,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,White Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,10,12,9,4,11,2,1,1,,Katana with Black Handle and Gold Blade,,,,,,,,,,Natural,Light Grey,,Heavy Rain,White Cotton Wool Slacks with Buckles
60057,Can hear a heartbeat a mile away,Yes,Pocket dial 911,Getting the hang of it,None,Glossophobia,Black Cotton Martial Arts Top,Appreciation for the complexity of human behavior,,Green Snakeskin Combat Cuff Boot,Scrappy,4,12,12,5,3,5,1,1,,Black Arm Pole,,,,,,,,Scowl,,Neon Red,Light Brown,Pulled Back Short,Heavy Rain,Red Cotton Leggings
60058,Can hear a bee's wings,Yes,Reluctant volunteer,A gelatinous blob,None,Glossophobia,Black Leather Longsleeve Crew,Accepting the impermanence of things,Black Hex with Purple Polarized Lens,Patent Green Leather Combat Cuff Boot,Can put up a fight,4,11,10,1,5,4,1,1,,Black Gun,,,,,,Leather Cuff,Studded Leather,Smirk,,Natural,Dark Brown,Short Afro Fade,Heavy Rain,Green Leather Leggings
60059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60083,Can see over the horizon,Yes,Quiet confidence,Running circles around enemies,None,You're a bit of a charmer,Green Cotton Longsleeve Crew,Appreciation for the complexity of human behavior,,Patent Green Leather Combat Cuff Boot,Can put up a fight,7,12,13,7,10,4,1,1,,Black Shotgun,,,,,,Leather Choker,Thick Leather,,,Natural,Dark Brown,Messy Updo Bun,Light Rain,Black Leather Pants with Buckles
