,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
85001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85002,Can hear a bee's wings,Yes,Quiet confidence,Always picked first,None,Your significant other's mom loves you,Black Wool Mandarin Trench Coat,You have walked the manifold path,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Can take a punch,8,14,10,8,10,3,1,1,,Katana with White Handle and Silver Blade,,,,,Black Earrings,,,,Beard,Natural,Blonde,Short Messy,Medium Rain,Black Leather Pants with Buckles
85003,Can see around corners,Yes,Incredible moral fiber,Pretty light on your feet,None,You're a bit of a charmer,Black Patent Lather Trench Coat with White Cotton Oxford and Black Tie,Laughing at your mistakes,,Black Leather Combat Cuff Boot,Can put up a fight,7,10,11,6,11,4,1,1,Phone,Black Submachine Gun,,,,,Black Earrings,,,Meditative,,Natural,Black,Short Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
85004,Can hear a bee's wings,Yes,Reluctant volunteer,Can walk and chew gum AT THE SAME TIME (good job!),None,People smile back at you,Black Cotton Tank,Learning to regulate emotions,Black Neo with Black Lens,Patent Black Leather Combat Cuff Boot,Paper hands,6,9,10,4,5,1,1,1,Dark Wood Staff,Silver Submachine Gun,Equality Sign,Shaded Triangle,Borromean Rings,Shriking Shaded Squares,,,,,,Light Blue,Auburn,Short Coil,Light Rain,Black Cotton Wool Slacks with Buckles
85005,Heightened senses,Yes,Quiet confidence,Two left feet,None,Nobody's buying it,Black Leather Trench Coat with White Cotton Oxford and Black Tie,Laughing at your mistakes,Black Neo with Mirror Lens,Black Leather Combat Cuff Boot,Can put up a fight,2,10,7,3,10,4,1,1,,,,,,,,,,,,Neon Red,Black,Long Straight Bangs,Heavy Rain,Green Cotton Wool Slacks with Buckles
85006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85007,You've got a bad feeling about this,Yes,Incredible moral fiber,Two left feet,None,Glossophobia,Black Cotton Tank,Accepting the impermanence of things,,Black Leather Neo Combat Boot,Can put up a fight,4,11,9,3,11,4,1,1,,,,,,Shriking Shaded Squares,,,Thick Leather,Scowl,,Natural,Black,Long Afro,Light Rain,Black Patent Leather Pants with Buckles
85008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85013,Can hear a bee's wings,Yes,Unshakable resolve,Two left feet,None,You win without playing,Green Cotton Tank,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Can take a punch,14,11,10,3,12,3,1,1,,,,,,Intersecting Squares,,,Thick Leather,Scowl,Stubble,Yellow,Light Grey,Medium Curly Bob,Medium Rain,Black Cotton Leggings
85014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
