,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
90001,Can see over the horizon,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Others are helpless to deny you,Black Leather Longsleeve Crew,Laughing at your mistakes,Black and Gold Wayfarer with Black Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,13,10,13,4,11,2,1,1,,Black Arm Pole,,,,,,,,,Stubble,Natural,Dark Brown,Short Afro Fade,Light Rain,Red Cotton Wool Slacks with Buckles
90002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90003,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,Robert Downey Jr.,Black Cotton Tank,Accepting the impermanence of things,,Patent Black Leather Combat Cuff Boot,The gym stops to watch you lift,17,11,10,3,11,8,1,1,Phone,,,,Sierpiński Triangle,Triple Shaded Squares,,Leather Cuff,Thick Leather,Meditative,,White,Auburn,Short Updo,Light Rain,Black Leather Pants with Buckles
90004,Can see around corners,Yes,Last one standing,Can walk and chew gum AT THE SAME TIME (good job!),None,Could probably convince a small child,Black Leather Moto Jacket with Black Patent Leather Crew,Laughing at your mistakes,Black Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Paper hands,3,10,11,4,14,1,1,1,Silver Shotgun,Dark Wood Staff,,,,,,,,Scowl,,Natural,Light Brown,Short Curly Fade,Light Rain,Green Cotton Wool Slacks with Buckles
90005,Can see around corners,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Cotton Tank,Appreciation for the complexity of human behavior,,Red Snakeskin Combat Cuff Boot,People get out of your way,8,12,11,4,10,7,1,1,,Phone,,,,Intersecting Triangles,,,,,Goatee,Natural,Blonde,Buzz Cut,Heavy Rain,Black Cotton Wool Slacks with Buckles
90006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90013,Excellent at reading people,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Black Cotton Tank,You have walked the manifold path,,Black Knee High Leather Boots,I wouldn't mess with you,4,14,8,4,11,6,1,1,Phone,,,Borromean Rings,,,,,Studded Leather,,,Natural,Light Grey,Pulled Back Short,Light Rain,Green Leather Leggings
90014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90021,Can see around corners,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Could win a presidency without a political background,Black Leather Trench Coat with Black Cotton Oxford and Red Tie,You have walked the manifold path,Round Silver with Mirror Lens,Red Leather Neo Combat Boot,Can take a punch,15,14,11,4,11,3,1,1,Black Gun,,,,,,,,,,,Natural,Black,Short Coil,Heavy Rain,Black Cotton Leggings
90022,Can hear a bee's wings,Yes,Incredible moral fiber,Running circles around enemies,None,People smile back at you,Red Cotton Longsleeve Crew,The veil begins to lift,Round Silver with Mirror Lens,Green Leather Neo Combat Boot,Can take a punch,6,6,10,7,11,3,1,1,,,,,,,,Leather Cuff,,,,Natural,Dark Brown,Asymmetrical Bob,Heavy Rain,Black Cotton Wool Slacks with Buckles
90023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90024,You've got a bad feeling about this,Yes,Quiet confidence,Getting the hang of it,None,Others are helpless to deny you,Red Leather Moto Jacket with Black Leather Crew,Laughing at your mistakes,,Green Knee High Leather Boots,I wouldn't mess with you,13,10,9,5,10,6,1,1,Black Long Sai,,,,,,,,,,,Natural,Auburn,,Medium Rain,Black Cotton Leggings
90025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90026,Can smell fear,Yes,True grit,Abnormal flexibility,None,Glossophobia,Green Leather Trench Coat with White Cotton Oxford and Black Tie,Accepting the impermanence of things,,Black Knee High Leather Boots,Your grandma beats you at arm-wrestling,4,11,14,9,9,2,1,1,,,,,,,Black Earrings,,,Meditative,,Pink,Black,Short Pixie,Medium Rain,Black Cotton Wool Slacks with Buckles
90027,Can hear a heartbeat a mile away,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Green Cotton Crewneck Tunic,Accepting the impermanence of things,Black Hex with Purple Polarized Lens,Green Leather Neo Combat Boot,Scrappy,7,11,12,4,10,5,1,1,,Silver Submachine Gun,,,,,Black Earrings,Leather Choker,,,,Natural,Black,Short Coil,Heavy Rain,Red Leather Leggings
90028,Can see around corners,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Black Cotton Crewneck Tunic,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Green Knee High Leather Boots,Your grandma beats you at arm-wrestling,4,11,11,4,11,2,1,1,Katana with White Handle and Silver Blade,Black Submachine Gun,,,,,,,,,,Natural,Dark Brown,Short Sideswept Fringe,Light Rain,Red Cotton Wool Slacks with Buckles
90029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90030,Can see around corners,Yes,Unshakable resolve,Running circles around enemies,None,People follow you blindly,Black Cotton Crewneck Tunic,You know the sound of one hand clapping,Black and Gold Wayfarer with Black Lens,Red Leather Combat Cuff Boot,Scrappy,11,13,11,7,12,5,1,1,,Katana with Black Handle and Gold Blade,,,,,Black Earrings,,,,,Natural,Dark Brown,Short Curly Fade,Medium Rain,Black Leather Leggings
90031,Can see around corners,Yes,Steps forward as others flee,Two left feet,None,People follow you blindly,Green Snakeskin Longsleeve Crew,Learning to regulate emotions,Black Neo with Mirror Lens,Green Leather Neo Combat Boot,Can take a punch,11,9,11,3,13,3,1,1,,,,,,,,Leather Choker,Studded Leather,,Stubble,Yellow,Auburn,Medium Curly Bob,Heavy Rain,Black Cotton Leggings
90032,You've got a bad feeling about this,Yes,True grit,Sleep paralysis,None,Could sell ice to an eskimo,Black Leather Moto Jacket with Charcoal Leather Crew,You have a childlike sense of wonder,Translucent Hex with Red Polarized Lens,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,9,7,9,2,9,2,1,1,Silver Gun,Dark Wood Staff,,,,,,,,Scowl,,White,Light Brown,Buzz Cut,Medium Rain,Black Cotton Wool Slacks with Buckles
90033,Can hear a bee's wings,Yes,Incredible moral fiber,Sleep paralysis,None,Glossophobia,Black Cotton Tank,Learning to regulate emotions,Black Hex with Purple Polarized Lens,Black Snakeskin Combat Cuff Boot,Can put up a fight,4,9,10,2,11,4,1,1,,,,,Intersecting Squares,Moon Patterns,,,,,,Green,Dark Brown,Buzz Cut,Medium Rain,Black Cotton Leggings
90034,Excellent at reading people,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Patent Leather Tunic with Buttons,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,I wouldn't mess with you,7,11,8,4,10,6,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,,,Natural,Black,Braids,Medium Rain,Red Leather Leggings
90035,Can see around corners,Yes,Incredible moral fiber,Two left feet,None,Glossophobia,Black Leather Tank,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Leather Neo Combat Boot,Scrappy,4,10,11,3,11,5,1,1,Dark Wood Staff,,,,Circle,Shaded Circle,,Leather Choker,,Scowl,,Natural,Dark Brown,Buzz Cut,Light Rain,Black Cotton Leggings
