,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
35001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35006,Excellent at reading people,Yes,Quiet confidence,Getting the hang of it,None,Your significant other's mom loves you,Black Patent Leather Tunic with Buttons,Eckhart Tolle has you on speed dial,Black Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,8,17,8,5,10,3,1,1,Katana with Black Handle and Silver Blade,Phone,,,,,,Leather Choker,,,,Natural,Blonde,Short Curly Fade,Light Rain,Black Cotton Leggings
35007,Heightened senses,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Could sell ice to an eskimo,Green Cotton Longsleeve Crew,The veil begins to lift,Black and Gold Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Can put up a fight,9,6,7,4,10,4,1,1,,Phone,,,,,Black Earrings,,,,,Natural,Black,,Medium Rain,Red Cotton Martial Arts Pants
35008,Can see around corners,Yes,Quiet confidence,Abnormal flexibility,None,People smile back at you,Black Wool Mandarin Trench Coat,Accepting the impermanence of things,,Patent White Leather Combat Cuff Boot,Can put up a fight,6,11,11,9,10,4,1,1,Phone,,,,,,,,,Meditative,,Natural,Black,Bob with Fringes,Medium Rain,Black Cotton Wool Slacks with Buckles
35009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35010,Can hear a heartbeat a mile away,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,Everything is always an option,Green Cotton Tank,You know the sound of one hand clapping,Round Black with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,12,13,12,4,10,3,1,1,Silver Shotgun,Black Gun,,,,Shriking Shaded Squares,,,,,,Natural,Black,Medium Curly Bob,Light Rain,Green Cotton Wool Slacks with Buckles
35011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
