,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
1,You've got a bad feeling about this,Yes,Unshakable resolve,Two left feet,None,Maintains status quo,Charcoal Cotton Longsleeve Crew,Laughing at your mistakes,Round Silver with Mirror Lens,Patent Black Leather Combat Cuff Boot,Paper hands,5,10,9,3,12,1,1,1,,,,,,,,Leather Cuff,Thick Leather,,,Pink,Light Brown,Medium Curly Bob,Light Rain,Black Cotton Wool Slacks with Buckles
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Can hear a bee's wings,Yes,Incredible moral fiber,Getting the hang of it,None,Glossophobia,Charcoal Leather Longsleeve Crew,Accepting the impermanence of things,Round Black with Black Lens,Black Leather Neo Combat Boot,Can put up a fight,4,11,10,5,11,4,1,1,Katana with White Handle and Silver Blade,Phone,,,,,,,,Smirk,,Natural,Black,Long Messy,Light Rain,Black Cotton Leggings
