,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
15001,Can hear a bee's wings,Yes,Surprising resilience,A gelatinous blob,None,People smile back at you,Black Pantent Leather Longsleeve with Zipper,You have walked the manifold path,Black Hex with Purple Polarized Lens,Patent Black Leather Combat Cuff Boot,People get out of your way,6,14,10,1,8,7,1,1,,Katana with Black Handle and Silver Blade,,Shaded Triangle,,,Gold Earrings,,Thick Leather,,,Natural,Dark Brown,Low Ponytail,Light Rain,Black Cotton Leggings
15002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15006,Can hear a bee's wings,Yes,Quiet confidence,Can walk and chew gum AT THE SAME TIME (good job!),None,People smile back at you,Charcoal Patent Leather Longsleeve Crew,Self-induced illusions fade,Round Black with Black Lens,Black Patent Leather Neo Combat Boot,Can take a punch,6,8,10,4,10,3,1,1,Silver Staff,Phone,,,,,,,,Scowl,,Natural,Blonde,Low Ponytail,Heavy Rain,Black Cotton Wool Slacks with Buckles
15007,Can hear a bee's wings,Yes,Quiet confidence,Sleep paralysis,None,You're a bit of a charmer,Black Cotton Mandarin Tunic,Learning to regulate emotions,Round Black with Black Lens,Green Snakeskin Combat Cuff Boot,Can put up a fight,7,9,10,2,10,4,1,1,Silver Submachine Gun,Black Short Sai,,,,,,,,Scowl,,Natural,Light Brown,Long Messy,Light Rain,Black Leather Pants with Buckles
15008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15010,Can hear a bee's wings,Yes,Incredible moral fiber,Sleep paralysis,None,Your significant other's mom loves you,Black Patent Leather Tank,Accepting the impermanence of things,Round Black with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,8,11,10,2,11,3,1,1,Silver Submachine Gun,Dark Wood Staff,Triangle,,,,Black Earrings,,Studded Leather,,,Natural,Black,Pulled Back Short,Light Rain,Black Cotton Martial Arts Pants
15011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15012,Can hear a bee's wings,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,White Leather Moto Jacket with Charcoal Leather Crew,Laughing at your mistakes,Black Neo with Black Lens,Black Patent Leather Knee High Boots,Can take a punch,4,10,10,4,12,3,1,1,,,,,,,,,,Scowl,Mustache,Natural,Light Brown,,Light Rain,Black Leather Leggings
15013,You've got a bad feeling about this,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Snakeskin Trench Coat with Red Cotton Tank,Learning to regulate emotions,,Patent Black Leather Combat Cuff Boot,Scrappy,8,9,9,4,11,5,1,1,,,,,,,Black Earrings,,,,Mustache,Natural,Dark Brown,Messy Updo Bun,Light Rain,Black Cotton Leggings
15014,Excellent at reading people,Yes,Quiet confidence,Two left feet,None,Maintains status quo,Black Patent Leather Tunic with Buttons,You know the sound of one hand clapping,Round Black with Black Lens,White Knee High Leather Boots,Your grandma beats you at arm-wrestling,5,13,8,3,10,2,1,1,,Katana with Black Handle and White Blade,,,,,Black Earrings,,,,,Natural,Black,Pulled Back Short,Medium Rain,Green Cotton Wool Slacks with Buckles
15015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15016,Can see around corners,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Cotton Martial Arts Top,Accepting the impermanence of things,Black Hex with Purple Polarized Lens,Black Leather Neo Combat Boot,You come in like a wrecking ball,5,11,11,4,13,11,1,1,Katana with Black Handle and Silver Blade,Black Gun,,,,,Black Earrings,,,Scowl,Thin,Natural,Black,Short Updo,Light Rain,Black Cotton Wool Slacks with Buckles
15017,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,Glossophobia,Red Cotton Tank,Appreciation for the complexity of human behavior,,Black Patent Leather Knee High Boots,Can take a punch,4,12,9,3,10,3,1,1,Katana with White Handle and White Blade,Katana with Black Handle and Silver Blade,,,Equality Sign,Shriking Shaded Squares,Silver Earrings,Leather Choker,,Smirk,,Natural,Black,Short Afro Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
15018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15022,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,Your significant other's mom loves you,Black Leather Trench Coat with Black Cotton Oxford and Green Tie,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,The gym stops to watch you lift,8,12,9,3,10,8,1,1,,Dark Wood Staff,,,,,Black Earrings,,,Scowl,,Light Purple,Black,Faux Hawk,Medium Rain,Black Leather Pants with Buckles
15023,Can hear a bee's wings,Yes,Incredible moral fiber,Pretty light on your feet,None,You're a bit of a charmer,Black Wool Mandarin Trench Coat,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,7,11,10,6,11,4,1,1,Katana with Black Handle and White Blade,Silver Gun,,,,,,,,Scowl,Thin,Natural,Auburn,Low Ponytail,Medium Rain,Black Patent Leather Pants with Buckles
15024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15028,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,A gelatinous blob,None,Glossophobia,Black Cotton Tank,Appreciation for the complexity of human behavior,,Red Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,4,12,12,1,11,2,1,1,,Phone,Interlocking Circles,,Square,Triangle,,,,,Stubble,Natural,Black,Long Afro,Heavy Rain,Black Cotton Wool Slacks with Buckles
15029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15030,Can see around corners,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,Even you don't believe you,Black Cotton Tank,Laughing at your mistakes,Black Morpheus with Dark Mirrored Lens,Patent Black Leather Combat Cuff Boot,Paper hands,1,10,11,4,9,1,1,1,Dark Wood Staff,,,,Shaded Circle,Alchemy,Black Eyebrow Ring,,,,,Natural,Black,Short Curly Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
15031,Can hear a heartbeat a mile away,Yes,Unshakable resolve,A gelatinous blob,None,Maintains status quo,Green Cotton Longsleeve Crew,Laughing at your mistakes,Round Black with Black Lens,Black Snakeskin Combat Cuff Boot,Can put up a fight,5,10,12,1,12,4,1,1,,,,,,,,,Studded Leather,Scowl,,Natural,Blonde,Buzz Cut,Light Rain,Red Cotton Martial Arts Pants
15032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
