,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
75001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75009,You've got a bad feeling about this,Yes,Unshakable resolve,Sleep paralysis,None,You're a bit of a charmer,Green Leather Moto Jacket with Red Cotton Crew,Appreciation for the complexity of human behavior,,Green Leather Neo Combat Boot,Can take a punch,7,12,9,2,12,3,1,1,,,,,,,,,,,Mustache,Natural,Black,Short Messy,Light Rain,Green Cotton Wool Slacks with Buckles
75010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75012,Your third eye is open,Yes,Incredible moral fiber,Two left feet,None,Natural born leader,Black Cotton Longsleeve Crew,Accepting the impermanence of things,Black Futurist with Black Lens,Black Patent Leather Knee High Boots,Scrappy,10,11,15,3,11,5,1,1,,Black Gun,,,,,,,,,,Light Purple,Light Grey,Faux Hawk,Heavy Rain,Black Cotton Leggings
75013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75016,Can hear a heartbeat a mile away,Yes,Quiet confidence,Two left feet,None,You're a bit of a charmer,Black Cotton Longsleeve Crew,Learning to regulate emotions,Round Black with Black Lens,Black Knee High Leather Boots,Can put up a fight,7,9,12,3,10,4,1,1,Phone,,,,,,Black Eyebrow Ring,Leather Cuff,Thick Leather,,,Green,Dark Brown,Long Messy,Light Rain,Black Patent Leather Leggins
