,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
50001,Can hear a bee's wings,Yes,People think of you in their time of need,A gelatinous blob,None,You win without playing,Black Patent Leather Trench Coat with Black Cotton Tank,Accepting the impermanence of things,,Green Leather Combat Cuff Boot,I wouldn't mess with you,14,11,10,1,17,6,1,1,,,,,,,Black Earrings,Leather Choker,,Scowl,,Natural,Dark Brown,Short Messy,Light Rain,Green Cotton Wool Slacks with Buckles
50002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,You've got a bad feeling about this,Yes,True grit,Two left feet,None,You're a bit of a charmer,Black Cotton Crewneck Tunic,Appreciation for the complexity of human behavior,,Green Leather Combat Cuff Boot,Can put up a fight,7,12,9,3,9,4,1,1,,Black Shotgun,,,,,,,,Scowl,,White,Dark Brown,Pulled Back Short,Light Rain,Black Patent Leather Leggins
50004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,Can hear a heartbeat a mile away,Yes,Reluctant volunteer,Two left feet,None,Your significant other's mom loves you,Black Snakeskin Tunic with Buttons,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Patent Leather Neo Combat Boot,Paper hands,8,11,12,3,5,1,1,1,,,,,,,,,,Scowl,,Neon Red,Dark Brown,Short Coil,Light Rain,Black Leather Pants with Buckles
50006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50008,Can see around corners,Yes,Quiet confidence,Two left feet,None,People follow you blindly,Green Cotton Longsleeve Crew,Learning to regulate emotions,Silver Morpheus with Orange and Red Gradient Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,11,9,11,3,10,3,1,1,,Phone,Shaded Circle,,,,,,Thick Leather,Smirk,,Natural,Black,Short Updo,Light Rain,Black Cotton Martial Arts Pants
50009,Can see around corners,Yes,Last one standing,Two left feet,None,You're a bit of a charmer,Black Leather Trench Coat with Black Cotton Oxford and Green Tie,Learning to regulate emotions,Black Neo with Mirror Lens,White Patent Leather Neo Combat Boot,I wouldn't mess with you,7,9,11,3,14,6,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Scowl,,Neon Red,Black,Long Straight Bangs,Medium Rain,Black Cotton Wool Slacks with Buckles
50010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,Excellent at reading people,Yes,Steps forward as others flee,Two left feet,None,Others are helpless to deny you,Black Cotton Mandarin Tunic,Learning to regulate emotions,Black Neo with Mirror Lens,Red Leather Combat Cuff Boot,Paper hands,13,9,8,3,13,1,1,1,,Katana with White Handle and Silver Blade,,,,,Silver Earrings,,,,,Natural,Black,Short Messy,Light Rain,Black Cotton Wool Slacks with Buckles
50012,You've got a bad feeling about this,Yes,Unshakable resolve,Pretty light on your feet,None,Could sell ice to an eskimo,Black Wool Mandarin Trench Coat,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,Can take a punch,9,12,9,6,12,3,1,1,,Katana with Black Handle and Silver Blade,,,,,"Black Nose, Lip",,,Meditative,Goatee,Natural,Black,Faux Hawk,Medium Rain,Black Cotton Wool Slacks with Buckles
50013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50018,Can see around corners,Yes,Surprising resilience,Two left feet,None,Could sell ice to an eskimo,Green Snakeskin Mandarin Tunic,Reality is seen as it is,,Black Knee High Leather Boots,Paper hands,9,15,11,3,8,1,1,1,,,,,,,,Leather Choker,,,Goatee,Natural,Black,Pulled Back Short,Light Rain,Black Cotton Wool Slacks with Buckles
50019,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,People smile back at you,Red Leather Trench Coat with Black Cotton Oxford and Red Tie,Laughing at your mistakes,Round Silver with Mirror Lens,Green Snakeskin Combat Cuff Boot,Can take a punch,6,10,9,3,10,3,1,1,Katana with Black Handle and Silver Blade,Dark Wood Staff,,,,,,,,Smirk,,Natural,Blonde,Short Messy,Medium Rain,Black Leather Leggings
50020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50021,Can hear a heartbeat a mile away,Yes,Quiet confidence,Running circles around enemies,None,You're a bit of a charmer,Black Leather Trench Coat with Black Cotton Oxford and Green Tie,Learning to regulate emotions,Black Wayfarer with Black Lens,Green Patent Leather Knee High Boots,Can take a punch,7,9,12,7,10,3,1,1,,,,,,,,,,,,Natural,Light Grey,Short Afro Fade,Light Rain,Black Cotton Leggings
50022,Can hear a bee's wings,Yes,Quiet confidence,Getting the hang of it,None,People smile back at you,Black Leather Crewneck Tunic,Self-induced illusions fade,Black and Gold Wayfarer with Black Lens,Black Knee High Leather Boots,Scrappy,6,8,10,5,10,5,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Scowl,Goatee,Natural,Dark Brown,,Heavy Rain,Black Patent Leather Pants with Buckles
50023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50026,You've got a bad feeling about this,Yes,Incredible moral fiber,Getting the hang of it,None,Nobody's buying it,Black Cotton Longsleeve Crew,Laughing at your mistakes,,Black Leather Neo Combat Boot,Paper hands,2,10,9,5,11,1,1,1,,Black Arm Pole,,,,,"Black Nose, Lip",,Thick Leather,,Goatee,Light Blue,Dark Brown,Bob with Fringes,Light Rain,Black Leather Pants with Buckles
50027,Can hear a heartbeat a mile away,Yes,Surprising resilience,Sleep paralysis,None,People smile back at you,White Leather Trench Coat with White Cotton Oxford and Black Tie,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Patent Leather Knee High Boots,Can put up a fight,6,10,12,2,8,4,1,1,,,,,,,Silver Earrings,,,Smirk,,Yellow,Blonde,Buzz Cut,Medium Rain,White Cotton Wool Slacks with Buckles
50028,You've got a bad feeling about this,Yes,Stiff upper lip,Pretty light on your feet,None,Natural born leader,Red Cotton Tank,Learning to regulate emotions,,Black Snakeskin Neo Combat Boot,People get out of your way,10,9,9,6,7,7,1,1,Silver Staff,,,Borromean Rings,,,,,,Meditative,,White,Dark Brown,Short Afro Fade,Light Rain,Black Cotton Leggings
50029,You've got a bad feeling about this,Yes,Unshakable resolve,Getting the hang of it,None,People smile back at you,Black Cotton Crewneck Tunic,Laughing at your mistakes,Black and Gold Wayfarer with Black Lens,Green Leather Neo Combat Boot,People get out of your way,6,10,9,5,12,7,1,1,Black Gun,,,,,,"Black Nose, Lip",,,,,Natural,Black,Long Afro,Light Rain,Black Leather Pants with Buckles
50030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50034,Can hear a bee's wings,Yes,People think of you in their time of need,Two left feet,None,People smile back at you,Black Wool Mandarin Trench Coat,Accepting the impermanence of things,Black Wayfarer with Black Lens,Black Patent Leather Knee High Boots,Your grandma beats you at arm-wrestling,6,11,10,3,17,2,1,1,Black Submachine Gun,,,,,,,,,,Stubble,Natural,Light Grey,,Light Rain,Black Leather Leggings
50035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50036,The world has come into focus,Yes,Quiet confidence,Pretty light on your feet,None,You're a bit of a charmer,Black Leather Trench Coat with White Cotton Oxford and Black Tie,Accepting the impermanence of things,,Red Patent Leather Knee High Boots,Can take a punch,7,11,5,6,10,3,1,1,,Silver Staff,,,,,Silver Earrings,,,Meditative,,Natural,Dark Brown,Short Messy,Light Rain,Green Cotton Leggings
