,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
5001,Can hear a heartbeat a mile away,Yes,Last one standing,Sleep paralysis,None,Could sell ice to an eskimo,Green Cotton Martial Arts Top,Accepting the impermanence of things,Black Futurist with Black Lens,,Your grandma beats you at arm-wrestling,9,11,12,2,14,2,1,1,,Gold Gun,,,,,,,,,,Natural,Dark Brown,Faux Hawk,Light Rain,Black Cotton Martial Arts Pants
5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5003,Can see over the horizon,Yes,Incredible moral fiber,Pretty light on your feet,None,You're a bit of a charmer,White Cotton Mandarin Tunic,You have walked the manifold path,,Patent Black Leather Combat Cuff Boot,Can punch holes in concrete walls,7,14,13,6,11,10,1,1,,,,,,,,Leather Choker,,,,Natural,Black,Long Messy,Light Rain,Black Cotton Leggings
5004,You've got a bad feeling about this,Yes,Quiet confidence,Two left feet,None,Maintains status quo,Black Patent Leather Tank,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Leather Neo Combat Boot,Can take a punch,5,10,9,3,10,3,1,1,Black Shotgun,Katana with Black Handle and Silver Blade,,,Valknut,Sierpiński Triangle,,Leather Choker,Thick Leather,,Thin,Neon Red,Black,Buzz Cut,Light Rain,Black Leather Pants with Buckles
5005,Can see around corners,Yes,True grit,Sleep paralysis,None,Natural born leader,Black Leather Tank,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,10,12,11,2,9,2,1,1,,Gold Short Sai,,Equality Sign,Triforce,Interlocking Circles,,,Studded Leather,,,Light Purple,Light Brown,Short Afro Fade,Medium Rain,Black Cotton Wool Slacks with Buckles
5006,The world has come into focus,Yes,Quiet confidence,Two left feet,None,Glossophobia,Black Leather Longsleeve Crew,Laughing at your mistakes,Black Wayfarer with Black Lens,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,4,10,5,3,10,2,1,1,,Black Submachine Gun,,,,,,,Studded Leather,,Thin,White,Light Grey,Short Sideswept Fringe,Medium Rain,Black Cotton Martial Arts Pants
5007,Excellent at reading people,Yes,Incredible moral fiber,Astonishing acrobatics,None,Glossophobia,Red Cotton Martial Arts Top,You know the sound of one hand clapping,,Black Knee High Leather Boots,Can put up a fight,4,13,8,10,11,4,1,1,,,,,,,,,,,Mustache,Natural,Black,Short Updo,Medium Rain,Black Cotton Wool Slacks with Buckles
5008,Can see around corners,Yes,Quiet confidence,Sleep paralysis,None,People smile back at you,Black Leather Trench Coat with White Cotton Oxford and Black Tie,Learning to regulate emotions,Black Neo with Mirror Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,6,9,11,2,10,2,1,1,Katana with Black Handle and White Blade,Katana with White Handle and Silver Blade,,,,,,,,,,Natural,Light Brown,Short Curly Fade,Heavy Rain,Green Leather Pants with Buckles
5009,Excellent at reading people,Yes,Steps forward as others flee,Running circles around enemies,None,Maintains status quo,White Leather Trench Coat with Black Cotton Oxford and Green Tie,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Can take on five enemies at once,5,11,8,7,13,9,1,1,,Black Submachine Gun,,,,,,,,Scowl,,Yellow,Light Brown,Short Updo,Light Rain,Black Leather Leggings
5010,Can see around corners,Yes,Quiet confidence,Getting the hang of it,None,History books will be written about you,Green Leather Longsleeve Crew,Learning to regulate emotions,White Futurist with Mirror Lens,Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,16,9,11,5,10,2,1,1,,Phone,,,,,,Leather Choker,Studded Leather,,,Natural,Light Brown,Messy Updo Bun,Medium Rain,Red Patent Leather Pants with Buckles
