,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
25001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25005,Can see around corners,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,White Cotton Tunic with Buttons,Laughing at your mistakes,,Black Leather Neo Combat Boot,Can put up a fight,7,10,11,4,11,4,1,1,,Katana with Black Handle and Silver Blade,,,,,Silver Earrings,,,,Thin,Yellow,Blonde,Braids,Heavy Rain,Black Cotton Leggings
25006,Can hear a heartbeat a mile away,Yes,Begrudging participant,Running circles around enemies,None,Could sell ice to an eskimo,White Leather Trench Coat with Black Leather Tank,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,Black Snakeskin Combat Cuff Boot,Can take a punch,9,11,12,7,6,3,1,1,,,,,,,,,,Smirk,,Natural,Light Grey,Short Coil,Heavy Rain,Black Cotton Wool Slacks with Buckles
25007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25010,Can hear a bee's wings,Yes,Surprising resilience,A gelatinous blob,None,People smile back at you,Green Leather Tank,Laughing at your mistakes,,Red Leather Combat Cuff Boot,Can take on five enemies at once,6,10,10,1,8,9,1,1,,Black Arm Pole,Square,,Borromean Rings,Shaded Moon Patterns,,,Thick Leather,Scowl,Stubble,Natural,Black,Short Curly Fade,Light Rain,White Cotton Leggings
