,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
60001,White,Low Ponytail,Auburn,None,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,None,None,Stud Earring,Lunchbox
60002,White,Medium Curly Bob,Dark Brown,None,Gray Oxford with Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,Black Leather Briefcase
60003,White,None,Blonde,None,Light Gray Cardigan with Light Gray Oxford Shirt,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,Purple Workers Cap,Black Books,None,None
60004,White,Medium Curly Bob,Light Brown,None,Red Longsleeve,Navy Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
60005,White,Short Updo,Dark Brown,Stubble,Gray Blazer with Black Shirt and Gray Tie,Khaki,Black Suede Chelseas with Brown Sole,None,None,None,Stud Earring,None
60006,White,Updo Bun,Black,None,Navy Oxford with Pocket,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,None,None,Stud Earring,None
60007,White,Short Afro Fade,Black,None,Navy Oxford with Buttons,Navy Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
60008,White,None,Light Brown,None,Olive Oxford with Pocket,Navy Slacks,Redbrown Leather Workboot with Brown Sole,None,Purple Workers Cap,None,None,Black Leather Briefcase
60009,White,Low Ponytail,Black,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
60010,White,None,Black,None,Khaki Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,Navy Blue Workers Cap,Black Books,None,Black Leather Briefcase
60011,White,Updo Bun,Blonde,None,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
60012,White,Medium Curly Bob,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,None,None,Silver Aviators,None,Black Smartphone
60013,White,Short Updo,Light Brown,None,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,None
60014,White,Short Updo,Blonde,None,Red Longsleeve,Khaki,Tan Suede Workboot with Tan Sole,None,None,None,None,Brown Leather Briefcase
60015,White,Short Updo,Black,None,Dark Gray Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,Black Books,None,None
60016,White,Buzz Cut,Auburn,None,Charcoal Blazer with Light Blue Shirt and No Tie,Blue Denim,Brown Leather Shoes with Laces,None,Tan Workers Cap,None,None,Black Leather Briefcase
60017,White,Long Straight Bangs,Light Brown,Mustache,Olive Oxford with Buttons,Navy Slacks,Black Leather Shoes with Laces,None,None,None,None,Black Leather Briefcase
60018,White,Updo Bun,Blonde,Stubble,Navy Oxford with Pocket,Khaki,White Canvas Sneaker with White Sole,None,None,Black Books,None,Blue Lunchbox
60019,White,None,Light Brown,None,Khaki Jumpsuit,None,Tan Suede Workboot with Tan Sole,None,Navy Blue Workers Cap,None,None,Black Smartphone
60020,White,Short Coil,Dark Brown,None,Dark Gray Longsleeve,Charcoal Slacks,Black Suede Chelseas with Brown Sole,Two Rings,None,Black Books,None,Brown Leather Briefcase
60021,White,Updo Bun,Black,None,Gray Blazer with Black Shirt and No Tie,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,None,None,None,None
60022,White,Short Afro Fade,Light Grey,None,Olive Oxford with Buttons,Khaki,Black Suede Chelseas with Brown Sole,Two Rings,None,None,None,Black Leather Briefcase
60023,White,Low Ponytail,Light Grey,None,Dark Gray Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,Rosegold Aviators,None,Black Smartphone
60024,White,Long Messy,Light Brown,None,Navy Jumpsuit,None,White Canvas Sneaker with White Sole,Two Rings,None,None,None,None
60025,White,Short Afro Fade,Black,Mustache,Light Gray Cardigan with Tan Longsleeve Shirt,Khaki Slacks,Brown Leather Shoes with Laces,None,None,Rosegold Aviators,None,Brown Leather Briefcase
60026,White,Short Pixie,Black,None,Dark Gray Longsleeve,Navy Slacks,White Canvas Sneaker with White Sole,None,None,None,None,None
60027,White,Short Afro Fade,Black,None,Gray Blazer with Black Shirt and Gray Tie,Navy Slacks,Tan Suede Workboot with Tan Sole,None,None,Rosegold Aviators,None,None
60028,White,Short Updo,Blonde,None,Gray Blazer with Black Shirt and Gray Tie,Light-Wash Denim,Black Suede Chelseas with Brown Sole,None,None,None,None,Light Blue Smartphone
60029,White,Long Afro,Dark Brown,None,Khaki Jumpsuit,None,Brown Leather Shoes with Laces,None,None,None,Stud Earring,Brown Leather Briefcase
60030,White,Long Straight Bangs,Dark Brown,None,Tan Blazer with Off-White Shirt and Tan Tie,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Black Smartphone
