,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
75001,White,Short Coil,Dark Brown,,Navy Oxford with Buttons,Khaki,Brown Leather Shoes with Laces,Ring One Blue,,,,
75002,White,Short Afro Fade,Dark Brown,,Light Gray Longsleeve,Navy Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,,Black Leather Briefcase
75003,White,,Dark Brown,,Olive Cardigan with Light Gray Longsleeve Shirt,Light-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,
75004,White,Medium Curly Bob,Black,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,Blue Lunchbox
75005,White,Short Afro Fade,Blonde,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
75006,White,Updo Bun,Light Brown,,Blue Longsleeve,Gray Slacks,White Leather Sneaker with Grey Sole,,,,,Black Leather Briefcase
75007,White,Short Afro Fade,Light Brown,,Khaki Oxford with Pocket,Navy Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,
75008,White,,Light Grey,,Dark Gray Cardigan with Light Gray Longsleeve Shirt,Charcoal Slacks,Brown Leather Shoes with Laces,,Navy Blue Workers Cap,,,
75009,White,Straight Sideswept Fringe,Black,Goatee,Navy Oxford with Buttons,Gray Slacks,Brown Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
75010,White,Short Coil,Blonde,,Navy Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,,,,Black Smartphone
75011,White,Short Coil,Dark Brown,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Lunchbox
75012,White,Buzz Cut,Light Grey,,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,
75013,White,Medium Curly Bob,Black,,Gray Oxford with Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,,,Brown Leather Briefcase
75014,White,Straight Sideswept Fringe,Blonde,Goatee,Navy Oxford with Tie,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
75015,White,Low Ponytail,Black,,Light Gray Cardigan with Tan Longsleeve Shirt,Khaki Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Black Smartphone
75016,White,Medium Curly Bob,Dark Brown,Stubble,Olive Oxford with Buttons,Charcoal Slacks,Black Leather Shoes with Laces,,,,,
75017,White,Buzz Cut,Blonde,,Light Gray Longsleeve,Charcoal Slacks,White Leather Sneaker with Grey Sole,Two Rings,,Black Books,,Lunchbox
75018,White,Updo Bun,Light Brown,Stubble,Denim Jumpsuit,,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Smartphone
75019,White,,Dark Brown,,Gray Blazer with Black Shirt and No Tie,Gray Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,Stud Earring,Blue Lunchbox
75020,White,Low Ponytail,Auburn,,Navy Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
75021,White,Updo Bun,Light Brown,,Light Gray Longsleeve,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Silver Aviators,Stud Earring,Lunchbox
75022,White,Buzz Cut,Black,,Blue Longsleeve,Blue Denim,White Canvas Sneaker with White Sole,,Navy Blue Workers Cap,,,Black Leather Briefcase
75023,White,Short Coil,Blonde,,Navy Oxford with Buttons,Blue Denim,White Canvas Sneaker with White Sole,,,,,Black Smartphone
75024,White,Short Messy,Auburn,,Khaki Jumpsuit,,White Canvas Sneaker with White Sole,,,,,
75025,White,Long Afro,Black,,Light Gray Cardigan with Light Gray Oxford Shirt,Blue Denim,White Canvas Sneaker with White Sole,,,,,
75026,White,Short Messy,Light Brown,,Olive Oxford with Buttons,Charcoal Slacks,Redbrown Leather Workboot with Brown Sole,,,,,Black Smartphone
75027,White,Short Pixie,Dark Brown,,Navy Blazer with Striped Shirt and Navy Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,Black Leather Briefcase
75028,White,Buzz Cut,Blonde,,Light Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,Two Rings,Tan Workers Cap,,,Black Smartphone
75029,White,Medium Curly Bob,Light Grey,Goatee,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,
75030,White,Updo Bun,Auburn,,Blue Longsleeve,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Brown Leather Briefcase
75031,White,Short Afro Fade,Blonde,,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
75032,White,Short Pixie,Light Brown,,Olive Oxford with Pocket,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,
75033,White,Low Ponytail,Light Brown,,Navy Jumpsuit,,Black Suede Chelseas with Brown Sole,,,,,
75034,White,Long Messy,Light Brown,,Gray Oxford with Buttons,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,Two Rings,,Black Books,,Brown Leather Briefcase
75035,White,Short Afro Fade,Blonde,,Gray Oxford with Tie and Pocket,Navy Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,
75036,White,Long Messy,Auburn,,Olive Oxford with Tie and Pocket,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Black Leather Briefcase
75037,White,Straight Sideswept Fringe,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
75038,White,Low Ponytail,Dark Brown,Stubble,Light Gray Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,
75039,White,Updo Bun,Auburn,,Light Gray Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,,,Blue Lunchbox
75040,White,Low Ponytail,Light Grey,,Light Gray Longsleeve,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Brown Leather Briefcase
75041,White,Short Updo,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
75042,White,Short Coil,Dark Brown,,Gray Oxford with Pocket,Light-Wash Denim,Brown Leather Shoes with Laces,,,,,
