,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
10001,White,Short Coil,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,,,,Stud Earring,
10002,White,Low Ponytail,Light Grey,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Smartphone
10003,White,Long Messy,Dark Brown,,Light Gray Cardigan with Light Gray Longsleeve Shirt,Khaki Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Lunchbox
10004,White,Low Ponytail,Dark Brown,,Olive Oxford with Pocket,Khaki Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Brown Leather Briefcase
10005,White,Buzz Cut,Black,,Dark Gray Cardigan with Beige Longsleeve Shirt,Khaki Slacks,Black Leather Shoes with Laces,Two Rings,Tan Workers Cap,,Stud Earring,
10006,White,Buzz Cut,Auburn,Thin,Gray Oxford with Buttons,Navy Slacks,Black Suede Chelseas with Brown Sole,,Tan Workers Cap,,,
10007,White,Low Ponytail,Auburn,Thin,Tan Blazer with Off-White Shirt and Tan Tie,Charcoal Slacks,Black Leather Shoes with Laces,Two Rings,,,Stud Earring,
10008,White,Short Messy,Light Brown,,Light Gray Cardigan with Tan Longsleeve Shirt,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,
10009,White,,Light Brown,Thin,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Lunchbox
10010,White,Updo Bun,Blonde,,Navy Oxford with Buttons,Light-Wash Denim,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
10011,White,Short Afro Fade,Dark Brown,Goatee,Gray Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,,,,Stud Earring,Black Smartphone
10012,White,Short Messy,Blonde,,Tan Blazer with Off-White Shirt and Tan Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,Stud Earring,Black Leather Briefcase
10013,White,Low Ponytail,Light Grey,Goatee,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
10014,White,Long Messy,Black,Thin,Olive Oxford with Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,Light Blue Smartphone
10015,White,Short Updo,Light Brown,,Light Gray Cardigan with Tan Longsleeve Shirt,Blue Denim,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
10016,White,Short Afro Fade,Black,,Gray Blazer with Black Shirt and Gray Tie,Light-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Black Smartphone
10017,White,Buzz Cut,Blonde,,Olive Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,,Tan Workers Cap,,,Black Smartphone
10018,White,Straight Sideswept Fringe,Blonde,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,White Canvas Sneaker with White Sole,,,,,Lunchbox
10019,White,Short Pixie,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Lunchbox
10020,White,Long Messy,Black,,Olve Cardigan with Tan Longsleeve Shirt,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,Brown Leather Briefcase
10021,White,Short Updo,Light Grey,,Navy Jumpsuit,,Black Leather Shoes with Laces,Two Rings,,,,Brown Leather Briefcase
10022,White,Short Updo,Light Grey,,Navy Oxford with Pocket,Navy Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
10023,White,Short Pixie,Light Grey,,Light Gray Longsleeve,Charcoal Slacks,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
10024,White,Short Pixie,Dark Brown,,Blue Longsleeve,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
10025,White,Low Ponytail,Black,,Khaki Oxford with Buttons,Dark-Wash Denim,Brown Leather Shoes with Laces,Two Rings,,Black Books,,Lunchbox
10026,White,Straight Sideswept Fringe,Black,,Light Gray Longsleeve,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,Ring One Blue,,Black Books,,Black Smartphone
