,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
30001,White,Updo Bun,Light Grey,None,Dark Gray Longsleeve,Light-Wash Denim,Brown Leather Shoes with Laces,None,None,None,None,Lunchbox
30002,White,Buzz Cut,Dark Brown,Stubble,Navy Blazer with Striped Shirt and Navy Tie,Khaki Slacks,Tan Suede Workboot with Tan Sole,None,None,None,None,Black Leather Briefcase
30003,White,Short Afro Fade,Dark Brown,None,Tan Blazer with Off-White Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
30004,White,Buzz Cut,Light Grey,None,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,Tan Suede Workboot with Tan Sole,Two Rings,None,None,None,None
30005,White,Updo Bun,Black,None,Navy Oxford with Pocket,Gray Slacks,Black Leather Shoes with Laces,None,None,Rosegold Aviators,None,None
30006,White,Straight Sideswept Fringe,Light Grey,None,Blue Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,None
30007,White,Short Coil,Black,None,Gray Blazer with Black Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
30008,White,None,Dark Brown,None,Dark Gray Cardigan with Light Gray Longsleeve Shirt,Khaki Slacks,Black Leather Shoes with Laces,None,None,None,None,Brown Leather Briefcase
30009,White,Long Messy,Black,None,Navy Blazer with Striped Shirt and No Tie,Khaki,Black Suede Chelseas with Brown Sole,None,None,None,None,Black Smartphone
30010,White,Low Ponytail,Blonde,None,Navy Oxford with Buttons,Navy Slacks,White Canvas Sneaker with White Sole,None,None,Rosegold Aviators,None,Black Smartphone
30011,White,Short Pixie,Black,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Khaki Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Lunchbox
30012,White,Short Pixie,Dark Brown,Stubble,Light Gray Longsleeve,Khaki Slacks,Brown Leather Shoes with Laces,None,None,None,Stud Earring,Black Smartphone
30013,White,Medium Curly Bob,Light Grey,Stubble,Light Gray Cardigan with Tan Oxford Shirt,Dark-Wash Denim,Black Leather Shoes with Laces,None,None,None,None,Black Smartphone
30014,White,Straight Sideswept Fringe,Dark Brown,None,Gray Oxford with Buttons,Khaki Slacks,White Leather Sneaker with Grey Sole,None,None,Black Books,None,Brown Leather Briefcase
30015,White,Short Afro Fade,Black,Thin,Navy Blazer with Striped Shirt and Navy Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
30016,White,Low Ponytail,Black,None,Dark Gray Cardigan with Beige Oxford Shirt,Khaki Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Lunchbox
30017,White,Straight Sideswept Fringe,Black,None,Navy Oxford with Buttons,Charcoal Slacks,White Leather Sneaker with Grey Sole,None,None,None,None,Black Smartphone
