,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
85001,White,Short Afro Fade,Auburn,Goatee,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,,Black Leather Briefcase
85002,White,Straight Sideswept Fringe,Blonde,Stubble,Light Gray Cardigan with Light Gray Longsleeve Shirt,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
85003,White,Straight Sideswept Fringe,Black,,Gray Jumpsuit,,Tan Suede Workboot with Tan Sole,Two Rings,,,,
85004,White,Medium Curly Bob,Auburn,,Gray Oxford with Pocket,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,Silver Aviators,,Brown Leather Briefcase
85005,White,,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,Tan Workers Cap,,,Black Leather Briefcase
85006,White,Buzz Cut,Light Brown,,Gray Blazer with Black Shirt and Gray Tie,Charcoal Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
85007,White,,Black,,Gray Blazer with Black Shirt and Gray Tie,Khaki,Redbrown Leather Workboot with Brown Sole,,Navy Blue Workers Cap,,,Brown Leather Briefcase
85008,White,Long Messy,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
85009,White,Short Coil,Dark Brown,,Charcoal Blazer with Light Blue Shirt and No Tie,Navy Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,Lunchbox
85010,White,Straight Sideswept Fringe,Black,,Dark Gray Longsleeve,Khaki,Redbrown Leather Workboot with Brown Sole,Two Rings,,Rosegold Aviators,,
85011,White,Straight Sideswept Fringe,Black,,Blue Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
85012,White,Short Afro Fade,Light Brown,,Khaki Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Black Leather Briefcase
85013,White,Straight Sideswept Fringe,Light Grey,Stubble,Khaki Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Lunchbox
85014,White,Straight Sideswept Fringe,Light Grey,,Charcoal Blazer with Light Blue Shirt and No Tie,Light-Wash Denim,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
