,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
95001,White,Buzz Cut,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,,Brown Leather Briefcase
95002,White,Medium Curly Bob,Auburn,,Dark Gray Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,,,,,Blue Lunchbox
95003,White,Long Straight Bangs,Dark Brown,,Dark Gray Cardigan with Beige Oxford Shirt,Navy Slacks,Black Leather Shoes with Laces,,,Black Books,,Black Smartphone
95004,White,Short Updo,Dark Brown,,Navy Oxford with Buttons,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,,
95005,White,Short Coil,Black,Stubble,Navy Oxford with Tie and Pocket,Khaki Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
95006,White,Low Ponytail,Black,,Light Gray Longsleeve,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,,Stud Earring,
95007,White,Low Ponytail,Dark Brown,Mustache,Light Gray Cardigan with Off-White Longsleeve Shirt,Light-Wash Denim,White Canvas Sneaker with White Sole,,,Rosegold Aviators,,Black Leather Briefcase
95008,White,Long Messy,Blonde,,Dark Gray Longsleeve,Khaki Slacks,White Canvas Sneaker with White Sole,,,,,Black Leather Briefcase
95009,White,Straight Sideswept Fringe,Black,,Khaki Oxford with Tie,Dark-Wash Denim,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
95010,White,Low Ponytail,Dark Brown,,Gray Oxford with Tie,Khaki Slacks,Brown Leather Shoes with Laces,,,,Stud Earring,Black Smartphone
95011,White,Short Pixie,Dark Brown,,Olive Oxford with Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,Brown Leather Briefcase
95012,White,Buzz Cut,Light Grey,,Charcoal Blazer with Light Blue Shirt and Black Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,Navy Blue Workers Cap,,Stud Earring,Lunchbox
95013,White,Short Afro Fade,Light Brown,Thin,Light Gray Longsleeve,Blue Denim,White Leather Sneaker with Grey Sole,,,Rosegold Aviators,,Black Smartphone
95014,White,Buzz Cut,Black,,Blue Longsleeve,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,Two Rings,Tan Workers Cap,,,Blue Lunchbox
95015,White,Short Messy,Black,Mustache,Navy Oxford with Buttons,Gray Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,,
95016,White,Short Afro Fade,Blonde,,Navy Oxford with Tie,Navy Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
95017,White,,Light Brown,,Blue Longsleeve,Khaki Slacks,Tan Suede Workboot with Tan Sole,,Tan Workers Cap,,,Brown Leather Briefcase
95018,White,Long Messy,Light Grey,,Navy Oxford with Tie and Pocket,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,
95019,White,Straight Sideswept Fringe,Black,,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Lunchbox
95020,White,Straight Sideswept Fringe,Auburn,Stubble,Light Gray Longsleeve,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,,,Rosegold Aviators,,
