,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
20001,White,Long Messy,Blonde,,Tan Blazer with Off-White Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,Two Rings,,Black Books,,Black Smartphone
20002,White,Medium Curly Bob,Blonde,,Olive Oxford with Buttons,Khaki Slacks,Black Leather Shoes with Laces,Two Rings,,,,
20003,White,Short Updo,Blonde,,Blue Longsleeve,Charcoal Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Black Smartphone
20004,White,Low Ponytail,Dark Brown,,Navy Blazer with Striped Shirt and Navy Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
20005,White,Low Ponytail,Dark Brown,Stubble,Khaki Oxford with Pocket,Gray Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Brown Leather Briefcase
20006,White,Short Afro Fade,Blonde,,Light Gray Longsleeve,Khaki Slacks,White Canvas Sneaker with White Sole,,,,,
20007,White,Short Afro Fade,Light Brown,Stubble,Red Longsleeve,Navy Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Brown Leather Briefcase
20008,White,Buzz Cut,Blonde,,Dark Gray Longsleeve,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,Ring One Blue,Tan Workers Cap,Black Books,,Black Smartphone
20009,White,Low Ponytail,Dark Brown,Goatee,Denim Jumpsuit,,Brown Leather Shoes with Laces,,,,,Black Leather Briefcase
20010,White,Low Ponytail,Black,,Navy Oxford with Pocket,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
20011,White,Buzz Cut,Black,,Khaki Oxford with Buttons,Blue Denim,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
20012,White,Buzz Cut,Auburn,Mustache,Navy Oxford with Pocket,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,
20013,White,Short Messy,Black,,Khaki Oxford with Buttons,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,,,Black Books,,
20014,White,Short Afro Fade,Dark Brown,,Navy Oxford with Tie and Pocket,Navy Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
20015,White,Medium Curly Bob,Light Grey,,Tan Blazer with Off-White Shirt and No Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,,,Lunchbox
20016,White,Short Afro Fade,Dark Brown,,Olive Oxford with Buttons,Gray Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
20017,White,Short Afro Fade,Black,Stubble,Blue Longsleeve,Khaki Slacks,Brown Leather Shoes with Laces,,,,,
20018,White,Short Messy,Black,Thin,Dark Gray Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,Two Rings,,,,
20019,White,Straight Sideswept Fringe,Auburn,,Gray Jumpsuit,,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
20020,White,Low Ponytail,Light Brown,,Denim Jumpsuit,,Black Suede Chelseas with Brown Sole,,,Black Books,Stud Earring,Black Leather Briefcase
20021,White,Short Coil,Black,Goatee,Navy Oxford with Pocket,Navy Slacks,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Black Smartphone
20022,White,Low Ponytail,Light Brown,Thin,Navy Oxford with Pocket,Gray Slacks,Black Leather Shoes with Laces,,,Rosegold Aviators,,Brown Leather Briefcase
20023,White,Straight Sideswept Fringe,Light Brown,,Dark Gray Longsleeve,Gray Slacks,Brown Leather Shoes with Laces,Two Rings,,,,Black Smartphone
20024,White,Straight Sideswept Fringe,Dark Brown,,Blue Longsleeve,Charcoal Slacks,Black Leather Shoes with Laces,,,Black Books,,
20025,White,,Blonde,,Gray Jumpsuit,,White Leather Sneaker with Grey Sole,,,Silver Aviators,,Blue Lunchbox
20026,White,Straight Sideswept Fringe,Black,,Navy Oxford with Pocket,Light-Wash Denim,Black Leather Shoes with Laces,,,,,Brown Leather Briefcase
20027,White,Short Messy,Blonde,,Light Gray Cardigan with Beige Oxford Shirt,Navy Slacks,Black Leather Shoes with Laces,Two Rings,,,Stud Earring,Black Leather Briefcase
20028,White,Short Pixie,Light Brown,,Light Gray Longsleeve,Navy Slacks,Black Leather Shoes with Laces,Two Rings,,,,
20029,White,Long Messy,Blonde,,Khaki Oxford with Tie and Pocket,Navy Slacks,White Canvas Sneaker with White Sole,,,,,Blue Lunchbox
20030,White,Short Afro Fade,Light Brown,Goatee,Gray Blazer with Black Shirt and No Tie,Light-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Brown Leather Briefcase
20031,White,Buzz Cut,Black,,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,Black Leather Shoes with Laces,,Purple Workers Cap,,Stud Earring,
20032,White,Short Pixie,Blonde,Mustache,Khaki Oxford with Tie,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,Silver Aviators,,Brown Leather Briefcase
20033,White,Short Coil,Black,,Olive Oxford with Pocket,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,Blue Lunchbox
20034,White,Buzz Cut,Light Grey,,Light Gray Longsleeve,Blue Denim,Redbrown Leather Workboot with Brown Sole,,,,,
20035,White,Low Ponytail,Black,,Light Gray Longsleeve,Light-Wash Denim,White Canvas Sneaker with White Sole,,,Silver Aviators,,Brown Leather Briefcase
20036,White,Straight Sideswept Fringe,Blonde,,Gray Blazer with Black Shirt and No Tie,Gray Slacks,White Canvas Sneaker with White Sole,Two Rings,,,,Black Leather Briefcase
20037,White,,Blonde,Goatee,Gray Blazer with Black Shirt and No Tie,Navy Slacks,Black Leather Shoes with Laces,Two Rings,Purple Workers Cap,,,Lunchbox
20038,White,Short Pixie,Black,,Gray Blazer with Black Shirt and No Tie,Charcoal Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Leather Briefcase
20039,White,Long Straight Bangs,Black,,Khaki Oxford with Buttons,Charcoal Slacks,Brown Leather Shoes with Laces,,,Silver Aviators,,Black Leather Briefcase
20040,White,Updo Bun,Dark Brown,,Light Gray Longsleeve,Gray Slacks,Tan Suede Workboot with Tan Sole,,,,Stud Earring,Brown Leather Briefcase
20041,White,Straight Sideswept Fringe,Light Grey,,Navy Oxford with Buttons,Gray Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,Brown Leather Briefcase
20042,White,Short Afro Fade,Light Brown,,Gray Oxford with Pocket,Gray Slacks,Brown Leather Shoes with Laces,,,Black Books,Stud Earring,
20043,White,Short Afro Fade,Light Brown,,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Tan Suede Workboot with Tan Sole,,,Black Books,,
20044,White,Low Ponytail,Auburn,,Navy Oxford with Tie and Pocket,Gray Slacks,Brown Leather Shoes with Laces,,,,Stud Earring,Black Smartphone
20045,White,Medium Curly Bob,Dark Brown,,Gray Blazer with Black Shirt and No Tie,Light-Wash Denim,White Leather Sneaker with Grey Sole,,,,,Black Leather Briefcase
20046,White,Short Messy,Black,,Light Gray Longsleeve,Light-Wash Denim,Black Suede Chelseas with Brown Sole,,,,,
20047,White,Long Messy,Black,Mustache,Navy Oxford with Tie,Gray Slacks,Redbrown Leather Workboot with Brown Sole,,,Black Books,,Blue Lunchbox
20048,White,Medium Curly Bob,Dark Brown,,Olive Oxford with Pocket,Khaki,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
20049,White,Medium Curly Bob,Light Brown,,Navy Oxford with Pocket,Gray Slacks,Tan Suede Workboot with Tan Sole,,,Rosegold Aviators,,Brown Leather Briefcase
20050,White,Short Pixie,Dark Brown,Thin,Tan Blazer with Off-White Shirt and Tan Tie,Navy Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
20051,White,Short Messy,Dark Brown,,Tan Blazer with Off-White Shirt and No Tie,Dark-Wash Denim,Redbrown Leather Workboot with Brown Sole,,,Rosegold Aviators,,
20052,White,Short Afro Fade,Black,,Dark Gray Longsleeve,Khaki,White Canvas Sneaker with White Sole,Two Rings,,,,Black Smartphone
20053,White,Short Coil,Black,Stubble,Navy Oxford with Tie and Pocket,Navy Slacks,White Canvas Sneaker with White Sole,,,Rosegold Aviators,,Lunchbox
20054,White,Straight Sideswept Fringe,Black,Stubble,Olive Oxford with Buttons,Charcoal Slacks,White Canvas Sneaker with White Sole,,,Silver Aviators,,Black Smartphone
