,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
45001,White,Short Coil,Dark Brown,,Gray Oxford with Buttons,Light-Wash Denim,Brown Leather Shoes with Laces,Two Rings,,Silver Aviators,,Brown Leather Briefcase
45002,White,Short Coil,Dark Brown,,Denim Jumpsuit,,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
45003,White,Medium Curly Bob,Blonde,,Olive Oxford with Tie,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,
45004,White,Short Coil,Blonde,Mustache,Tan Blazer with Off-White Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,Two Rings,,,,Black Smartphone
45005,White,Short Pixie,Dark Brown,,Navy Oxford with Buttons,Charcoal Slacks,White Leather Sneaker with Grey Sole,,,,,Brown Leather Briefcase
45006,White,Short Messy,Light Brown,,Navy Blazer with Striped Shirt and No Tie,Charcoal Slacks,Black Leather Shoes with Laces,Two Rings,,Black Books,,Blue Lunchbox
45007,White,Short Updo,Black,,Navy Oxford with Buttons,Navy Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Black Smartphone
45008,White,,Light Brown,,Gray Blazer with Black Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,Two Rings,,,,Lunchbox
45009,White,Short Messy,Black,,Navy Blazer with Striped Shirt and Navy Tie,Light-Wash Denim,Brown Leather Shoes with Laces,,,Silver Aviators,,
45010,White,Short Pixie,Black,,Gray Oxford with Tie and Pocket,Navy Slacks,White Leather Sneaker with Grey Sole,,,,,Black Smartphone
45011,White,Low Ponytail,Black,,Tan Blazer with Off-White Shirt and Tan Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,Ring One Blue,,Black Books,,Black Smartphone
45012,White,Short Messy,Black,,Tan Blazer with Off-White Shirt and Tan Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,Two Rings,,,,Black Leather Briefcase
45013,White,Low Ponytail,Light Grey,,Navy Oxford with Buttons,Navy Slacks,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
45014,White,Short Messy,Light Brown,,Gray Blazer with Black Shirt and No Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,,,,,Black Smartphone
45015,White,Long Afro,Dark Brown,,Tan Blazer with Off-White Shirt and Tan Tie,Dark-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
45016,White,Updo Bun,Black,,Charcoal Blazer with Light Blue Shirt and Black Tie,Gray Slacks,Brown Leather Shoes with Laces,Two Rings,,Silver Aviators,Stud Earring,Black Smartphone
45017,White,Short Pixie,Light Grey,,Navy Blazer with Striped Shirt and No Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,,,,,
45018,White,Short Messy,Blonde,Goatee,Light Gray Longsleeve,Navy Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
45019,White,Updo Bun,Dark Brown,,Olive Cardigan with Light Gray Oxford Shirt,Light-Wash Denim,Brown Leather Shoes with Laces,,,Black Books,,Black Smartphone
45020,White,Short Updo,Light Brown,,Navy Jumpsuit,,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
45021,White,Buzz Cut,Black,,Olive Oxford with Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,Navy Blue Workers Cap,,,Black Smartphone
45022,White,Medium Curly Bob,Black,Goatee,Olive Oxford with Pocket,Navy Slacks,Black Suede Chelseas with Brown Sole,,,Rosegold Aviators,,Black Leather Briefcase
45023,White,Medium Curly Bob,Light Grey,,Navy Oxford with Pocket,Blue Denim,White Canvas Sneaker with White Sole,,,,,Lunchbox
45024,White,Short Coil,Black,,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,Rosegold Aviators,,Brown Leather Briefcase
45025,White,Short Updo,Dark Brown,Stubble,Navy Oxford with Buttons,Dark-Wash Denim,Brown Leather Shoes with Laces,,,,,Brown Leather Briefcase
