,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
5001,White,Buzz Cut,Dark Brown,None,Gray Oxford with Buttons,Gray Slacks,Redbrown Leather Workboot with Brown Sole,None,None,None,None,Black Smartphone
5002,White,None,Light Brown,None,Khaki Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,None,None,Silver Aviators,None,Black Leather Briefcase
5003,White,Buzz Cut,Black,None,Navy Oxford with Pocket,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Silver Aviators,Stud Earring,Lunchbox
5004,White,None,Black,Stubble,Olive Oxford with Pocket,Dark-Wash Denim,Black Leather Shoes with Laces,None,Tan Workers Cap,None,None,Lunchbox
5005,White,Short Afro Fade,Light Brown,None,Navy Blazer with Striped Shirt and No Tie,Light-Wash Denim,White Canvas Sneaker with White Sole,None,None,Black Books,None,None
5006,White,Low Ponytail,Light Grey,None,Olive Oxford with Pocket,Charcoal Slacks,White Canvas Sneaker with White Sole,None,None,None,Stud Earring,None
5007,White,Short Coil,Black,Stubble,Navy Oxford with Tie,Charcoal Slacks,Brown Leather Shoes with Laces,None,None,None,None,None
5008,White,Short Coil,Light Brown,None,Navy Oxford with Pocket,Dark-Wash Denim,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,None
5009,White,Short Coil,Light Brown,None,Olive Oxford with Buttons,Khaki Slacks,Brown Leather Shoes with Laces,None,None,Black Books,None,None
5010,White,Short Messy,Light Brown,None,Navy Oxford with Tie,Gray Slacks,Black Suede Chelseas with Brown Sole,Two Rings,None,None,None,None
5011,White,Updo Bun,Black,None,Navy Blazer with Striped Shirt and Navy Tie,Blue Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
5012,White,Short Coil,Black,None,Navy Blazer with Striped Shirt and No Tie,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,None,None,None,Black Leather Briefcase
5013,White,Short Coil,Light Brown,Stubble,Light Gray Longsleeve,Blue Denim,Redbrown Leather Workboot with Brown Sole,None,None,None,None,None
5014,White,Short Afro Fade,Light Brown,None,Charcoal Blazer with Light Blue Shirt and Black Tie,Navy Slacks,Black Suede Chelseas with Brown Sole,None,None,Rosegold Aviators,None,None
5015,White,Buzz Cut,Light Grey,None,Olive Oxford with Tie and Pocket,Navy Slacks,White Leather Sneaker with Grey Sole,Two Rings,Tan Workers Cap,None,None,None
5016,White,Short Pixie,Blonde,Stubble,Gray Oxford with Buttons,Charcoal Slacks,Tan Suede Workboot with Tan Sole,None,None,Black Books,None,Black Smartphone
5017,White,Long Afro,Black,Stubble,Navy Blazer with Striped Shirt and No Tie,Dark-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,Stud Earring,Brown Leather Briefcase
5018,White,Medium Curly Bob,Dark Brown,None,Blue Longsleeve,Khaki Slacks,Brown Leather Shoes with Laces,Two Rings,None,None,None,Black Smartphone
5019,White,Straight Sideswept Fringe,Dark Brown,None,Navy Blazer with Striped Shirt and No Tie,Khaki Slacks,Redbrown Leather Workboot with Brown Sole,None,None,Silver Aviators,None,Black Smartphone
5020,White,None,Dark Brown,None,Light Gray Longsleeve,Light-Wash Denim,Black Leather Shoes with Laces,None,None,Rosegold Aviators,None,Brown Leather Briefcase
5021,White,None,Dark Brown,None,Denim Jumpsuit,None,Brown Leather Shoes with Laces,Two Rings,Tan Workers Cap,None,None,Brown Leather Briefcase
5022,White,Short Messy,Black,None,Olive Oxford with Tie and Pocket,Light-Wash Denim,White Canvas Sneaker with White Sole,None,None,None,None,None
5023,White,None,Light Brown,None,Khaki Oxford with Tie and Pocket,Khaki Slacks,Tan Suede Workboot with Tan Sole,None,Tan Workers Cap,None,None,None
5024,White,Medium Curly Bob,Dark Brown,None,Light Gray Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,Two Rings,None,None,None,Lunchbox
