,Background,Hair Style,Hair Color,Facial Hair,Top,Bottom,Footwear,Ring,Headwear,Glasses,Piercings,Accessories
90001,White,Straight Sideswept Fringe,Dark Brown,Stubble,Charcoal Blazer with Light Blue Shirt and No Tie,Khaki Slacks,Black Suede Chelseas with Brown Sole,,,Black Books,,
90002,White,Straight Sideswept Fringe,Dark Brown,,Khaki Oxford with Tie,Dark-Wash Denim,Black Suede Chelseas with Brown Sole,Two Rings,,Silver Aviators,,Black Leather Briefcase
90003,White,Medium Curly Bob,Auburn,,Light Gray Longsleeve,Navy Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
90004,White,Short Coil,Light Brown,,Olive Cardigan with Tan Oxford Shirt,Gray Slacks,Black Leather Shoes with Laces,,,,,
90005,White,Straight Sideswept Fringe,Blonde,Stubble,Blue Longsleeve,Navy Slacks,Black Leather Shoes with Laces,,,,,Black Leather Briefcase
90006,White,Short Coil,Light Brown,,Navy Oxford with Pocket,Blue Denim,White Canvas Sneaker with White Sole,,,Black Books,,Brown Leather Briefcase
90007,White,Short Pixie,Light Brown,Thin,Red Longsleeve,Navy Slacks,White Canvas Sneaker with White Sole,,,,,
90008,White,Straight Sideswept Fringe,Blonde,,Olive Cardigan with Light Gray Longsleeve Shirt,Navy Slacks,White Leather Sneaker with Grey Sole,,,Black Books,,Black Smartphone
90009,White,Medium Curly Bob,Blonde,Stubble,Gray Blazer with Black Shirt and No Tie,Gray Slacks,Brown Leather Shoes with Laces,,,,,Black Smartphone
90010,White,Straight Sideswept Fringe,Light Brown,Goatee,Navy Blazer with Striped Shirt and Navy Tie,Charcoal Slacks,White Canvas Sneaker with White Sole,,,,Stud Earring,Black Leather Briefcase
90011,White,Straight Sideswept Fringe,Black,Stubble,Olive Oxford with Buttons,Light-Wash Denim,Tan Suede Workboot with Tan Sole,Two Rings,,,,
90012,White,Straight Sideswept Fringe,Black,,Olive Cardigan with Tan Oxford Shirt,Khaki Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
90013,White,,Light Grey,,Charcoal Blazer with Light Blue Shirt and No Tie,Gray Slacks,Black Leather Shoes with Laces,,Tan Workers Cap,,,Brown Leather Briefcase
90014,White,Short Coil,Light Grey,,Light Gray Longsleeve,Charcoal Slacks,Tan Suede Workboot with Tan Sole,,,,,Black Leather Briefcase
90015,White,Straight Sideswept Fringe,Dark Brown,,Khaki Oxford with Tie and Pocket,Charcoal Slacks,Brown Leather Shoes with Laces,Two Rings,,,Stud Earring,Brown Leather Briefcase
90016,White,Low Ponytail,Black,,Red Longsleeve,Dark-Wash Denim,White Canvas Sneaker with White Sole,,,Black Books,,Black Smartphone
