,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
50001,,,,,,Brown Leather Shoes with Laces,Gray Slacks,Navy Oxford with Tie and Pocket,,Dark Brown,Long Messy,White
50002,Black Smartphone,Stud Earring,,,,White Canvas Sneaker with White Sole,Gray Slacks,Light Gray Cardigan with Light Gray Oxford Shirt,Goatee,Blonde,Short Afro Fade,White
50003,,,,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Navy Oxford with Tie,,Dark Brown,Short Messy,White
50004,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Khaki Oxford with Tie and Pocket,,Dark Brown,Long Afro,White
50005,Black Smartphone,Stud Earring,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Khaki Oxford with Pocket,,Dark Brown,Short Coil,White
50006,Lunchbox,,,,Two Rings,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,Thin,Auburn,Updo Bun,White
50007,Black Leather Briefcase,,Black Books,,Two Rings,Black Leather Shoes with Laces,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Blonde,Straight Sideswept Fringe,White
50008,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Straight Sideswept Fringe,White
50009,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Dark Gray Longsleeve,,Black,Short Coil,White
50010,,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Short Coil,White
50011,,,Rosegold Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,,Black,Buzz Cut,White
50012,Lunchbox,,,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and No Tie,Mustache,Black,Short Messy,White
50013,Brown Leather Briefcase,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Gray Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Dark Brown,Buzz Cut,White
50014,,,,,,White Canvas Sneaker with White Sole,Blue Denim,Dark Gray Longsleeve,Mustache,Black,Low Ponytail,White
50015,Lunchbox,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Tie and Pocket,,Black,Short Messy,White
50016,Lunchbox,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Dark Gray Longsleeve,,Auburn,Short Messy,White
50017,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Gray Blazer with Black Shirt and No Tie,Mustache,Blonde,Short Afro Fade,White
50018,,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Khaki Oxford with Buttons,,Black,Low Ponytail,White
50019,,,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Gray Slacks,Blue Longsleeve,,Blonde,,White
50020,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Light Grey,Short Messy,White
50021,Blue Lunchbox,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Navy Oxford with Buttons,,Light Grey,Low Ponytail,White
50022,Black Smartphone,,Silver Aviators,,,Black Leather Shoes with Laces,Light-Wash Denim,Blue Longsleeve,Stubble,Dark Brown,Buzz Cut,White
50023,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Dark Brown,Short Messy,White
50024,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Short Coil,White
50025,Lunchbox,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Oxford with Tie,Stubble,Blonde,Straight Sideswept Fringe,White
50026,Black Smartphone,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Short Afro Fade,White
50027,,,Black Books,,Two Rings,White Leather Sneaker with Grey Sole,Khaki,Navy Blazer with Striped Shirt and Navy Tie,,Blonde,Long Straight Bangs,White
50028,Black Smartphone,,,,Two Rings,Black Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Dark Brown,Buzz Cut,White
50029,,,,,,White Canvas Sneaker with White Sole,Khaki,Blue Longsleeve,,Black,Short Coil,White
50030,,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Khaki Oxford with Pocket,,Dark Brown,Buzz Cut,White
50031,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Dark Gray Cardigan with Off-White Oxford and No Tie,Stubble,Light Grey,Short Pixie,White
50032,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Short Pixie,White
50033,Brown Leather Briefcase,Stud Earring,,,Two Rings,Black Suede Chelseas with Brown Sole,Navy Slacks,Navy Oxford with Pocket,,Black,Short Afro Fade,White
50034,,,,,,Black Leather Shoes with Laces,Gray Slacks,Light Gray Cardigan with Beige Longsleeve Shirt,,Light Grey,Low Ponytail,White
50035,,,Silver Aviators,,,Black Leather Shoes with Laces,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Low Ponytail,White
50036,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Olive Oxford with Tie and Pocket,,Dark Brown,Short Messy,White
50037,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Khaki Oxford with Tie and Pocket,,Black,Medium Curly Bob,White
50038,Black Smartphone,,,,,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Thin,Auburn,Low Ponytail,White
50039,Light Blue Smartphone,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Updo Bun,White
50040,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Updo,White
50041,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Olive Oxford with Pocket,,Blonde,Straight Sideswept Fringe,White
50042,Brown Leather Briefcase,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Long Messy,White
50043,Lunchbox,,,,Two Rings,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Oxford with Pocket,,Light Brown,Short Messy,White
50044,Brown Leather Briefcase,Stud Earring,Silver Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Pocket,,Dark Brown,Straight Sideswept Fringe,White
50045,Light Blue Smartphone,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Stubble,Black,,White
50046,Light Blue Smartphone,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Dark Gray Cardigan with Tan Oxford Shirt,Goatee,Black,Low Ponytail,White
50047,Black Leather Briefcase,,Black Books,,Two Rings,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Tie and Pocket,,Black,Short Coil,White
50048,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Blonde,Updo Bun,White
50049,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Straight Sideswept Fringe,White
50050,Black Smartphone,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,Thin,Black,Short Afro Fade,White
50051,,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Olive Oxford with Buttons,,Black,Short Coil,White
50052,,,,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Blonde,Short Updo,White
50053,Brown Leather Briefcase,Stud Earring,,Tan Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Blue Longsleeve,,Light Brown,Buzz Cut,White
50054,Lunchbox,,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Gray Slacks,Olive Oxford with Tie,,Dark Brown,,White
50055,Black Smartphone,,,,Two Rings,Brown Leather Shoes with Laces,Blue Denim,Dark Gray Longsleeve,,Blonde,Short Pixie,White
50056,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Oxford with Buttons,,Blonde,Short Messy,White
50057,,,Black Books,,,Black Leather Shoes with Laces,Charcoal Slacks,Gray Oxford with Pocket,Goatee,Dark Brown,Long Afro,White
50058,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Oxford with Tie,,Light Brown,Updo Bun,White
50059,Black Smartphone,,,,,Brown Leather Shoes with Laces,,Khaki Jumpsuit,Thin,Dark Brown,Low Ponytail,White
50060,Black Leather Briefcase,,,Tan Worker's Cap,Two Rings,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Buzz Cut,White
50061,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Dark Gray Cardigan with Tan Oxford Shirt,,Light Grey,Short Messy,White
