,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
20001,Black Smartphone,,Black Books,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Blonde,Long Messy,White
20002,,,,,Two Rings,Black Leather Shoes with Laces,Khaki Slacks,Olive Oxford with Buttons,,Blonde,Medium Curly Bob,White
20003,Black Smartphone,,,,Two Rings,White Canvas Sneaker with White Sole,Charcoal Slacks,Blue Longsleeve,,Blonde,Short Updo,White
20004,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Dark Brown,Low Ponytail,White
20005,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Gray Slacks,Khaki Oxford with Pocket,Stubble,Dark Brown,Low Ponytail,White
20006,,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Light Gray Longsleeve,,Blonde,Short Afro Fade,White
20007,Brown Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Navy Slacks,Red Longsleeve,Stubble,Light Brown,Short Afro Fade,White
20008,Black Smartphone,,Black Books,Tan Worker's Cap,Ring One Blue,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Dark Gray Longsleeve,,Blonde,Buzz Cut,White
20009,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,,Denim Jumpsuit,Goatee,Dark Brown,Low Ponytail,White
20010,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Oxford with Pocket,,Black,Low Ponytail,White
20011,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Blue Denim,Khaki Oxford with Buttons,,Black,Buzz Cut,White
20012,,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Oxford with Pocket,Mustache,Auburn,Buzz Cut,White
20013,,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Khaki Oxford with Buttons,,Black,Short Messy,White
20014,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Oxford with Tie and Pocket,,Dark Brown,Short Afro Fade,White
20015,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Tan Blazer with Off-White Shirt and No Tie,,Light Grey,Medium Curly Bob,White
20016,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Gray Slacks,Olive Oxford with Buttons,,Dark Brown,Short Afro Fade,White
20017,,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Blue Longsleeve,Stubble,Black,Short Afro Fade,White
20018,,,,,Two Rings,Black Leather Shoes with Laces,Charcoal Slacks,Dark Gray Longsleeve,Thin,Black,Short Messy,White
20019,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,,Gray Jumpsuit,,Auburn,Straight Sideswept Fringe,White
20020,Black Leather Briefcase,Stud Earring,Black Books,,,Black Suede Chelseas with Brown Sole,,Denim Jumpsuit,,Light Brown,Low Ponytail,White
20021,Black Smartphone,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Navy Oxford with Pocket,Goatee,Black,Short Coil,White
20022,Brown Leather Briefcase,,Rosegold Aviators,,,Black Leather Shoes with Laces,Gray Slacks,Navy Oxford with Pocket,Thin,Light Brown,Low Ponytail,White
20023,Black Smartphone,,,,Two Rings,Brown Leather Shoes with Laces,Gray Slacks,Dark Gray Longsleeve,,Light Brown,Straight Sideswept Fringe,White
20024,,,Black Books,,,Black Leather Shoes with Laces,Charcoal Slacks,Blue Longsleeve,,Dark Brown,Straight Sideswept Fringe,White
20025,Blue Lunchbox,,Silver Aviators,,,White Leather Sneaker with Grey Sole,,Gray Jumpsuit,,Blonde,,White
20026,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Pocket,,Black,Straight Sideswept Fringe,White
20027,Black Leather Briefcase,Stud Earring,,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Light Gray Cardigan with Beige Oxford Shirt,,Blonde,Short Messy,White
20028,,,,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Light Gray Longsleeve,,Light Brown,Short Pixie,White
20029,Blue Lunchbox,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Tie and Pocket,,Blonde,Long Messy,White
20030,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Gray Blazer with Black Shirt and No Tie,Goatee,Light Brown,Short Afro Fade,White
