,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
5001,Black Smartphone,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Gray Oxford with Buttons,,Dark Brown,Buzz Cut,White
5002,Black Leather Briefcase,,Silver Aviators,,,Brown Leather Shoes with Laces,Khaki Slacks,Khaki Oxford with Buttons,,Light Brown,,White
5003,Lunchbox,Stud Earring,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Navy Oxford with Pocket,,Black,Buzz Cut,White
5004,Lunchbox,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Dark-Wash Denim,Olive Oxford with Pocket,Stubble,Black,,White
5005,,,Black Books,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Afro Fade,White
5006,,Stud Earring,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Olive Oxford with Pocket,,Light Grey,Low Ponytail,White
5007,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Tie,Stubble,Black,Short Coil,White
5008,,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Navy Oxford with Pocket,,Light Brown,Short Coil,White
5009,,,Black Books,,,Brown Leather Shoes with Laces,Khaki Slacks,Olive Oxford with Buttons,,Light Brown,Short Coil,White
5010,,,,,Two Rings,Black Suede Chelseas with Brown Sole,Gray Slacks,Navy Oxford with Tie,,Light Brown,Short Messy,White
5011,,,,,,White Canvas Sneaker with White Sole,Blue Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Updo Bun,White
5012,Black Leather Briefcase,,,,Two Rings,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Short Coil,White
5013,,,,,,Redbrown Leather Workboot with Brown Sole,Blue Denim,Light Gray Longsleeve,Stubble,Light Brown,Short Coil,White
5014,,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Short Afro Fade,White
5015,,,,Tan Worker's Cap,Two Rings,White Leather Sneaker with Grey Sole,Navy Slacks,Olive Oxford with Tie and Pocket,,Light Grey,Buzz Cut,White
5016,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Gray Oxford with Buttons,Stubble,Blonde,Short Pixie,White
5017,Brown Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,Stubble,Black,Long Afro,White
