,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
15001,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Navy Slacks,Gray Blazer with Black Shirt and No Tie,,Dark Brown,Medium Curly Bob,White
15002,Lunchbox,,,,,White Canvas Sneaker with White Sole,Blue Denim,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Straight Sideswept Fringe,White
15003,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Khaki Oxford with Buttons,Stubble,Light Brown,Low Ponytail,White
15004,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Khaki,Olive Cardigan with Off-White Longsleeve Shirt,,Light Brown,Short Afro Fade,White
15005,Black Leather Briefcase,Stud Earring,,,,Black Leather Shoes with Laces,Gray Slacks,Olive Oxford with Tie,Mustache,Black,Short Pixie,White
15006,Black Smartphone,,Rosegold Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,Stubble,Blonde,Buzz Cut,White
15007,Black Smartphone,,Silver Aviators,,,Black Leather Shoes with Laces,Dark-Wash Denim,Light Gray Longsleeve,Beard,Light Brown,Low Ponytail,White
15008,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Gray Oxford with Buttons,,Light Brown,Short Messy,White
15009,,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Short Messy,White
15010,,,Black Books,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Pocket,,Black,,White
15011,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,Stubble,Light Grey,Short Afro Fade,White
15012,Lunchbox,,Black Books,Tan Worker's Cap,,Brown Leather Shoes with Laces,Gray Slacks,Blue Longsleeve,Thin,Light Brown,Buzz Cut,White
15013,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Blue Longsleeve,,Dark Brown,Short Messy,White
15014,Black Smartphone,,,,,Black Leather Shoes with Laces,Khaki Slacks,Dark Gray Cardigan with Tan Oxford Shirt,,Black,Medium Curly Bob,White
15015,Lunchbox,,Silver Aviators,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Buttons,,Black,Long Straight Bangs,White
15016,,,Rosegold Aviators,,Two Rings,Brown Leather Shoes with Laces,Khaki Slacks,Olive Oxford with Pocket,,Black,Long Messy,White
15017,,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Olive Oxford with Tie and Pocket,,Black,Short Coil,White
15018,Lunchbox,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,,Dark Brown,Straight Sideswept Fringe,White
15019,Black Leather Briefcase,,Black Books,Tan Worker's Cap,Two Rings,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Buzz Cut,White
15020,Black Leather Briefcase,,Black Books,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Straight Sideswept Fringe,White
15021,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Olive Oxford with Buttons,,Auburn,Straight Sideswept Fringe,White
15022,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Light Gray Longsleeve,,Black,Short Messy,White
15023,,,,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Dark Gray Longsleeve,,Auburn,Long Messy,White
15024,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,Mustache,Blonde,Short Afro Fade,White
15025,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Dark Brown,Straight Sideswept Fringe,White
15026,Brown Leather Briefcase,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Off-White Longsleeve Shirt,Mustache,Light Brown,Short Afro Fade,White
15027,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Blonde,Low Ponytail,White
15028,Black Smartphone,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,Goatee,Black,Long Afro,White
15029,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Low Ponytail,White
15030,,,,,,Black Suede Chelseas with Brown Sole,Blue Denim,Navy Blazer with Striped Shirt and No Tie,,Black,Medium Curly Bob,White
15031,Black Smartphone,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Olive Oxford with Buttons,,Blonde,Long Straight Bangs,White
