,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
35001,Black Smartphone,,Silver Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Gray Oxford with Pocket,Mustache,Light Brown,Long Straight Bangs,White
35002,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Khaki Oxford with Pocket,,Dark Brown,Short Updo,White
35003,,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Gray Oxford with Tie,Goatee,Black,Long Messy,White
35004,Lunchbox,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Gray Oxford with Tie,,Dark Brown,Short Pixie,White
35005,Brown Leather Briefcase,,,,Two Rings,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Cardigan with Tan Oxford Shirt,,Black,Short Pixie,White
35006,Black Leather Briefcase,,,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,Navy Slacks,Light Gray Longsleeve,,Blonde,Buzz Cut,White
35007,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Red Longsleeve,,Black,Buzz Cut,White
35008,,,,,,Black Leather Shoes with Laces,Navy Slacks,Gray Oxford with Tie and Pocket,,Black,Short Updo,White
35009,,,Silver Aviators,,Ring One Blue,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Pocket,,Light Grey,Long Messy,White
35010,Black Smartphone,Stud Earring,,,,White Canvas Sneaker with White Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Long Afro,White
35011,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Navy Oxford with Buttons,Thin,Light Brown,Long Messy,White
35012,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Light Gray Longsleeve,,Black,Short Messy,White
35013,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Blue Denim,Olive Oxford with Pocket,,Black,Short Messy,White
35014,Lunchbox,,,Tan Worker's Cap,Two Rings,White Canvas Sneaker with White Sole,Gray Slacks,Olive Oxford with Buttons,,Black,Buzz Cut,White
35015,Black Smartphone,,Black Books,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Red Longsleeve,,Black,Buzz Cut,White
35016,Light Blue Smartphone,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Light Gray Longsleeve,,Dark Brown,Short Updo,White
35017,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Blue Longsleeve,,Black,Buzz Cut,White
35018,Black Smartphone,,,Tan Worker's Cap,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Stubble,Dark Brown,Buzz Cut,White
35019,Brown Leather Briefcase,Stud Earring,Rosegold Aviators,,,Black Leather Shoes with Laces,Dark-Wash Denim,Brown Cardigan with Beigse Oxford Shirt,Thin,Black,Straight Sideswept Fringe,White
35020,Black Smartphone,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Navy Oxford with Tie,,Light Brown,Short Pixie,White
35021,Brown Leather Briefcase,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Gray Oxford with Buttons,Stubble,Dark Brown,Short Pixie,White
35022,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Navy Oxford with Pocket,,Black,Short Pixie,White
35023,,,,,,Tan Suede Workboot with Tan Sole,,Denim Jumpsuit,,Dark Brown,Long Messy,White
35024,Black Smartphone,,,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Dark Brown,Short Pixie,White
35025,Brown Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Dark Gray Longsleeve,,Light Grey,Short Messy,White
35026,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Buttons,,Light Grey,Short Updo,White
35027,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Dark Gray Longsleeve,,Black,Medium Curly Bob,White
35028,,,,,,Brown Leather Shoes with Laces,Navy Slacks,Olive Oxford with Pocket,,Dark Brown,Updo Bun,White
35029,,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Pocket,,Dark Brown,Straight Sideswept Fringe,White
35030,Black Smartphone,,,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Blue Longsleeve,,Dark Brown,Short Pixie,White
35031,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Cardigan with Light Gray Longsleeve Shirt,,Black,Short Coil,White
35032,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Light Gray Longsleeve,,Light Grey,Long Messy,White
35033,Lunchbox,,Black Books,Tan Worker's Cap,,Brown Leather Shoes with Laces,Blue Denim,Light Gray Longsleeve,,Dark Brown,Buzz Cut,White
35034,Lunchbox,,Blue Eye Glasses,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Olive Oxford with Buttons,Stubble,Black,Short Messy,White
35035,Black Leather Briefcase,,Rosegold Aviators,,,Brown Leather Shoes with Laces,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Medium Curly Bob,White
35036,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Dark Gray Cardigan with Beige Longsleeve Shirt,Goatee,Blonde,Updo Bun,White
35037,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Khaki,Navy Oxford with Pocket,,Black,Medium Curly Bob,White
35038,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Medium Curly Bob,White
35039,Black Smartphone,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Olive Oxford with Pocket,,Light Brown,,White
35040,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Dark Gray Longsleeve,Stubble,Black,Straight Sideswept Fringe,White
35041,,,,,Two Rings,Brown Leather Shoes with Laces,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Light Brown,Buzz Cut,White
35042,,,Rosegold Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Dark Gray Cardigan with Off-White Longsleeve Shirt,,Black,,White
35043,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,Stubble,Light Grey,Long Messy,White
35044,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Oxford with Tie,Goatee,Light Brown,Short Messy,White
35045,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki,Light Gray Longsleeve,,Blonde,Straight Sideswept Fringe,White
35046,Black Smartphone,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Short Messy,White
35047,Black Leather Briefcase,Stud Earring,Black Books,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Khaki Oxford with Buttons,Goatee,Light Grey,Straight Sideswept Fringe,White
35048,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Olive Oxford with Tie,Stubble,Light Brown,Short Coil,White
35049,,,,,,Brown Leather Shoes with Laces,,Denim Jumpsuit,Stubble,Light Brown,Short Messy,White
35050,Lunchbox,,Black Books,,,Black Leather Shoes with Laces,Blue Denim,Navy Blazer with Striped Shirt and No Tie,,Auburn,Updo Bun,White
35051,Black Smartphone,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Navy Oxford with Buttons,,Black,,White
35052,,,,,,Black Leather Shoes with Laces,Khaki Slacks,Dark Gray Cardigan with Beige Longsleeve Shirt,,Black,Medium Curly Bob,White
35053,Black Leather Briefcase,Stud Earring,,,Ring One Blue,Black Leather Shoes with Laces,Gray Slacks,Blue Longsleeve,,Dark Brown,Low Ponytail,White
35054,Lunchbox,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,Thin,Black,Short Pixie,White
35055,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Light Gray Longsleeve,,Light Brown,Long Messy,White
35056,,,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Olive Oxford with Buttons,Goatee,Dark Brown,Buzz Cut,White
35057,Lunchbox,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Olive Oxford with Pocket,,Light Grey,Short Afro Fade,White
35058,,,Silver Aviators,,,Brown Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Buttons,Mustache,Black,Short Updo,White
