,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
30001,Lunchbox,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Dark Gray Longsleeve,,Light Grey,Updo Bun,White
30002,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Navy Blazer with Striped Shirt and Navy Tie,Stubble,Dark Brown,Buzz Cut,White
30003,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Tan Blazer with Off-White Shirt and No Tie,,Dark Brown,Short Afro Fade,White
30004,,,,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Buzz Cut,White
30005,,,Rosegold Aviators,,,Black Leather Shoes with Laces,Gray Slacks,Navy Oxford with Pocket,,Black,Updo Bun,White
30006,,,Black Books,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Blue Longsleeve,,Light Grey,Straight Sideswept Fringe,White
30007,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Gray Blazer with Black Shirt and No Tie,,Black,Short Coil,White
30008,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Khaki Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,,White
30009,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Khaki,Navy Blazer with Striped Shirt and No Tie,,Black,Long Messy,White
30010,Black Smartphone,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Navy Oxford with Buttons,,Blonde,Low Ponytail,White
30011,Lunchbox,,Silver Aviators,,,Brown Leather Shoes with Laces,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Short Pixie,White
30012,Black Smartphone,Stud Earring,,,,Brown Leather Shoes with Laces,Khaki Slacks,Light Gray Longsleeve,Stubble,Dark Brown,Short Pixie,White
30013,Black Smartphone,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Light Gray Cardigan with Tan Oxford Shirt,Stubble,Light Grey,Medium Curly Bob,White
30014,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Gray Oxford with Buttons,,Dark Brown,Straight Sideswept Fringe,White
30015,,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,Thin,Black,Short Afro Fade,White
30016,Lunchbox,,,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Dark Gray Cardigan with Beige Oxford and No Tie,,Black,Low Ponytail,White
30017,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Buttons,,Black,Straight Sideswept Fringe,White
30018,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Short Afro Fade,White
30019,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Short Coil,White
30020,,,,,Two Rings,Brown Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Medium Curly Bob,White
30021,Brown Leather Briefcase,,Black Books,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,Mustache,Light Brown,Long Messy,White
30022,,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Navy Oxford with Tie and Pocket,,Black,Short Messy,White
30023,Black Smartphone,,,,,White Canvas Sneaker with White Sole,,Gray Jumpsuit,,Dark Brown,Buzz Cut,White
30024,,,Black Books,,Two Rings,White Leather Sneaker with Grey Sole,Charcoal Slacks,Blue Longsleeve,,Light Grey,Buzz Cut,White
30025,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Tie and Pocket,,Black,Straight Sideswept Fringe,White
30026,Black Smartphone,,,,Two Rings,Tan Suede Workboot with Tan Sole,Khaki Slacks,Navy Oxford with Buttons,,Light Brown,Short Afro Fade,White
30027,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Red Longsleeve,,Auburn,Short Updo,White
30028,Black Smartphone,,,,Two Rings,White Leather Sneaker with Grey Sole,Khaki Slacks,Khaki Oxford with Buttons,,Dark Brown,Straight Sideswept Fringe,White
30029,,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Brown Cardigan with Beige Longsleeve Shirt,,Light Brown,Short Updo,White
30030,,,,,Two Rings,Black Leather Shoes with Laces,Khaki,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Medium Curly Bob,White
30031,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Olive Oxford with Pocket,,Black,Short Pixie,White
30032,Black Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Short Pixie,White
30033,Lunchbox,,Black Books,Navy Blue Worker's Cap,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Khaki Oxford with Tie,,Black,Buzz Cut,White
30034,,,,,,Brown Leather Shoes with Laces,Gray Slacks,Blue Longsleeve,,Black,Short Afro Fade,White
30035,,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Cardigan with Off-White Longsleeve Shirt,,Light Brown,Medium Curly Bob,White
30036,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Short Coil,White
30037,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Navy Oxford with Buttons,,Black,,White
30038,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Light Grey,Updo Bun,White
30039,Lunchbox,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,,Blonde,Short Coil,White
30040,,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Long Afro,White
30041,,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Beard,Light Brown,,White
30042,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,,Denim Jumpsuit,,Black,Short Messy,White
30043,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Tan Oxford Shirt,,Black,Long Messy,White
30044,Blue Lunchbox,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Black,Short Updo,White
30045,Lunchbox,,,Navy Blue Worker's Cap,,White Leather Sneaker with Grey Sole,Navy Slacks,Dark Gray Longsleeve,,Blonde,,White
30046,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Dark Gray Longsleeve,Stubble,Black,Low Ponytail,White
30047,Lunchbox,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Tan Blazer with Off-White Shirt and Tan Tie,Beard,Light Brown,Straight Sideswept Fringe,White
30048,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Oxford with Tie and Pocket,Stubble,Blonde,Short Pixie,White
30049,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Red Longsleeve,,Light Brown,Medium Curly Bob,White
30050,Black Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Brown Cardigan with Tan Oxford Shirt,,Light Brown,Buzz Cut,White
30051,,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Blonde,Long Straight Bangs,White
30052,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Navy Oxford with Buttons,,Black,Long Messy,White
30053,,Stud Earring,,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Red Longsleeve,,Black,Low Ponytail,White
30054,,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Low Ponytail,White
30055,Black Smartphone,,Silver Aviators,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Gray Blazer with Black Shirt and No Tie,,Light Brown,,White
30056,,,,,Two Rings,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Oxford with Tie,Thin,Light Grey,Long Straight Bangs,White
30057,Brown Leather Briefcase,,Black Books,,Two Rings,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Oxford with Buttons,Thin,Black,Short Afro Fade,White
30058,Blue Lunchbox,,Silver Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Short Pixie,White
30059,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Messy,White
30060,,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Dark Gray Longsleeve,,Light Brown,Medium Curly Bob,White
30061,Black Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Long Afro,White
30062,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Navy Oxford with Pocket,,Black,Short Coil,White
30063,Blue Lunchbox,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Blue Longsleeve,,Dark Brown,Medium Curly Bob,White
30064,,Stud Earring,Black Books,,Two Rings,Redbrown Leather Workboot with Brown Sole,Light-Wash Denim,Dark Gray Longsleeve,Goatee,Light Grey,Short Pixie,White
30065,Black Smartphone,,Rosegold Aviators,,Two Rings,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Light Gray Longsleeve,Beard,Black,Straight Sideswept Fringe,White
