,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
10001,,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Short Coil,White
10002,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Low Ponytail,White
10003,Lunchbox,,,,Two Rings,White Canvas Sneaker with White Sole,Khaki Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Long Messy,White
10004,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Khaki Slacks,Olive Oxford with Pocket,,Dark Brown,Low Ponytail,White
10005,,Stud Earring,,Tan Worker's Cap,Two Rings,Black Leather Shoes with Laces,Khaki Slacks,Dark Gray Cardigan with Beige Longsleeve Shirt,,Black,Buzz Cut,White
10006,,,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Navy Slacks,Gray Oxford with Buttons,Thin,Auburn,Buzz Cut,White
10007,,Stud Earring,,,Two Rings,Black Leather Shoes with Laces,Charcoal Slacks,Tan Blazer with Off-White Shirt and Tan Tie,Thin,Auburn,Low Ponytail,White
10008,,,Black Books,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Light Gray Cardigan with Tan Longsleeve Shirt,,Light Brown,Short Messy,White
10009,Lunchbox,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,Thin,Light Brown,,White
10010,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Buttons,,Blonde,Updo Bun,White
10011,Black Smartphone,Stud Earring,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Gray Oxford with Buttons,Goatee,Dark Brown,Short Afro Fade,White
10012,Black Leather Briefcase,Stud Earring,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Tan Blazer with Off-White Shirt and Tan Tie,,Blonde,Short Messy,White
10013,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Goatee,Light Grey,Low Ponytail,White
10014,Light Blue Smartphone,,,,,Brown Leather Shoes with Laces,Navy Slacks,Olive Oxford with Tie,Thin,Black,Long Messy,White
10015,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Blue Denim,Light Gray Cardigan with Tan Longsleeve Shirt,,Light Brown,Short Updo,White
10016,Black Smartphone,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Light-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,,Black,Short Afro Fade,White
10017,Black Smartphone,,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Charcoal Slacks,Olive Oxford with Buttons,,Blonde,Buzz Cut,White
10018,Lunchbox,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Blonde,Straight Sideswept Fringe,White
10019,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Pixie,White
10020,Brown Leather Briefcase,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Olve Cardigan with Tan Longsleeve Shirt,,Black,Long Messy,White
10021,Brown Leather Briefcase,,,,Two Rings,Black Leather Shoes with Laces,,Navy Jumpsuit,,Light Grey,Short Updo,White
10022,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Navy Oxford with Pocket,,Light Grey,Short Updo,White
10023,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,,Light Grey,Short Pixie,White
10024,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Blue Longsleeve,,Dark Brown,Short Pixie,White
10025,Lunchbox,,Black Books,,Two Rings,Brown Leather Shoes with Laces,Dark-Wash Denim,Khaki Oxford with Buttons,,Black,Low Ponytail,White
10026,Black Smartphone,,Black Books,,Ring One Blue,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Light Gray Longsleeve,,Black,Straight Sideswept Fringe,White
10027,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Oxford with Buttons,,Black,Straight Sideswept Fringe,White
10028,,Stud Earring,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Blue Longsleeve,Beard,Light Grey,Short Afro Fade,White
10029,Black Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Auburn,Low Ponytail,White
