,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
25001,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Afro Fade,White
25002,Light Blue Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Medium Curly Bob,White
25003,Black Smartphone,Stud Earring,Black Books,,,Brown Leather Shoes with Laces,Khaki,Navy Oxford with Tie,,Light Brown,Low Ponytail,White
25004,Black Leather Briefcase,,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Gray Oxford with Pocket,,Light Grey,,White
25005,,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,Mustache,Blonde,Short Afro Fade,White
25006,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Dark Gray Cardigan with Tan Longsleeve Shirt,,Light Grey,Low Ponytail,White
25007,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Light Gray Longsleeve,,Black,Buzz Cut,White
25008,,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Khaki Oxford with Tie and Pocket,,Light Grey,,White
25009,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Blue Longsleeve,Stubble,Blonde,Short Afro Fade,White
25010,Lunchbox,,,,Two Rings,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Short Pixie,White
25011,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Olive Oxford with Buttons,,Auburn,Straight Sideswept Fringe,White
25012,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Oxford with Tie and Pocket,Goatee,Light Brown,Short Coil,White
25013,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Short Messy,White
25014,Lunchbox,,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Khaki Oxford with Buttons,Beard,Dark Brown,,White
25015,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Oxford with Tie,,Light Grey,Short Pixie,White
25016,,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Pocket,,Dark Brown,Low Ponytail,White
25017,,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Navy Oxford with Pocket,,Black,Short Afro Fade,White
25018,,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Light Brown,Short Pixie,White
25019,Lunchbox,,Black Books,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Gray Slacks,Olive Oxford with Pocket,,Light Brown,Buzz Cut,White
25020,Black Smartphone,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Charcoal Slacks,Red Longsleeve,,Light Brown,,White
25021,,,Black Books,,,White Canvas Sneaker with White Sole,Gray Slacks,Khaki Oxford with Pocket,,Dark Brown,Short Pixie,White
25022,,,,,,Brown Leather Shoes with Laces,Blue Denim,Khaki Oxford with Tie,Beard,Auburn,Long Messy,White
25023,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Navy Oxford with Buttons,,Light Brown,Long Messy,White
25024,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Light Gray Longsleeve,,Blonde,Straight Sideswept Fringe,White
25025,,,Rosegold Aviators,,,Black Leather Shoes with Laces,Khaki Slacks,Navy Oxford with Tie and Pocket,,Black,,White
25026,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,Goatee,Light Grey,Short Coil,White
25027,,,Silver Aviators,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and Gray Tie,,Auburn,Buzz Cut,White
25028,,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Light Brown,Straight Sideswept Fringe,White
25029,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,Thin,Black,Long Messy,White
25030,,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Olive Oxford with Buttons,Thin,Light Brown,Medium Curly Bob,White
25031,,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Light Brown,Short Messy,White
25032,,,Black Books,,Two Rings,White Canvas Sneaker with White Sole,Dark-Wash Denim,Light Gray Cardigan with Off-White Longsleeve Shirt,Goatee,Auburn,Updo Bun,White
25033,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Light Gray Cardigan with Tan Longsleeve Shirt,,Black,Short Coil,White
25034,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Light Grey,Short Messy,White
25035,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Short Updo,White
25036,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,Stubble,Light Grey,Short Coil,White
25037,,,,,,Black Leather Shoes with Laces,Gray Slacks,Navy Oxford with Buttons,,Blonde,Straight Sideswept Fringe,White
25038,Lunchbox,Stud Earring,Black Books,,,Black Suede Chelseas with Brown Sole,Blue Denim,Red Longsleeve,Beard,Dark Brown,Straight Sideswept Fringe,White
25039,,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Black,Short Coil,White
25040,Black Smartphone,,,,,Brown Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Long Messy,White
25041,,Stud Earring,,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,,Auburn,,White
25042,Black Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Medium Curly Bob,White
25043,,,Silver Aviators,,Two Rings,Black Leather Shoes with Laces,Gray Slacks,Dark Gray Longsleeve,,Light Brown,Straight Sideswept Fringe,White
25044,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Oxford with Pocket,,Light Brown,Straight Sideswept Fringe,White
25045,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Grey,Short Afro Fade,White
25046,,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,Stubble,Dark Brown,Short Coil,White
25047,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Auburn,Short Coil,White
25048,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Tie,,Black,Short Messy,White
25049,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Blue Longsleeve,,Black,Medium Curly Bob,White
25050,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,Stubble,Black,Short Afro Fade,White
25051,Black Leather Briefcase,,Black Books,,,Black Leather Shoes with Laces,Navy Slacks,Light Gray Longsleeve,,Black,Short Afro Fade,White
