,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
70001,,,,,,Black Leather Shoes with Laces,Khaki Slacks,Blue Longsleeve,,Black,Medium Curly Bob,White
70002,,Stud Earring,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Short Pixie,White
70003,Black Smartphone,,Silver Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Gray Oxford with Tie,,Light Brown,Long Messy,White
70004,Brown Leather Briefcase,,Black Books,Purple Worker's Cap,,White Leather Sneaker with Grey Sole,Navy Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Grey,Buzz Cut,White
70005,,,,,,Tan Suede Workboot with Tan Sole,,Gray Jumpsuit,Goatee,Black,Straight Sideswept Fringe,White
70006,Brown Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Gray Oxford with Buttons,,Light Brown,Low Ponytail,White
70007,Black Leather Briefcase,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Dark Brown,Long Messy,White
70008,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Straight Sideswept Fringe,White
70009,Brown Leather Briefcase,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Brown Cardigan with Tan Oxford Shirt,Thin,Black,Short Afro Fade,White
70010,Black Leather Briefcase,,Black Books,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Dark Gray Cardigan with Beige Longsleeve Shirt,,Dark Brown,Medium Curly Bob,White
70011,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Oxford with Tie and Pocket,,Dark Brown,Straight Sideswept Fringe,White
70012,Brown Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Olive Oxford with Buttons,Stubble,Black,Short Afro Fade,White
70013,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Brown Cardigan with Beigse Oxford Shirt,,Black,Long Messy,White
70014,,Stud Earring,Black Books,,Two Rings,Black Leather Shoes with Laces,Blue Denim,Blue Longsleeve,,Dark Brown,Short Messy,White
70015,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,Stubble,Black,Buzz Cut,White
70016,,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Thin,Auburn,Short Afro Fade,White
70017,,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Light Brown,,White
70018,Black Smartphone,,,,Two Rings,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Black,Long Afro,White
70019,Lunchbox,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Light Gray Cardigan with Light Gray Oxford Shirt,,Light Brown,Medium Curly Bob,White
70020,Black Smartphone,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Brown Cardigan with Beige Longsleeve Shirt,,Light Brown,Updo Bun,White
70021,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Khaki,Olive Oxford with Tie and Pocket,,Light Grey,Short Coil,White
70022,Lunchbox,,Rosegold Aviators,,,Black Leather Shoes with Laces,Light-Wash Denim,Dark Gray Longsleeve,,Black,Straight Sideswept Fringe,White
70023,,,,,,Brown Leather Shoes with Laces,Khaki,Tan Blazer with Off-White Shirt and No Tie,,Black,Short Coil,White
70024,,,Black Books,Tan Worker's Cap,,Black Leather Shoes with Laces,Navy Slacks,Gray Blazer with Black Shirt and Gray Tie,,Blonde,,White
70025,Black Smartphone,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Medium Curly Bob,White
