,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
80001,Black Smartphone,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Khaki,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Medium Curly Bob,White
80002,Black Smartphone,,,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Blue Longsleeve,,Dark Brown,Short Afro Fade,White
80003,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Blue Longsleeve,,Light Brown,Updo Bun,White
80004,Black Smartphone,,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Gray Slacks,Olive Oxford with Tie and Pocket,,Auburn,,White
80005,Lunchbox,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,,Light Grey,Short Coil,White
80006,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,Stubble,Auburn,Short Coil,White
80007,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Olive Oxford with Tie,,Dark Brown,Short Pixie,White
80008,Brown Leather Briefcase,,,,Two Rings,Brown Leather Shoes with Laces,Blue Denim,Dark Gray Longsleeve,,Black,Long Messy,White
80009,Black Leather Briefcase,,Black Books,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Khaki Slacks,Navy Oxford with Buttons,,Light Brown,Buzz Cut,White
80010,,,Silver Aviators,,,Brown Leather Shoes with Laces,Navy Slacks,Gray Oxford with Tie,,Auburn,,White
80011,,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Light Gray Longsleeve,,Dark Brown,Long Messy,White
80012,Lunchbox,,,,,Brown Leather Shoes with Laces,Blue Denim,Navy Oxford with Tie,Goatee,Light Brown,Straight Sideswept Fringe,White
80013,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Khaki,Olive Oxford with Tie,,Light Brown,Short Updo,White
80014,Black Smartphone,,Rosegold Aviators,,Two Rings,Tan Suede Workboot with Tan Sole,Khaki Slacks,Khaki Oxford with Pocket,,Dark Brown,Short Afro Fade,White
80015,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Dark Gray Cardigan with Tan Oxford Shirt,Beard,Black,Long Messy,White
80016,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Gray Oxford with Pocket,,Light Brown,Low Ponytail,White
80017,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Charcoal Slacks,Gray Oxford with Buttons,,Dark Brown,Short Coil,White
80018,Brown Leather Briefcase,,Black Books,,Two Rings,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Light Gray Longsleeve,,Light Brown,Short Afro Fade,White
80019,Brown Leather Briefcase,,Black Books,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,,Light Grey,Straight Sideswept Fringe,White
80020,Light Blue Smartphone,Stud Earring,,,Two Rings,Brown Leather Shoes with Laces,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,,Blonde,Low Ponytail,White
80021,Black Smartphone,,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Blonde,Medium Curly Bob,White
