,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
65001,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Khaki Oxford with Tie and Pocket,Stubble,Light Brown,Short Messy,White
65002,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Light Gray Longsleeve,,Light Grey,Straight Sideswept Fringe,White
65003,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Light Gray Longsleeve,Goatee,Light Brown,Short Afro Fade,White
65004,Brown Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Red Longsleeve,Goatee,Light Grey,Short Messy,White
65005,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Light Gray Longsleeve,Mustache,Blonde,Medium Curly Bob,White
65006,Black Smartphone,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Black,Low Ponytail,White
65007,,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Olive Oxford with Buttons,,Black,Straight Sideswept Fringe,White
65008,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Blue Denim,Dark Gray Longsleeve,Stubble,Blonde,Short Afro Fade,White
65009,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Cardigan with Beige Oxford Shirt,,Light Grey,Short Updo,White
65010,Brown Leather Briefcase,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Blue Denim,Light Gray Longsleeve,Stubble,Light Grey,,White
65011,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Gray Slacks,Navy Oxford with Tie,,Light Grey,Short Afro Fade,White
65012,,,Black Books,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Khaki Oxford with Pocket,Thin,Light Grey,Straight Sideswept Fringe,White
65013,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Light Gray Longsleeve,,Light Brown,Long Messy,White
65014,Brown Leather Briefcase,Stud Earring,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Khaki Oxford with Buttons,,Blonde,Short Pixie,White
65015,Lunchbox,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Light Gray Longsleeve,,Dark Brown,Updo Bun,White
65016,Black Smartphone,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Khaki Oxford with Buttons,,Blonde,Straight Sideswept Fringe,White
65017,Black Smartphone,,Rosegold Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,,Dark Brown,Short Coil,White
65018,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Light Gray Longsleeve,,Light Brown,Updo Bun,White
65019,,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Dark Gray Longsleeve,,Black,Short Updo,White
65020,,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Olive Oxford with Buttons,,Black,Short Pixie,White
65021,,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,Thin,Dark Brown,Short Coil,White
65022,,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,Stubble,Light Grey,Short Afro Fade,White
65023,,,Rosegold Aviators,,Ring One Blue,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Long Messy,White
65024,Lunchbox,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Short Afro Fade,White
65025,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Dark Gray Longsleeve,,Dark Brown,Long Straight Bangs,White
65026,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Dark Brown,Short Updo,White
65027,Black Smartphone,,,,,Black Leather Shoes with Laces,Gray Slacks,Gray Oxford with Buttons,,Dark Brown,Short Messy,White
65028,,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Blue Longsleeve,Thin,Light Brown,Buzz Cut,White
65029,Black Smartphone,Stud Earring,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Blue Denim,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Short Messy,White
65030,Black Smartphone,,Black Books,Tan Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Light Grey,,White
