,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
1,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Gray Slacks,Blue Longsleeve,,Light Brown,,White
2,,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Long Afro,White
3,,,Black Books,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Olive Oxford with Buttons,,Black,Long Messy,White
4,Black Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Blue Denim,Khaki Oxford with Buttons,,Light Brown,Short Messy,White
5,Lunchbox,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,Mustache,Light Brown,Straight Sideswept Fringe,White
6,,Stud Earring,Black Books,,,White Leather Sneaker with Grey Sole,,Navy Jumpsuit,,Black,Buzz Cut,White
7,Lunchbox,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Brown Cardigan with Tan Oxford Shirt,,Light Brown,Low Ponytail,White
8,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Tan Blazer with Off-White Shirt and No Tie,,Blonde,Long Messy,White
9,,,Black Books,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Gray Oxford with Tie and Pocket,Stubble,Light Brown,Short Updo,White
10,Black Smartphone,,Rosegold Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Light Gray Longsleeve,,Dark Brown,Medium Curly Bob,White
11,Brown Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Navy Slacks,Gray Oxford with Buttons,,Black,Short Afro Fade,White
12,Lunchbox,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Olive Oxford with Tie,Stubble,Dark Brown,Short Updo,White
13,,,,,Two Rings,Brown Leather Shoes with Laces,Navy Slacks,Blue Longsleeve,Stubble,Dark Brown,Short Afro Fade,White
14,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Red Longsleeve,,Dark Brown,Low Ponytail,White
15,,,Black Books,,,White Canvas Sneaker with White Sole,Gray Slacks,Gray Oxford with Tie,,Black,Short Afro Fade,White
16,,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Olive Oxford with Pocket,,Dark Brown,Short Pixie,White
17,Brown Leather Briefcase,Stud Earring,,,Two Rings,Black Leather Shoes with Laces,Dark-Wash Denim,Red Longsleeve,,Light Brown,Short Coil,White
18,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Olive Cardigan with Tan Oxford Shirt,,Auburn,Short Coil,White
19,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Light Gray Longsleeve,Goatee,Blonde,Short Messy,White
20,Brown Leather Briefcase,Stud Earring,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Straight Sideswept Fringe,White
21,Lunchbox,Stud Earring,Black Books,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Light Gray Longsleeve,Thin,Black,Buzz Cut,White
22,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Light Gray Longsleeve,Stubble,Light Brown,Low Ponytail,White
23,Black Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Dark Gray Cardigan with Tan Oxford Shirt,Mustache,Light Grey,Long Messy,White
24,Black Leather Briefcase,,,Purple Worker's Cap,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Blue Longsleeve,,Light Grey,Buzz Cut,White
25,Lunchbox,,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,Stubble,Black,Short Coil,White
26,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Blue Longsleeve,Stubble,Black,,White
27,,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Khaki Oxford with Buttons,Stubble,Light Brown,Long Messy,White
28,Brown Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Gray Slacks,Dark Gray Cardigan with Beige Longsleeve Shirt,Thin,Light Brown,Short Messy,White
29,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Blue Longsleeve,,Light Brown,Medium Curly Bob,White
30,Brown Leather Briefcase,Stud Earring,,,,Black Suede Chelseas with Brown Sole,,Gray Jumpsuit,,Black,Short Coil,White
31,,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Oxford with Pocket,,Black,Medium Curly Bob,White
32,,Stud Earring,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Olive Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Straight Sideswept Fringe,White
33,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Navy Oxford with Tie and Pocket,,Light Grey,Updo Bun,White
34,Black Smartphone,,,,,Brown Leather Shoes with Laces,Blue Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,Thin,Black,Updo Bun,White
35,,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Light Gray Longsleeve,,Black,Straight Sideswept Fringe,White
36,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Navy Slacks,Light Gray Longsleeve,,Black,Straight Sideswept Fringe,White
37,,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Dark Gray Cardigan with Beige Oxford and No Tie,,Blonde,Updo Bun,White
38,,,,,Two Rings,Black Suede Chelseas with Brown Sole,Blue Denim,Navy Blazer with Striped Shirt and Navy Tie,,Dark Brown,Updo Bun,White
39,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Gray Slacks,Dark Gray Cardigan with Tan Oxford Shirt,,Light Grey,Low Ponytail,White
40,Black Smartphone,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Light Gray Cardigan with Off-White Longsleeve Shirt,,Black,Short Updo,White
41,,,,,,Tan Suede Workboot with Tan Sole,Khaki,Olive Oxford with Tie and Pocket,,Light Grey,Short Afro Fade,White
42,,,Black Books,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Tie and Pocket,,Dark Brown,Short Messy,White
43,Black Smartphone,,,,,Brown Leather Shoes with Laces,,Gray Jumpsuit,,Dark Brown,Short Pixie,White
44,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Khaki Oxford with Buttons,Stubble,Blonde,Short Afro Fade,White
45,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Navy Oxford with Buttons,,Black,Straight Sideswept Fringe,White
46,,,,,,Brown Leather Shoes with Laces,Khaki,Olive Oxford with Tie and Pocket,,Blonde,Straight Sideswept Fringe,White
47,,,,,Two Rings,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Buttons,,Light Grey,Long Messy,White
48,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Dark Gray Longsleeve,,Auburn,Straight Sideswept Fringe,White
49,Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Gray Slacks,Navy Oxford with Pocket,,Black,Short Coil,White
