,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
60001,Lunchbox,Stud Earring,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Auburn,Low Ponytail,White
60002,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Oxford with Pocket,,Dark Brown,Medium Curly Bob,White
60003,,,Black Books,Purple Worker's Cap,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Light Gray Cardigan with Light Gray Oxford Shirt,,Blonde,,White
60004,,,,,,Brown Leather Shoes with Laces,Navy Slacks,Red Longsleeve,,Light Brown,Medium Curly Bob,White
60005,,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Khaki,Gray Blazer with Black Shirt and Gray Tie,Stubble,Dark Brown,Short Updo,White
60006,,Stud Earring,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Navy Oxford with Pocket,,Black,Updo Bun,White
60007,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Oxford with Buttons,,Black,Short Afro Fade,White
60008,Black Leather Briefcase,,,Purple Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Olive Oxford with Pocket,,Light Brown,,White
60009,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Low Ponytail,White
60010,Black Leather Briefcase,,Black Books,Navy Blue Worker's Cap,Two Rings,White Leather Sneaker with Grey Sole,Navy Slacks,Khaki Oxford with Buttons,,Black,,White
60011,,,,,,Brown Leather Shoes with Laces,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Blonde,Updo Bun,White
60012,Black Smartphone,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Medium Curly Bob,White
60013,,,Black Books,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Updo,White
60014,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Khaki,Red Longsleeve,,Blonde,Short Updo,White
60015,,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Dark Gray Cardigan with Light Gray Oxford Shirt,,Black,Short Updo,White
60016,Black Leather Briefcase,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Blue Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Auburn,Buzz Cut,White
60017,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Olive Oxford with Buttons,Mustache,Light Brown,Long Straight Bangs,White
60018,Blue Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Khaki,Navy Oxford with Pocket,Stubble,Blonde,Updo Bun,White
60019,Black Smartphone,,,Navy Blue Worker's Cap,,Tan Suede Workboot with Tan Sole,,Khaki Jumpsuit,,Light Brown,,White
60020,Brown Leather Briefcase,,Black Books,,Two Rings,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Dark Gray Longsleeve,,Dark Brown,Short Coil,White
60021,,,,,Two Rings,White Canvas Sneaker with White Sole,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Black,Updo Bun,White
60022,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki,Olive Oxford with Buttons,,Light Grey,Short Afro Fade,White
60023,Black Smartphone,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Dark Gray Longsleeve,,Light Grey,Low Ponytail,White
60024,,,,,Two Rings,White Canvas Sneaker with White Sole,,Navy Jumpsuit,,Light Brown,Long Messy,White
60025,Brown Leather Briefcase,,Rosegold Aviators,,,Brown Leather Shoes with Laces,Khaki Slacks,Light Gray Cardigan with Tan Longsleeve Shirt,Mustache,Black,Short Afro Fade,White
60026,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Dark Gray Longsleeve,,Black,Short Pixie,White
60027,,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Gray Blazer with Black Shirt and Gray Tie,,Black,Short Afro Fade,White
60028,Light Blue Smartphone,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,,Blonde,Short Updo,White
60029,Brown Leather Briefcase,Stud Earring,,,,Brown Leather Shoes with Laces,,Khaki Jumpsuit,,Dark Brown,Long Afro,White
60030,Black Smartphone,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Dark Brown,Long Straight Bangs,White
60031,Black Leather Briefcase,,Silver Aviators,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Dark Brown,,White
60032,,,Black Books,,,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Tie and Pocket,,Auburn,Medium Curly Bob,White
60033,,,,Purple Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Gray Blazer with Black Shirt and No Tie,,Light Brown,,White
60034,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Olive Oxford with Tie,Beard,Blonde,Short Messy,White
60035,Lunchbox,,,,Two Rings,Brown Leather Shoes with Laces,,Gray Jumpsuit,,Blonde,Short Coil,White
60036,,,Silver Aviators,,Two Rings,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Long Messy,White
60037,Black Leather Briefcase,,Black Books,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,,Light Grey,Short Afro Fade,White
60038,Brown Leather Briefcase,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Navy Slacks,Khaki Oxford with Tie and Pocket,Thin,Dark Brown,,White
60039,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Gray Oxford with Tie,,Light Brown,Short Coil,White
60040,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Light Gray Cardigan with Beige Oxford Shirt,,Light Brown,Short Updo,White
60041,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Blonde,Short Messy,White
60042,Brown Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Auburn,Low Ponytail,White
60043,,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Olive Oxford with Buttons,Stubble,Black,Low Ponytail,White
60044,,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Light Gray Longsleeve,,Light Brown,Short Coil,White
60045,Lunchbox,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Blue Longsleeve,Mustache,Light Brown,Medium Curly Bob,White
60046,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Pocket,,Black,Short Coil,White
60047,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Light Grey,Buzz Cut,White
60048,Brown Leather Briefcase,,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Medium Curly Bob,White
60049,Lunchbox,Stud Earring,,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Short Pixie,White
60050,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Gray Blazer with Black Shirt and No Tie,,Black,Short Afro Fade,White
60051,,,,Tan Worker's Cap,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Olive Oxford with Buttons,Stubble,Blonde,,White
60052,Lunchbox,,Black Books,,,Redbrown Leather Workboot with Brown Sole,,Khaki Jumpsuit,Mustache,Light Brown,Buzz Cut,White
60053,Brown Leather Briefcase,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Light Gray Longsleeve,,Black,Short Messy,White
60054,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Olive Cardigan with Light Gray Longsleeve Shirt,,Black,Short Messy,White
60055,Brown Leather Briefcase,,,,Two Rings,Black Leather Shoes with Laces,Charcoal Slacks,Khaki Oxford with Tie and Pocket,,Black,Low Ponytail,White
60056,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Tie,,Light Grey,Short Messy,White
60057,Black Smartphone,,Silver Aviators,,,White Canvas Sneaker with White Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Medium Curly Bob,White
60058,Brown Leather Briefcase,,,,Two Rings,White Leather Sneaker with Grey Sole,Khaki Slacks,Navy Oxford with Pocket,,Dark Brown,Short Afro Fade,White
60059,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Olive Oxford with Pocket,Mustache,Dark Brown,Straight Sideswept Fringe,White
60060,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Blue Denim,Blue Longsleeve,Goatee,Black,Long Straight Bangs,White
60061,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Pocket,,Black,Updo Bun,White
60062,Brown Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Dark Gray Cardigan with Tan Longsleeve Shirt,Stubble,Blonde,Short Pixie,White
60063,Black Smartphone,,Black Books,,,White Leather Sneaker with Grey Sole,Khaki,Blue Longsleeve,,Black,,White
60064,,,,Navy Blue Worker's Cap,,White Leather Sneaker with Grey Sole,Khaki,Navy Blazer with Striped Shirt and Navy Tie,,Black,Buzz Cut,White
60065,Black Smartphone,,,Purple Worker's Cap,,White Canvas Sneaker with White Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Grey,,White
60066,Lunchbox,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Olive Cardigan with Off-White Longsleeve Shirt,,Black,Short Messy,White
60067,Lunchbox,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Light Grey,Short Messy,White
60068,Black Smartphone,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Blue Denim,Olive Oxford with Tie and Pocket,Mustache,Light Grey,Buzz Cut,White
60069,Lunchbox,,Black Books,,,White Canvas Sneaker with White Sole,Khaki Slacks,Khaki Oxford with Tie,Beard,Black,Straight Sideswept Fringe,White
60070,Black Smartphone,,Silver Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Black,Short Pixie,White
60071,,,Black Books,Navy Blue Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Blue Denim,Olive Oxford with Buttons,Goatee,Light Brown,,White
60072,,,Silver Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Gray Slacks,Navy Oxford with Buttons,Thin,Light Brown,Straight Sideswept Fringe,White
60073,Black Smartphone,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Dark Gray Cardigan with Tan Longsleeve Shirt,,Blonde,Short Messy,White
60074,Lunchbox,,,,,White Leather Sneaker with Grey Sole,,Khaki Jumpsuit,,Blonde,Short Pixie,White
60075,,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Light Gray Cardigan with Beige Longsleeve Shirt,,Dark Brown,Long Messy,White
60076,Lunchbox,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,,Black,Medium Curly Bob,White
60077,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Straight Sideswept Fringe,White
60078,Black Leather Briefcase,,,Purple Worker's Cap,,White Leather Sneaker with Grey Sole,Navy Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Dark Brown,,White
60079,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Long Straight Bangs,White
60080,,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Beige Oxford and No Tie,,Black,Short Messy,White
60081,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,,Navy Jumpsuit,,Black,Medium Curly Bob,White
60082,,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Light Gray Cardigan with Light Gray Longsleeve Shirt,Stubble,Black,Updo Bun,White
60083,Brown Leather Briefcase,,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Khaki Slacks,Dark Gray Longsleeve,,Dark Brown,Buzz Cut,White
