,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
45001,Brown Leather Briefcase,,Silver Aviators,,Two Rings,Brown Leather Shoes with Laces,Light-Wash Denim,Gray Oxford with Buttons,,Dark Brown,Short Coil,White
45002,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,,Denim Jumpsuit,,Dark Brown,Short Coil,White
45003,,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Olive Oxford with Tie,,Blonde,Medium Curly Bob,White
45004,Black Smartphone,,,,Two Rings,Black Leather Shoes with Laces,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,Mustache,Blonde,Short Coil,White
45005,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Buttons,,Dark Brown,Short Pixie,White
45006,Blue Lunchbox,,Black Books,,Two Rings,Black Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Brown,Short Messy,White
45007,Black Smartphone,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Oxford with Buttons,,Black,Short Updo,White
45008,Lunchbox,,,,Two Rings,Black Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and No Tie,,Light Brown,,White
45009,,,Silver Aviators,,,Brown Leather Shoes with Laces,Light-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Short Messy,White
45010,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Gray Oxford with Tie and Pocket,,Black,Short Pixie,White
45011,Black Smartphone,,Black Books,,Ring One Blue,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Tan Blazer with Off-White Shirt and Tan Tie,,Black,Low Ponytail,White
45012,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Black,Short Messy,White
45013,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Buttons,,Light Grey,Low Ponytail,White
45014,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Gray Blazer with Black Shirt and No Tie,,Light Brown,Short Messy,White
45015,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Tan Blazer with Off-White Shirt and Tan Tie,,Dark Brown,Long Afro,White
45016,Black Smartphone,Stud Earring,Silver Aviators,,Two Rings,Brown Leather Shoes with Laces,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Updo Bun,White
45017,,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Short Pixie,White
45018,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Light Gray Longsleeve,Goatee,Blonde,Short Messy,White
45019,Black Smartphone,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Cardigan with Light Gray Oxford Shirt,,Dark Brown,Updo Bun,White
45020,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,,Navy Jumpsuit,,Light Brown,Short Updo,White
45021,Black Smartphone,,,Navy Blue Worker's Cap,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Pocket,,Black,Buzz Cut,White
45022,Black Leather Briefcase,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Olive Oxford with Pocket,Goatee,Black,Medium Curly Bob,White
45023,Lunchbox,,,,,White Canvas Sneaker with White Sole,Blue Denim,Navy Oxford with Pocket,,Light Grey,Medium Curly Bob,White
45024,Brown Leather Briefcase,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Short Coil,White
45025,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Navy Oxford with Buttons,Stubble,Dark Brown,Short Updo,White
45026,,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Olive Oxford with Tie and Pocket,,Light Brown,Short Afro Fade,White
45027,,,,,Two Rings,White Canvas Sneaker with White Sole,Light-Wash Denim,Light Gray Cardigan with Beige Oxford Shirt,Mustache,Black,Long Afro,White
45028,,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Brown Cardigan with Tan Oxford Shirt,,Light Brown,Short Afro Fade,White
45029,Black Smartphone,Stud Earring,,Tan Worker's Cap,Two Rings,Brown Leather Shoes with Laces,Khaki Slacks,Dark Gray Longsleeve,,Black,,White
45030,Black Smartphone,Stud Earring,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,Stubble,Dark Brown,Low Ponytail,White
45031,,,Silver Aviators,,,White Canvas Sneaker with White Sole,Blue Denim,Brown Cardigan with Light Gray Longsleeve Shirt,,Black,Short Updo,White
45032,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Blonde,Low Ponytail,White
45033,Black Smartphone,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Oxford with Pocket,,Black,Straight Sideswept Fringe,White
45034,,,Silver Aviators,,,Brown Leather Shoes with Laces,Navy Slacks,Light Gray Longsleeve,Thin,Light Grey,Short Coil,White
45035,,,Silver Aviators,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Light Gray Longsleeve,,Light Brown,Long Straight Bangs,White
45036,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Khaki Slacks,Red Longsleeve,,Light Brown,Short Messy,White
45037,Brown Leather Briefcase,Stud Earring,,,Two Rings,White Canvas Sneaker with White Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Auburn,Short Afro Fade,White
