,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
75001,,,,,Ring One Blue,Brown Leather Shoes with Laces,Khaki,Navy Oxford with Buttons,,Dark Brown,Short Coil,White
75002,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Navy Slacks,Light Gray Longsleeve,,Dark Brown,Short Afro Fade,White
75003,,,Black Books,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,,White
75004,Blue Lunchbox,,Black Books,,,Black Suede Chelseas with Brown Sole,Navy Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Medium Curly Bob,White
75005,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Short Afro Fade,White
75006,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Blue Longsleeve,,Light Brown,Updo Bun,White
75007,,,,,Two Rings,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Pocket,,Light Brown,Short Afro Fade,White
75008,,,,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Light Grey,,White
75009,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Gray Slacks,Navy Oxford with Buttons,Goatee,Black,Straight Sideswept Fringe,White
75010,Black Smartphone,,,,Two Rings,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Oxford with Buttons,,Blonde,Short Coil,White
75011,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Dark Brown,Short Coil,White
75012,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Grey,Buzz Cut,White
75013,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Gray Oxford with Pocket,,Black,Medium Curly Bob,White
75014,Brown Leather Briefcase,,Black Books,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Tie,Goatee,Blonde,Straight Sideswept Fringe,White
75015,Black Smartphone,,Black Books,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Light Gray Cardigan with Tan Longsleeve Shirt,,Black,Low Ponytail,White
75016,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,Stubble,Dark Brown,Medium Curly Bob,White
