,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
40001,Black Smartphone,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Light Gray Longsleeve,,Black,Short Afro Fade,White
40002,,,Black Books,,,Brown Leather Shoes with Laces,Khaki Slacks,Blue Longsleeve,,Dark Brown,Long Messy,White
40003,,Stud Earring,Black Books,Purple Worker's Cap,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Pocket,,Blonde,Buzz Cut,White
40004,,,Black Books,,,White Canvas Sneaker with White Sole,,Gray Jumpsuit,Thin,Blonde,Short Coil,White
40005,,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Light Gray Longsleeve,,Dark Brown,Updo Bun,White
40006,Lunchbox,,,,Two Rings,Tan Suede Workboot with Tan Sole,Gray Slacks,Gray Oxford with Buttons,,Dark Brown,Straight Sideswept Fringe,White
40007,Brown Leather Briefcase,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Oxford with Buttons,Goatee,Dark Brown,Short Afro Fade,White
40008,,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Brown Cardigan with Beigse Oxford Shirt,,Light Grey,Long Messy,White
40009,,,Black Books,,Two Rings,White Canvas Sneaker with White Sole,Blue Denim,Navy Blazer with Striped Shirt and Navy Tie,,Light Brown,Short Messy,White
40010,,,,Purple Worker's Cap,,Black Leather Shoes with Laces,Gray Slacks,Light Gray Longsleeve,,Blonde,,White
40011,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Blue Denim,Red Longsleeve,Stubble,Light Brown,Short Messy,White
40012,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,Goatee,Light Brown,Short Afro Fade,White
40013,Lunchbox,Stud Earring,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Dark Gray Cardigan with Beige Oxford and No Tie,,Dark Brown,Long Afro,White
40014,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Auburn,Low Ponytail,White
40015,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Pocket,,Auburn,Straight Sideswept Fringe,White
40016,,,,,,Black Leather Shoes with Laces,Blue Denim,Brown Cardigan with Off-White Longsleeve Shirt,,Auburn,Short Coil,White
40017,Lunchbox,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Light Gray Longsleeve,,Black,Medium Curly Bob,White
40018,Black Smartphone,,Rosegold Aviators,,Two Rings,Black Leather Shoes with Laces,Khaki Slacks,Light Gray Longsleeve,,Dark Brown,,White
40019,Black Smartphone,,,Tan Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Khaki,Olive Oxford with Pocket,,Dark Brown,Buzz Cut,White
40020,,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Short Messy,White
40021,Lunchbox,,,,,Black Leather Shoes with Laces,Khaki,Olive Oxford with Buttons,,Black,Low Ponytail,White
40022,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Blue Longsleeve,,Dark Brown,Short Messy,White
40023,Lunchbox,,Rosegold Aviators,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Olive Oxford with Tie and Pocket,,Black,Short Pixie,White
40024,,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Gray Blazer with Black Shirt and No Tie,Stubble,Black,,White
40025,,,,,,Black Leather Shoes with Laces,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Short Pixie,White
40026,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Navy Oxford with Pocket,,Light Brown,Medium Curly Bob,White
40027,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Pocket,Mustache,Black,Low Ponytail,White
40028,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,,Navy Jumpsuit,,Light Brown,Short Pixie,White
40029,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,Thin,Dark Brown,Short Updo,White
40030,Lunchbox,,,,,White Canvas Sneaker with White Sole,Blue Denim,Olive Oxford with Tie,,Light Grey,Buzz Cut,White
40031,Lunchbox,,,,,Black Leather Shoes with Laces,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,Mustache,Dark Brown,Short Messy,White
40032,Black Leather Briefcase,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Dark Brown,Buzz Cut,White
40033,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,Mustache,Light Grey,Straight Sideswept Fringe,White
40034,,,Silver Aviators,,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Olive Oxford with Pocket,,Blonde,Low Ponytail,White
40035,,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Navy Oxford with Tie and Pocket,,Light Brown,Short Pixie,White
