,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
90001,,,Black Books,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Stubble,Dark Brown,Straight Sideswept Fringe,White
90002,Black Leather Briefcase,,Silver Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Khaki Oxford with Tie,,Dark Brown,Straight Sideswept Fringe,White
90003,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Light Gray Longsleeve,,Auburn,Medium Curly Bob,White
90004,,,,,,Black Leather Shoes with Laces,Gray Slacks,Olive Cardigan with Tan Oxford Shirt,,Light Brown,Short Coil,White
90005,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Blue Longsleeve,Stubble,Blonde,Straight Sideswept Fringe,White
90006,Brown Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Blue Denim,Navy Oxford with Pocket,,Light Brown,Short Coil,White
90007,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Red Longsleeve,Thin,Light Brown,Short Pixie,White
90008,Black Smartphone,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Olive Cardigan with Light Gray Longsleeve Shirt,,Blonde,Straight Sideswept Fringe,White
90009,Black Smartphone,,,,,Brown Leather Shoes with Laces,Gray Slacks,Gray Blazer with Black Shirt and No Tie,Stubble,Blonde,Medium Curly Bob,White
90010,Black Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,Goatee,Light Brown,Straight Sideswept Fringe,White
90011,,,,,Two Rings,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Olive Oxford with Buttons,Stubble,Black,Straight Sideswept Fringe,White
90012,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Olive Cardigan with Tan Oxford Shirt,,Black,Straight Sideswept Fringe,White
90013,Brown Leather Briefcase,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Gray Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,,White
90014,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Light Gray Longsleeve,,Light Grey,Short Coil,White
90015,Brown Leather Briefcase,Stud Earring,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Khaki Oxford with Tie and Pocket,,Dark Brown,Straight Sideswept Fringe,White
90016,Black Smartphone,,Black Books,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Red Longsleeve,,Black,Low Ponytail,White
90017,,,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Light Gray Cardigan with Light Gray Oxford Shirt,,Dark Brown,Straight Sideswept Fringe,White
90018,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Red Longsleeve,,Auburn,Short Coil,White
90019,Brown Leather Briefcase,,Black Books,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Gray Oxford with Tie,,Light Grey,Short Coil,White
90020,,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Dark Gray Longsleeve,,Light Grey,Long Messy,White
90021,,,Silver Aviators,,,White Canvas Sneaker with White Sole,Blue Denim,Khaki Oxford with Tie and Pocket,,Black,Buzz Cut,White
90022,Black Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Olive Oxford with Tie,,Dark Brown,Short Coil,White
90023,Lunchbox,Stud Earring,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Light Gray Longsleeve,Mustache,Light Brown,Short Afro Fade,White
90024,Lunchbox,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Dark Gray Longsleeve,,Auburn,Short Coil,White
90025,,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Short Afro Fade,White
90026,,,,,Two Rings,Tan Suede Workboot with Tan Sole,Gray Slacks,Gray Blazer with Black Shirt and Gray Tie,,Black,Short Pixie,White
90027,Lunchbox,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Black,Short Messy,White
90028,Brown Leather Briefcase,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Charcoal Slacks,Brown Cardigan with Light Gray Oxford Shirt,Thin,Dark Brown,,White
90029,Lunchbox,,,,Two Rings,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Dark Gray Cardigan with Light Gray Longsleeve Shirt,,Auburn,Updo Bun,White
90030,Black Leather Briefcase,,,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Navy Oxford with Buttons,,Dark Brown,Low Ponytail,White
90031,,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Olive Oxford with Buttons,,Auburn,Short Afro Fade,White
90032,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Long Messy,White
90033,Lunchbox,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Brown Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,,White
90034,,,Black Books,,,Brown Leather Shoes with Laces,Navy Slacks,Navy Oxford with Tie,,Black,Low Ponytail,White
90035,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Light Gray Cardigan with Tan Longsleeve Shirt,,Dark Brown,Long Messy,White
90036,Brown Leather Briefcase,,Black Books,Tan Worker's Cap,,Brown Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Thin,Light Brown,Buzz Cut,White
90037,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Light Gray Longsleeve,,Blonde,Short Coil,White
90038,,,Black Books,,,White Canvas Sneaker with White Sole,Blue Denim,Olive Cardigan with Light Gray Longsleeve Shirt,Stubble,Black,Short Coil,White
90039,,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Gray Oxford with Tie and Pocket,,Black,Low Ponytail,White
90040,,,,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Light Gray Longsleeve,,Blonde,Short Coil,White
90041,Brown Leather Briefcase,,,,Two Rings,White Canvas Sneaker with White Sole,,Khaki Jumpsuit,,Black,Short Afro Fade,White
90042,Black Smartphone,Stud Earring,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Navy Oxford with Tie and Pocket,,Black,Short Coil,White
90043,Black Smartphone,,,Navy Blue Worker's Cap,,Black Suede Chelseas with Brown Sole,,Navy Jumpsuit,,Black,,White
90044,,,Black Books,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Low Ponytail,White
90045,,,Black Books,,,Brown Leather Shoes with Laces,Khaki Slacks,Gray Blazer with Black Shirt and No Tie,,Black,Updo Bun,White
90046,,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Light Gray Longsleeve,Goatee,Black,Long Afro,White
90047,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Brown,Short Pixie,White
90048,,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Blue Longsleeve,Stubble,Light Brown,Long Messy,White
90049,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Gray Blazer with Black Shirt and Gray Tie,Goatee,Blonde,Medium Curly Bob,White
90050,,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Light-Wash Denim,Navy Oxford with Tie and Pocket,,Dark Brown,,White
90051,Brown Leather Briefcase,,Rosegold Aviators,,Two Rings,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Black,Long Messy,White
90052,,,Black Books,,Ring One Blue,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Blue Longsleeve,,Auburn,Long Messy,White
90053,,,,,,Black Leather Shoes with Laces,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,Stubble,Blonde,Long Messy,White
90054,Brown Leather Briefcase,,Silver Aviators,,,Black Leather Shoes with Laces,Gray Slacks,Navy Blazer with Striped Shirt and No Tie,Stubble,Black,Short Pixie,White
90055,Black Leather Briefcase,,Black Books,Tan Worker's Cap,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Oxford with Buttons,,Blonde,,White
90056,Brown Leather Briefcase,,,,Two Rings,White Leather Sneaker with Grey Sole,Blue Denim,Blue Longsleeve,,Black,Short Coil,White
90057,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,,Black,Long Straight Bangs,White
