,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
85001,Black Leather Briefcase,,,,Two Rings,Black Suede Chelseas with Brown Sole,Khaki Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Goatee,Auburn,Short Afro Fade,White
85002,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,Stubble,Blonde,Straight Sideswept Fringe,White
85003,,,,,Two Rings,Tan Suede Workboot with Tan Sole,,Gray Jumpsuit,,Black,Straight Sideswept Fringe,White
85004,Brown Leather Briefcase,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Gray Oxford with Pocket,,Auburn,Medium Curly Bob,White
85005,Black Leather Briefcase,,,Tan Worker's Cap,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,,White
85006,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Buzz Cut,White
85007,Brown Leather Briefcase,,,Navy Blue Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Khaki,Gray Blazer with Black Shirt and Gray Tie,,Black,,White
85008,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,,Dark Brown,Long Messy,White
85009,Lunchbox,,Black Books,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Short Coil,White
85010,,,Rosegold Aviators,,Two Rings,Redbrown Leather Workboot with Brown Sole,Khaki,Dark Gray Longsleeve,,Black,Straight Sideswept Fringe,White
85011,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Blue Longsleeve,,Black,Straight Sideswept Fringe,White
85012,Black Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Khaki Oxford with Buttons,,Light Brown,Short Afro Fade,White
85013,Lunchbox,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Khaki Oxford with Buttons,Stubble,Light Grey,Straight Sideswept Fringe,White
85014,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Straight Sideswept Fringe,White
85015,,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Dark Gray Cardigan with Tan Oxford Shirt,Stubble,Black,Short Pixie,White
85016,Lunchbox,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Olive Oxford with Tie and Pocket,,Blonde,Buzz Cut,White
85017,,Stud Earring,Black Books,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Short Coil,White
85018,,,,,Two Rings,Black Leather Shoes with Laces,Dark-Wash Denim,Light Gray Longsleeve,,Dark Brown,Updo Bun,White
85019,Brown Leather Briefcase,Stud Earring,Black Books,Tan Worker's Cap,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Buttons,,Light Brown,,White
85020,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Blue Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Long Messy,White
85021,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Navy Oxford with Tie,,Light Grey,Short Afro Fade,White
85022,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,Thin,Black,Short Coil,White
85023,Lunchbox,Stud Earring,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Tie,,Light Grey,Short Afro Fade,White
