,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
55001,,,,,,Redbrown Leather Workboot with Brown Sole,Blue Denim,Brown Cardigan with Tan Longsleeve Shirt,,Dark Brown,Short Updo,White
55002,,,,,,Black Leather Shoes with Laces,,Denim Jumpsuit,,Dark Brown,Straight Sideswept Fringe,White
55003,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Blue Denim,Tan Blazer with Off-White Shirt and No Tie,,Black,Straight Sideswept Fringe,White
55004,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Thin,Dark Brown,Short Messy,White
55005,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,,Black,Short Afro Fade,White
55006,Black Smartphone,,Silver Aviators,,,Black Leather Shoes with Laces,Blue Denim,Gray Oxford with Pocket,Thin,Light Brown,,White
55007,Brown Leather Briefcase,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Tie,,Black,Medium Curly Bob,White
55008,,,,,,White Leather Sneaker with Grey Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Short Coil,White
55009,Lunchbox,,,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Blue Longsleeve,,Dark Brown,Buzz Cut,White
55010,,Stud Earring,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Auburn,Short Messy,White
55011,,,Rosegold Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Medium Curly Bob,White
55012,Black Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Buttons,,Light Brown,Straight Sideswept Fringe,White
55013,Black Leather Briefcase,,Silver Aviators,,Two Rings,Black Leather Shoes with Laces,Blue Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Long Straight Bangs,White
55014,Black Smartphone,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Short Afro Fade,White
55015,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Cardigan with Beige Oxford Shirt,,Light Brown,Short Afro Fade,White
55016,,,,,,Tan Suede Workboot with Tan Sole,Light-Wash Denim,Dark Gray Longsleeve,Stubble,Light Brown,Medium Curly Bob,White
55017,,,,,,Brown Leather Shoes with Laces,Blue Denim,Navy Oxford with Pocket,,Black,Low Ponytail,White
55018,,,,,,Brown Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,Goatee,Black,Long Afro,White
55019,Lunchbox,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Khaki Oxford with Pocket,,Black,Short Messy,White
55020,Brown Leather Briefcase,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Olive Oxford with Tie,,Black,Short Coil,White
